time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,145.1,145.18,145.07,145.07,37597,57.1509,142.9203,144.6293,146.3382,144.6599
2021-07-09 19:45:00,145.11,145.11,145.05,145.1,7530,57.2332,142.841,144.5911,146.3411,144.6419
2021-07-09 19:30:00,145.1,145.12,145.09,145.1,7857,57.1727,142.7453,144.5479,146.3504,144.6228
2021-07-09 19:15:00,145.06,145.14,145.06,145.11,15132,56.934,142.6425,144.5021,146.3616,144.6033
2021-07-09 19:00:00,145.12,145.12,145.05,145.06,13598,57.4044,142.5576,144.4599,146.3622,144.5847
2021-07-09 18:45:00,145.14,145.14,145.1,145.12,4812,57.5597,142.4678,144.4141,146.3603,144.5629
2021-07-09 18:30:00,145.09,145.1699,145.09,145.12,14082,57.2765,142.3968,144.3713,146.3457,144.5393
2021-07-09 18:15:00,145.11,145.11,145.05,145.09,12649,57.4267,142.3419,144.3331,146.3242,144.5168
2021-07-09 18:00:00,145.08,145.11,145.08,145.11,19226,57.2619,142.3089,144.3009,146.2928,144.4926
2021-07-09 17:45:00,145.08,145.11,145.07,145.1,32074,57.2619,142.2806,144.2705,146.2603,144.4686
2021-07-09 17:30:00,144.96,145.08,144.96,145.07,47197,56.6168,142.2518,144.2391,146.2264,144.4437
2021-07-09 17:15:00,145.0,145.11,144.95,144.95,167540,56.8974,142.2209,144.2091,146.1972,144.4226
2021-07-09 17:00:00,145.0,145.02,144.98,145.0,16223,56.8974,142.1938,144.1789,146.1639,144.399
2021-07-09 16:45:00,145.02,145.11,145.0,145.03,262419,57.0331,142.179,144.1537,146.1284,144.3745
2021-07-09 16:30:00,145.02,145.11,145.0,145.0,122178,57.0331,142.143,144.1181,146.0932,144.3482
2021-07-09 16:15:00,145.11,145.11,144.9,145.04,1610453,57.6271,142.1003,144.0793,146.0582,144.3207
2021-07-09 16:00:00,144.93,145.29,144.91,145.11,8081339,56.7441,142.0695,144.0411,146.0127,144.2885
2021-07-09 15:45:00,144.87,145.0,144.84,144.935,2363833,56.4476,142.0311,144.0041,145.977,144.2623
