time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,90.89,90.94,90.84,90.84,2982,52.8206,89.5076,90.5855,91.6635,90.6352
2021-07-09 19:45:00,90.91,90.91,90.9,90.9,429,52.9698,89.493,90.5721,91.6512,90.6248
2021-07-09 19:30:00,90.9,90.94,90.9,90.9,1254,52.9046,89.4611,90.5519,91.6427,90.6131
2021-07-09 19:15:00,90.88,90.91,90.88,90.91,1847,52.7763,89.4253,90.5303,91.6354,90.6014
2021-07-09 19:00:00,90.84,90.9,90.78,90.9,6149,52.5228,89.3958,90.5105,91.6253,90.59
2021-07-09 18:45:00,90.9,90.95,90.83,90.95,5279,52.9405,89.3513,90.4869,91.6225,90.5798
2021-07-09 18:30:00,90.9,90.9,90.82,90.87,2764,52.9405,89.3203,90.4651,91.61,90.5668
2021-07-09 18:15:00,90.85,90.9,90.82,90.89,4632,52.6391,89.3067,90.4491,91.5916,90.5532
2021-07-09 18:00:00,90.97,90.99,90.85,90.85,7994,53.4444,89.2992,90.4371,91.5751,90.541
2021-07-09 17:45:00,90.91,90.98,90.9007,90.98,10599,53.0927,89.2943,90.4229,91.5516,90.5235
2021-07-09 17:30:00,90.8,90.92,90.8,90.9,6555,52.4474,89.2918,90.4119,91.5321,90.5078
2021-07-09 17:15:00,90.88799999999999,90.9,90.8,90.88,9780,53.0193,89.2872,90.4021,91.5171,90.4958
2021-07-09 17:00:00,90.94,90.94,90.83,90.8809,15333,53.3561,89.2845,90.391,91.4974,90.4798
2021-07-09 16:45:00,90.93,90.94,90.9,90.93,18901,53.3002,89.2854,90.3808,91.4761,90.461
2021-07-09 16:30:00,90.92,90.95,90.9,90.94,38408,53.2453,89.2864,90.3706,91.4547,90.4419
2021-07-09 16:15:00,90.9,90.96,90.87,90.91,112076,53.1372,89.2603,90.347,91.4336,90.4224
2021-07-09 16:00:00,90.825,91.05,90.8,90.86,2146022,52.7359,89.2332,90.323,91.4127,90.4029
2021-07-09 15:45:00,90.92,90.99,90.81,90.8299,777916,53.3026,89.2098,90.3015,91.3931,90.3857
2021-07-09 15:30:00,91.05799999999999,91.07,90.9031,90.92,648768,54.1307,89.1988,90.2813,91.3638,90.3639
2021-07-09 15:15:00,91.06,91.16,90.93,91.0574,702530,54.1426,89.1918,90.2573,91.3229,90.3355
2021-07-09 15:00:00,91.035,91.08,90.88,91.06,594619,54.0183,89.1909,90.2349,91.2789,90.306
2021-07-09 14:45:00,90.94,91.1,90.9001,91.035,678095,53.5494,89.1892,90.212,91.2348,90.2762
2021-07-09 14:30:00,90.9,90.98,90.77,90.9324,604934,53.3531,89.1854,90.1908,91.1962,90.2491
2021-07-09 14:15:00,91.02,91.07,90.87,90.9,570982,54.0243,89.1799,90.1694,91.1589,90.2225
2021-07-09 14:00:00,91.06,91.09,90.91,91.01,579782,54.2472,89.1831,90.146,91.1089,90.19
2021-07-09 13:45:00,90.88,91.26,90.88,91.05,1126255,53.3992,89.1904,90.1212,91.052,90.1545
2021-07-09 13:30:00,90.85,91.03,90.85,90.8781,663638,53.2576,89.1917,90.1002,91.0087,90.1249
2021-07-09 13:15:00,90.965,91.08,90.74,90.85,838631,53.8722,89.1965,90.081,90.9656,90.0953
2021-07-09 13:00:00,91.15,91.15,90.8513,90.9614,899723,54.8705,89.2077,90.0581,90.9086,90.0598
2021-07-09 12:45:00,90.7,91.16,90.6,91.155,1304881,52.7849,89.2426,90.0341,90.8257,90.0153
2021-07-09 12:30:00,90.7256,90.76,90.62,90.69,702705,52.9213,89.2426,90.0149,90.7873,89.9873
2021-07-09 12:15:00,90.75,90.895,90.62,90.7242,805270,53.0493,89.2307,89.99,90.7493,89.9572
2021-07-09 12:00:00,90.7799,90.89,90.68,90.76,1076328,53.2038,89.2206,89.9637,90.7068,89.9248
2021-07-09 11:45:00,90.5,91.0,90.3725,90.775,1918348,51.9189,89.2322,89.9417,90.6512,89.8899
2021-07-09 11:30:00,90.2501,90.59,90.1778,90.49,1561442,50.7354,89.2388,89.9301,90.6214,89.865
2021-07-09 11:15:00,89.84,90.39,89.8199,90.2469,1990527,48.7048,89.24,89.9267,90.6134,89.8493
2021-07-09 11:00:00,89.5399,89.875,89.33,89.835,1329449,47.1423,89.2419,89.9281,90.6143,89.8497
2021-07-09 10:45:00,89.17,89.56,88.945,89.5309,1464331,45.1232,89.2605,89.939,90.6175,89.8623
2021-07-09 10:30:00,89.01,89.3983,88.85,89.1723,1573184,44.22,89.3144,89.9578,90.6012,89.8906
2021-07-09 10:15:00,89.44,89.44,88.76100000000001,88.995,1756726,46.2237,89.3946,89.9816,90.5686,89.9265
2021-07-09 10:00:00,89.1,89.49,88.61,89.429,2517340,44.2668,89.425,89.9914,90.5579,89.9464
2021-07-09 09:45:00,90.04,90.13,88.53,89.085,4417172,49.1087,89.4624,89.9972,90.5321,89.9809
2021-07-09 09:30:00,90.21,90.57,89.99,90.03,87638,50.0796,89.4179,89.9833,90.5486,89.9785
2021-07-09 09:15:00,90.34,90.37,90.25,90.26,27347,50.8327,89.4002,89.9713,90.5423,89.9691
2021-07-09 09:00:00,90.26,90.42,90.2,90.28,29542,50.3827,89.3767,89.9541,90.5314,89.9539
2021-07-09 08:45:00,90.35,90.35,90.18,90.26,37541,50.8963,89.3339,89.9345,90.535,89.9415
2021-07-09 08:30:00,90.44,90.47,90.2499,90.35,20603,51.4098,89.3137,89.9167,90.5197,89.9248
2021-07-09 08:15:00,90.15,90.59,90.0196,90.44,59316,49.8107,89.263,89.8898,90.5165,89.9037
2021-07-09 08:00:00,90.46,90.6,90.4,90.48,29475,51.5893,89.2394,89.8752,90.5109,89.8937
2021-07-09 07:45:00,90.23,90.5,90.22,90.48,53440,50.2989,89.2422,89.8588,90.4753,89.8706
2021-07-09 07:30:00,90.22,90.31,90.17,90.22,12549,50.2424,89.202,89.8378,90.4736,89.8559
2021-07-09 07:15:00,89.9,90.28,89.9,90.14,12013,48.4026,89.2032,89.8296,90.4559,89.8411
2021-07-09 07:00:00,89.82,89.89,89.82,89.89,256,47.9309,89.1996,89.8262,90.4528,89.8386
2021-07-09 06:45:00,89.89,89.99,89.89,89.99,888,48.3096,89.1741,89.8163,90.4584,89.8394
2021-07-09 06:30:00,89.66,89.95,89.66,89.95,3011,46.9602,89.1612,89.8087,90.4561,89.8373
2021-07-09 06:15:00,89.81,89.81,89.64,89.66,2902,47.757,89.1338,89.8001,90.4664,89.8446
2021-07-09 06:00:00,90.1,90.1,89.8,89.98,2438,49.3433,88.9015,89.7611,90.6207,89.846
2021-07-09 05:45:00,90.25,90.25,90.11,90.12,3311,50.1884,88.6166,89.7059,90.7952,89.8356
2021-07-09 05:30:00,90.26,90.34,90.25,90.34,1551,50.2446,88.3987,89.6495,90.9003,89.8187
2021-07-09 05:15:00,90.36,90.36,90.35,90.35,913,50.8022,88.2087,89.5929,90.9771,89.8007
2021-07-09 05:00:00,90.31,90.39,90.18,90.18,1241,50.5332,88.0618,89.5375,91.0131,89.7779
2021-07-09 04:45:00,90.33,90.4,90.31,90.4,1897,50.6418,87.9039,89.4793,91.0546,89.7562
