time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,3717.25,3717.25,3717.25,3717.25,390,52.0096,3707.8907,3722.7985,3737.7062,3719.1777
2021-07-09 19:30:00,3717.05,3717.05,3717.05,3717.05,105,51.9656,3707.8543,3723.1935,3738.5326,3719.2564
2021-07-09 19:15:00,3716.55,3716.55,3716.5,3716.5,431,51.8576,3707.8294,3723.6125,3739.3956,3719.3464
2021-07-09 18:30:00,3717.5,3717.5,3717.5,3717.5,499,52.0757,3708.0485,3723.7137,3739.3788,3719.4606
2021-07-09 18:15:00,3715.51,3717.55,3715.51,3717.55,255,51.6583,3708.2713,3723.8357,3739.4,3719.5406
2021-07-09 17:45:00,3716.0,3717.25,3716.0,3717.25,320,51.7671,3708.6414,3724.0255,3739.4095,3719.7051
2021-07-09 17:15:00,3717.6,3717.6,3717.6,3717.6,274,52.1184,3708.9916,3724.2055,3739.4193,3719.8563
2021-07-09 17:00:00,3716.5,3717.75,3716.5,3716.74,2581,51.8985,3709.256,3724.3535,3739.4509,3719.9484
2021-07-09 16:45:00,3716.0,3716.5,3716.0,3716.0,1042,51.7998,3709.6203,3724.5735,3739.5267,3720.0892
2021-07-09 16:30:00,3715.2,3719.34,3715.0,3715.5,3095,51.6444,3710.0322,3724.8037,3739.5751,3720.2561
2021-07-09 16:15:00,3719.34,3719.34,3715.0,3716.4303,45110,52.5031,3710.5145,3725.0397,3739.5648,3720.4624
2021-07-09 16:00:00,3710.47,3722.25,3710.3,3717.6802,316182,50.785,3710.7416,3725.2811,3739.8205,3720.5083
2021-07-09 15:45:00,3716.7599,3716.76,3708.5,3710.24,152739,52.0945,3711.3725,3725.8769,3740.3812,3720.918
2021-07-09 15:30:00,3722.055,3723.2,3714.71,3715.8192,83588,53.2269,3711.6727,3726.2895,3740.9062,3721.0877
2021-07-09 15:15:00,3725.11,3727.19,3718.01,3722.3,73032,53.8891,3711.7758,3726.5538,3741.3317,3721.0482
2021-07-09 15:00:00,3722.63,3731.0,3722.31,3725.54,72661,53.4281,3711.2748,3726.9599,3742.6449,3720.8824
2021-07-09 14:45:00,3730.55,3730.55,3722.1,3722.5221,71587,55.1539,3710.6157,3727.5041,3744.3924,3720.8111
2021-07-09 14:30:00,3729.385,3731.275,3726.2301,3730.7921,48647,54.9441,3710.5786,3727.6123,3744.646,3720.4136
2021-07-09 14:15:00,3725.86,3735.9999,3725.27,3729.12,98344,54.3103,3710.3869,3727.855,3745.323,3720.0474
2021-07-09 14:00:00,3723.01,3727.8699,3715.01,3727.8699,83589,53.7953,3709.9078,3728.3115,3746.7151,3719.8102
2021-07-09 13:45:00,3727.5463,3730.305,3723.66,3723.66,56918,54.7581,3709.632,3728.8231,3748.0141,3719.6796
2021-07-09 13:30:00,3727.3717,3729.5299,3725.5601,3727.72,40085,54.7275,3709.1376,3729.2889,3749.4403,3719.3585
2021-07-09 13:15:00,3727.76,3727.9790000000003,3721.34,3727.4604,77711,54.8082,3708.6168,3729.0735,3749.5302,3719.0314
2021-07-09 13:00:00,3732.18,3733.005,3727.01,3728.515,65035,55.7247,3707.6981,3728.7456,3749.7931,3718.6751
2021-07-09 12:45:00,3734.51,3734.9899,3730.0,3733.92,48296,56.2103,3707.073,3728.414,3749.755,3718.1239
2021-07-09 12:30:00,3733.49,3737.92,3730.0,3734.5,84157,56.046,3703.5856,3727.5076,3751.4296,3717.4551
2021-07-09 12:15:00,3726.805,3735.4099,3726.05,3732.93,65369,54.9604,3698.3557,3726.341,3754.3263,3716.8006
2021-07-09 12:00:00,3736.72,3738.95,3726.3401,3727.01,84145,57.0068,3693.1799,3725.2175,3757.2551,3716.3923
2021-07-09 11:45:00,3736.83,3741.9999,3727.3538,3736.97,131432,57.0299,3688.0985,3723.8287,3759.5589,3715.5626
2021-07-09 11:30:00,3716.0,3737.015,3716.0,3737.015,159933,53.5381,3682.1271,3722.2351,3762.3431,3714.6945
2021-07-09 11:15:00,3717.8414,3724.24,3713.0,3715.12,111092,53.9176,3677.1822,3721.0813,3764.9804,3714.6412
2021-07-09 11:00:00,3707.96,3720.0,3705.3778,3717.71,121047,52.1329,3670.1025,3719.5245,3768.9464,3714.5106
2021-07-09 10:45:00,3707.1986,3709.5799,3693.3968,3707.7009,235619,51.9925,3665.5759,3718.4063,3771.2367,3714.778
2021-07-09 10:30:00,3712.97,3720.8699,3704.0001,3707.69,172717,53.1506,3662.0919,3717.4353,3772.7787,3715.0873
2021-07-09 10:15:00,3720.56,3722.9899,3709.48,3711.7459999999996,199546,54.7214,3659.0157,3716.4309,3773.8461,3715.1737
2021-07-09 10:00:00,3721.02,3743.75,3712.0,3719.495,295773,54.8177,3654.2479,3714.9391,3775.6303,3714.9539
2021-07-09 09:45:00,3722.52,3748.0,3705.3501,3721.23,503697,55.1274,3648.9171,3713.2795,3777.6419,3714.7063
2021-07-09 09:30:00,3724.0,3727.44,3720.0,3722.5,7636,55.4303,3644.5097,3711.7003,3778.8909,3714.3874
2021-07-09 09:15:00,3724.24,3724.24,3722.13,3722.13,1547,55.4788,3639.9022,3710.0003,3780.0984,3713.995
2021-07-09 09:00:00,3726.75,3727.66,3725.0,3725.0,3002,55.9802,3635.1438,3708.2091,3781.2744,3713.5769
2021-07-09 08:45:00,3731.25,3731.25,3725.0,3725.0,4244,56.8834,3630.5679,3706.3463,3782.1247,3713.0392
2021-07-09 08:30:00,3740.0,3740.0,3730.53,3730.53,1775,58.6879,3626.1886,3704.3725,3782.5564,3712.2959
2021-07-09 08:15:00,3731.86,3741.57,3731.41,3740.38,10057,57.4576,3621.9528,3702.1713,3782.3898,3711.1651
2021-07-09 08:00:00,3729.95,3731.41,3729.06,3731.41,2063,57.1642,3618.8896,3700.3765,3781.8633,3710.3204
2021-07-09 07:45:00,3726.4,3728.95,3726.0,3728.0,2024,56.6193,3615.0937,3698.3975,3781.7013,3709.5192
2021-07-09 07:15:00,3725.0,3733.74,3725.0,3730.0,5605,56.405,3611.8443,3696.5795,3781.3147,3708.8302
2021-07-09 07:00:00,3724.9,3724.9,3722.0,3722.0,411,56.3899,3609.0892,3694.8795,3780.6698,3708.1702
2021-07-09 06:30:00,3720.0,3720.0,3720.0,3720.0,515,55.6533,3606.4902,3693.1847,3779.8791,3707.4874
2021-07-09 06:15:00,3720.0,3720.0,3720.0,3720.0,520,55.6533,3604.1067,3691.6227,3779.1387,3706.9766
2021-07-09 06:00:00,3715.96,3715.96,3715.96,3715.96,443,55.052,3601.7187,3690.0227,3778.3266,3706.4451
2021-07-09 05:45:00,3737.0,3737.0,3730.0,3730.0,814,59.1445,3599.1318,3688.4135,3777.6952,3706.0567
2021-07-09 05:30:00,3738.0,3738.0,3738.0,3738.0,265,59.35,3596.61,3686.2695,3775.929,3704.7937
2021-07-08 20:00:00,3721.61,3723.2,3721.61,3722.02,809,56.9473,3595.2626,3684.4095,3773.5563,3703.4384
2021-07-08 19:15:00,3723.6,3723.6,3722.28,3722.28,928,57.3506,3593.9662,3682.9773,3771.9883,3702.6967
2021-07-08 18:15:00,3725.0,3725.0,3725.0,3725.0,203,57.6321,3594.1011,3682.4601,3770.8191,3701.8435
2021-07-08 17:30:00,3725.0,3727.0,3725.0,3727.0,438,57.6321,3594.2747,3681.9001,3769.5254,3700.8983
2021-07-08 17:15:00,3725.0,3725.0,3722.22,3722.22,1170,57.6321,3594.4523,3681.2903,3768.1282,3699.9146
2021-07-08 17:00:00,3727.5,3728.0,3727.0,3727.0,949,58.1113,3594.6426,3680.6503,3766.6579,3698.8907
2021-07-08 16:45:00,3727.51,3728.81,3727.51,3728.81,416,58.1132,3594.9273,3679.9833,3765.0393,3697.7229
2021-07-08 16:30:00,3727.0,3731.41,3725.6,3727.01,2278,58.0449,3595.2534,3679.3531,3763.4527,3696.5071
2021-07-08 16:15:00,3731.41,3733.39,3689.9213,3728.0,35347,58.8589,3595.5922,3678.7131,3761.834,3695.2625
2021-07-08 16:00:00,3740.26,3743.09,3723.25,3731.42,381724,60.5283,3596.0993,3678.0229,3759.9465,3693.7871
2021-07-08 15:45:00,3737.39,3752.8002,3733.3401,3741.86,196816,60.1693,3596.9865,3677.1619,3757.3373,3691.8903
2021-07-08 15:30:00,3735.27,3742.18,3729.15,3737.0076,153383,59.9053,3597.8236,3676.3757,3754.9278,3690.0331
2021-07-08 15:15:00,3745.415,3751.57,3736.4040000000005,3736.5988,130548,61.8271,3598.6387,3675.6103,3752.5819,3688.1867
2021-07-08 15:00:00,3749.84,3750.18,3735.7825,3744.9689,127717,62.6867,3600.0268,3674.6336,3749.2404,3685.8509
2021-07-08 14:45:00,3735.96,3750.4889,3732.312,3749.6257,146800,61.0207,3601.7937,3673.6402,3745.4867,3683.2391
