time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,40.1,40.12,40.06,40.09,1765,58.6136,39.4187,39.9004,40.3821,39.878
2021-07-09 19:45:00,40.1,40.1,40.09,40.1,1490,58.6136,39.3965,39.8882,40.3799,39.869
2021-07-09 19:30:00,40.08,40.08,40.08,40.08,898,58.2818,39.3715,39.875,40.3786,39.8596
2021-07-09 19:15:00,40.07,40.08,40.07,40.08,1143,58.1173,39.346,39.8618,40.3776,39.8506
2021-07-09 19:00:00,40.1,40.12,40.0901,40.1,3864,58.7991,39.3269,39.85,40.3732,39.8416
2021-07-09 18:45:00,40.13,40.13,40.06,40.06,2804,59.483,39.3039,39.8362,40.3686,39.8311
2021-07-09 18:30:00,40.06,40.13,40.06,40.1299,2476,58.3759,39.2789,39.8208,40.3628,39.8189
2021-07-09 18:15:00,40.13,40.13,40.08,40.08,7195,59.9821,39.2489,39.8056,40.3623,39.809
2021-07-09 17:45:00,40.12,40.12,40.1,40.1,508,59.8273,39.2277,39.7902,40.3527,39.7959
2021-07-09 17:30:00,40.12,40.12,40.09,40.09,4093,59.8273,39.2047,39.7742,40.3438,39.7827
2021-07-09 17:15:00,40.09,40.14,40.09,40.09,2216,59.3747,39.181,39.7576,40.3342,39.7689
2021-07-09 17:00:00,40.09,40.19,40.09,40.09,2491,59.3747,39.1295,39.7358,40.3422,39.7558
2021-07-09 16:45:00,40.09,40.09,40.04,40.09,6854,59.3747,39.0695,39.7118,40.3541,39.7422
2021-07-09 16:30:00,40.06,40.09,40.04,40.09,69948,58.9393,39.0126,39.6874,40.3623,39.728
2021-07-09 16:15:00,40.04,40.09,40.02,40.04,966554,58.6498,38.9597,39.6636,40.3675,39.7144
2021-07-09 16:00:00,40.15,40.15,40.02,40.04,4730373,60.967,38.9127,39.6406,40.3686,39.7011
2021-07-09 15:45:00,40.1335,40.24,40.13,40.15,1761114,60.739,38.8736,39.6156,40.3576,39.6828
