time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 19:15:00,180.35,180.35,180.35,180.35,100,50.4997,177.3084,179.6271,181.9457,180.0243
2021-07-09 18:45:00,180.35,180.35,180.35,180.35,104,50.4997,177.2059,179.5747,181.9435,180.011
2021-07-09 18:15:00,180.3,180.3,180.3,180.3,100,50.3952,177.1234,179.5261,181.9287,179.9971
2021-07-09 17:00:00,180.25,180.25,180.25,180.25,300,50.2925,176.9894,179.4649,181.9403,179.9848
2021-07-09 16:30:00,180.23,180.23,180.23,180.23,231,50.2521,176.8841,179.4097,181.9352,179.9739
2021-07-09 16:15:00,180.23,180.5,180.23,180.5,8194,50.2521,176.7463,179.3459,181.9454,179.9635
2021-07-09 16:00:00,180.655,180.82,180.11,180.11,197843,51.0996,176.5227,179.2633,182.0038,179.9526
2021-07-09 15:45:00,180.67,180.89,180.62,180.63,45892,51.1294,176.3804,179.184,181.9876,179.9239
2021-07-09 15:30:00,181.05,181.19,180.62,180.62599999999998,52131,51.8811,176.2768,179.1112,181.9455,179.8935
2021-07-09 15:15:00,181.231,181.32,180.735,181.09,32388,52.2397,176.2773,179.061,181.8446,179.8463
2021-07-09 15:00:00,181.295,181.35,181.075,181.24,11250,52.3651,176.3084,179.0243,181.7401,179.7898
2021-07-09 14:45:00,181.43,181.65,181.15,181.28,30804,52.6262,176.3457,178.9983,181.6508,179.7283
2021-07-09 14:30:00,181.45,181.5,181.13,181.415,13540,52.6643,176.3909,178.9511,181.5112,179.6589
2021-07-09 14:15:00,181.13,181.45,180.98,181.41,16332,52.1204,176.3486,178.8626,181.3766,179.5858
2021-07-09 14:00:00,180.87,181.1,180.65,181.09,18844,51.6782,176.0836,178.7396,181.3956,179.5227
2021-07-09 13:45:00,180.88,181.2,180.805,180.89,16569,51.6962,175.9276,178.638,181.3483,179.4677
2021-07-09 13:30:00,180.53,180.9608,180.41,180.87,11143,51.1124,175.8959,178.5624,181.2288,179.4101
2021-07-09 13:15:00,180.52,180.5855,179.98,180.41,17240,51.0958,175.8571,178.4938,181.1305,179.3644
2021-07-09 13:00:00,180.88,180.88,180.32,180.39,19361,51.7135,175.8191,178.4234,181.0277,179.3172
2021-07-09 12:45:00,180.83,181.07,180.56,180.77,28575,51.6339,175.8073,178.3454,180.8835,179.2534
2021-07-09 12:30:00,179.935,180.735,179.93,180.7,26392,50.194,175.8052,178.2688,180.7324,179.1891
2021-07-09 12:15:00,179.81,180.14,179.62,179.97,22219,49.9902,175.7963,178.2211,180.6459,179.1586
2021-07-09 12:00:00,179.43,179.91,179.38,179.79,22752,49.3731,175.7981,178.1819,180.5657,179.132
2021-07-09 11:45:00,179.71,179.71,178.76,179.55700000000002,53126,49.817,175.6802,178.1133,180.5464,179.1199
2021-07-09 11:30:00,179.41,180.12,179.325,179.6454,37038,49.3387,175.5792,178.0391,180.499,179.0958
2021-07-09 11:15:00,179.45,179.7879,179.01,179.325,35505,49.4002,175.3879,177.9523,180.5167,179.083
2021-07-09 11:00:00,178.64,179.47,177.7901,179.29,41547,48.1164,175.3637,177.9041,180.4446,179.068
2021-07-09 10:45:00,177.13,178.55,176.54,178.55,37134,45.5946,175.0664,177.9941,180.9218,179.0855
2021-07-09 10:30:00,178.15,178.205,177.38,177.4,47681,47.1104,174.6789,178.1455,181.6121,179.1653
2021-07-09 10:15:00,179.57,179.8,177.79,178.165,62408,49.3488,174.3541,178.2765,182.199,179.2067
2021-07-09 10:00:00,179.86,179.95,178.1074,179.565,57108,49.8225,174.0468,178.3851,182.7234,179.1919
2021-07-09 09:45:00,180.66,181.36,178.1,179.86,67749,51.1501,173.7725,178.4909,183.2093,179.1646
2021-07-09 08:45:00,180.0,180.0,180.0,180.0,300,50.0745,173.5733,178.5727,183.5721,179.1036
2021-07-09 08:00:00,180.0,180.0,180.0,180.0,400,50.0745,173.3489,178.6787,184.0085,179.067
2021-07-08 19:30:00,178.02,178.02,178.02,178.02,426,46.6929,173.2027,178.7697,184.3367,179.0289
2021-07-08 18:45:00,178.02,178.02,178.02,178.02,100,46.6929,173.093,178.9053,184.7176,179.0701
2021-07-08 18:15:00,179.0,179.0,179.0,179.0,100,48.2463,173.0325,179.0308,185.0291,179.1129
2021-07-08 16:15:00,178.56,178.56,178.56,178.56,4298,47.4774,172.9426,179.1438,185.3449,179.1175
2021-07-08 16:00:00,178.875,179.0,178.18,178.34,140953,47.9775,172.8883,179.2614,185.6344,179.1403
2021-07-08 15:45:00,178.56,178.91,178.43,178.8,55826,47.4349,172.8537,179.3649,185.8761,179.1511
2021-07-08 15:30:00,178.23,178.65,177.9,178.56,61729,46.866,172.8393,179.4737,186.1081,179.1753
2021-07-08 15:15:00,178.45,178.63,178.21,178.295,33547,47.1998,172.8415,179.5915,186.3415,179.2138
2021-07-08 15:00:00,178.795,178.8,178.36,178.45,36954,47.7221,172.8473,179.7039,186.5605,179.245
2021-07-08 14:45:00,178.83,179.16,178.525,178.765,51984,47.7746,172.8524,179.808,186.7635,179.2634
2021-07-08 14:30:00,179.1625,179.18,178.0,178.6745,54053,48.2696,172.8599,179.9144,186.9689,179.2811
2021-07-08 14:15:00,178.43,179.17,178.3775,179.02,22979,47.0861,172.8715,180.0085,187.1456,179.2859
2021-07-08 14:00:00,177.825,178.65,177.815,178.34,26536,46.0877,172.9068,180.1237,187.3406,179.3209
2021-07-08 13:45:00,178.5,178.7699,177.82,177.82,50194,47.0585,172.9749,180.2524,187.53,179.3819
2021-07-08 13:30:00,177.73,178.54,177.59,178.445,79471,45.7818,173.0159,180.3732,187.7305,179.4179
2021-07-08 13:15:00,177.48,178.01,177.48,177.825,38750,45.3625,173.1204,180.4876,187.8548,179.4868
2021-07-08 13:00:00,177.73,177.83,177.3401,177.475,34163,45.7089,173.2319,180.6242,188.0166,179.5687
2021-07-08 12:45:00,177.92,178.32,177.455,177.73,41883,45.9703,173.3406,180.7552,188.1699,179.6438
2021-07-08 12:30:00,177.24,178.0,176.87,177.82,53826,44.8642,173.4599,180.8391,188.2184,179.7141
2021-07-08 12:15:00,177.49,177.93,177.01,177.3,49087,45.1976,173.6236,180.9443,188.2651,179.8151
2021-07-08 12:00:00,177.04,177.79,176.96,177.34,36674,44.4697,173.7774,181.0397,188.302,179.91
2021-07-08 11:45:00,176.1,177.16,175.7,177.08,92605,42.9177,173.9674,181.1525,188.3376,180.0271
2021-07-08 11:30:00,176.69,177.16,176.07,176.09,92825,43.6684,174.2265,181.3165,188.4065,180.1874
2021-07-08 11:15:00,177.03,177.6,176.34,176.81,89405,44.1041,174.4516,181.4753,188.4991,180.3302
2021-07-08 11:00:00,178.54,178.615,176.9,176.9,30363,46.1063,174.6646,181.6295,188.5944,180.4649
