time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,49.08,49.08,48.86,49.05,2286,53.4132,48.1388,48.7667,49.3945,48.7851
2021-07-09 19:45:00,49.0699,49.0699,49.0,49.0,1500,53.331,48.1208,48.7523,49.3837,48.7731
2021-07-09 19:30:00,49.0001,49.0001,49.0001,49.0001,432,52.7663,48.1112,48.7405,49.3697,48.761
2021-07-09 19:15:00,49.03,49.09,49.02,49.09,547,53.0357,48.094,48.7277,49.3613,48.7512
2021-07-09 19:00:00,49.06,49.07,49.02,49.02,3100,53.3033,48.0743,48.7131,49.3518,48.7398
2021-07-09 18:45:00,49.0,49.0,49.0,49.0,494,52.8369,48.0357,48.6929,49.3501,48.7268
2021-07-09 18:30:00,49.01,49.01,49.01,49.01,200,52.9232,47.9986,48.6739,49.3491,48.7156
2021-07-09 18:15:00,49.01,49.01,49.0,49.0,1100,52.9232,47.9687,48.6557,49.3426,48.7036
2021-07-09 17:45:00,49.04,49.04,49.0,49.0,2159,53.1736,47.944,48.6383,49.3325,48.6911
2021-07-09 17:15:00,48.95,48.95,48.95,48.95,201,52.5131,47.9173,48.6191,49.3209,48.6769
2021-07-09 17:00:00,48.99,49.09,48.99,49.0,71535,52.8377,47.8881,48.6011,49.3141,48.6657
2021-07-09 16:45:00,49.0,49.0,48.95,48.9999,3542,52.9178,47.8593,48.5817,49.304,48.6525
2021-07-09 16:30:00,49.0,49.02,48.95,49.0,8575,52.9178,47.8383,48.5635,49.2886,48.6383
2021-07-09 16:15:00,49.09,49.1,48.96,49.0,32571,53.6208,47.8185,48.5451,49.2716,48.6235
2021-07-09 16:00:00,48.985,49.14,48.955,49.08,490804,52.9055,47.8053,48.5253,49.2453,48.6045
2021-07-09 15:45:00,48.915,49.04,48.915,48.985,294898,52.4262,47.795,48.5092,49.2233,48.589
2021-07-09 15:30:00,49.0,49.04,48.895,48.9066,194070,53.069,47.7852,48.4949,49.2045,48.5756
2021-07-09 15:15:00,49.06,49.07,48.87,49.0173,196176,53.5229,47.7824,48.4801,49.1777,48.5583
2021-07-09 15:00:00,49.07,49.13,48.94,49.05,168896,53.5978,47.7777,48.4617,49.1456,48.5379
2021-07-09 14:45:00,49.11,49.18,49.03,49.0601,181114,53.8933,47.7801,48.4447,49.1092,48.5161
2021-07-09 14:30:00,48.97,49.14,48.86,49.11,178669,53.0044,47.7832,48.4253,49.0673,48.4919
2021-07-09 14:15:00,49.1047,49.14,48.88,48.94,308623,53.9858,47.7855,48.4105,49.0354,48.4724
2021-07-09 14:00:00,49.2259,49.2628,48.93,49.108999999999995,403097,54.8818,47.8012,48.3945,48.9877,48.4466
2021-07-09 13:45:00,49.31,49.48,49.07,49.2201,653825,55.5083,47.8319,48.3759,48.92,48.4148
2021-07-09 13:30:00,48.75,50.38,48.75,49.305,3399550,51.9274,47.8838,48.3583,48.8328,48.3782
2021-07-09 13:15:00,48.65,48.83,48.65,48.74,167428,51.2406,47.8904,48.3525,48.8147,48.363
2021-07-09 13:00:00,48.6801,48.69,48.57,48.65,92334,51.4574,47.892,48.3513,48.8107,48.3513
2021-07-09 12:45:00,48.645,48.69,48.51,48.685,132324,51.2215,47.8949,48.3493,48.8038,48.3379
2021-07-09 12:30:00,48.53,48.69,48.53,48.64,142254,50.4483,47.8973,48.3438,48.7904,48.3254
2021-07-09 12:15:00,48.381,48.56,48.38,48.5399,132824,49.4305,47.8976,48.3414,48.7853,48.317
2021-07-09 12:00:00,48.48,48.6299,48.3506,48.3969,176777,50.1006,47.8957,48.3462,48.7968,48.3144
2021-07-09 11:45:00,48.43,48.5,48.35,48.47,150086,49.7635,47.8939,48.3487,48.8034,48.3077
2021-07-09 11:30:00,48.61,48.67,48.42,48.43,111695,50.9784,47.8933,48.3475,48.8016,48.3027
2021-07-09 11:15:00,48.59,48.69,48.4406,48.6071,187412,50.8477,47.8914,48.3487,48.8059,48.2901
2021-07-09 11:00:00,48.55,48.6358,48.41,48.575,152845,50.5896,47.8928,48.3455,48.7981,48.2779
2021-07-09 10:45:00,48.24,48.595,48.14,48.55,219881,48.537,47.8934,48.3444,48.7953,48.2668
2021-07-09 10:30:00,48.1,48.39,48.02,48.25,213275,47.5731,47.8975,48.3478,48.7981,48.2679
2021-07-09 10:15:00,48.2295,48.36,48.06,48.11,334120,48.3948,47.9005,48.3488,48.7971,48.2747
2021-07-09 10:00:00,47.8565,48.21,47.45,48.21,570389,45.7498,47.9033,48.3566,48.8099,48.2766
2021-07-09 09:45:00,48.3,48.47,47.6169,47.84,499714,48.6556,47.9324,48.3738,48.8153,48.2937
2021-07-09 09:30:00,48.59,48.59,48.29,48.29,9842,50.72,47.9305,48.3728,48.8152,48.2935
2021-07-09 09:15:00,48.65,48.65,48.65,48.65,583,51.1601,47.8814,48.3554,48.8295,48.2813
2021-07-09 09:00:00,48.64,48.64,48.6,48.6,1514,51.0908,47.8461,48.3382,48.8304,48.2663
2021-07-09 08:45:00,48.65,48.65,48.55,48.64,3783,51.1619,47.558,48.2926,49.0273,48.251
2021-07-09 08:30:00,48.76,48.76,48.64,48.75,7557,51.9419,47.3543,48.2482,49.1422,48.2348
2021-07-09 08:15:00,48.6,48.76,48.45,48.76,6861,50.8744,47.1958,48.203,49.2103,48.2133
2021-07-09 08:00:00,48.65,48.68,48.65,48.65,4709,51.2228,47.0243,48.157,49.2898,48.1975
2021-07-09 07:45:00,48.55,48.55,48.55,48.55,200,50.5591,46.8602,48.1082,49.3562,48.1791
2021-07-09 07:30:00,48.75,48.75,48.5,48.5,2769,51.9444,46.6973,48.0592,49.4212,48.1639
2021-07-09 07:15:00,48.39,48.73,48.37,48.73,1758,49.5038,46.5936,48.0132,49.4329,48.14
2021-07-09 06:15:00,48.36,48.36,48.36,48.36,332,49.2935,46.4753,47.971,49.4668,48.1298
2021-07-09 06:00:00,48.48,48.6,48.48,48.6,888,50.1116,46.3979,47.9362,49.4746,48.1204
2021-07-09 05:45:00,48.36,48.49,48.36,48.48,794,49.2867,46.3362,47.9016,49.4671,48.1057
2021-07-09 04:45:00,48.3,48.3,48.29,48.29,500,48.8725,46.2475,47.8624,49.4774,48.0954
2021-07-08 20:00:00,48.05,48.05,47.99,47.99,2713,47.1084,46.1372,47.8188,49.5005,48.087
2021-07-08 19:45:00,48.05,48.1,48.02,48.02,2769,47.1084,46.0552,47.7848,49.5145,48.0885
2021-07-08 19:30:00,48.1,48.1,48.04,48.04,2015,47.4227,45.9836,47.7524,49.5213,48.0901
2021-07-08 19:00:00,48.14,48.14,48.09,48.09,506,47.672,45.9143,47.7188,49.5234,48.0897
2021-07-08 18:45:00,48.08,48.08,48.08,48.08,200,47.2644,45.8262,47.679,49.5319,48.0876
2021-07-08 18:30:00,48.05,48.05,48.04,48.04,700,47.0624,45.7767,47.6496,49.5226,48.0879
2021-07-08 17:45:00,48.02,48.02,48.02,48.02,151,46.8628,45.7323,47.6218,49.5114,48.0895
2021-07-08 17:30:00,48.09,48.09,48.09,48.09,2986,47.2702,45.696,47.5968,49.4977,48.0923
2021-07-08 17:15:00,48.08,48.26,48.08,48.09,8958,47.206,45.6652,47.572,49.4789,48.0924
2021-07-08 17:00:00,48.1,48.1,48.1,48.1,200,47.319,45.6439,47.551,49.4582,48.0929
2021-07-08 16:45:00,48.18,48.18,48.1,48.1,1791,47.7673,45.6236,47.5296,49.4357,48.0926
2021-07-08 16:30:00,48.2,48.2,48.16,48.16,600,47.8784,45.6204,47.5174,49.4144,48.0891
2021-07-08 16:15:00,48.26,48.3,47.75,48.21,27586,48.2082,45.618,47.505,49.3921,48.0845
2021-07-08 16:00:00,48.14,48.27,47.92,48.26,479795,47.4995,45.6192,47.496,49.3729,48.0774
2021-07-08 15:45:00,48.22,48.2999,48.08,48.15,219771,47.928,45.6196,47.4902,49.3609,48.0748
2021-07-08 15:30:00,48.14,48.2111,47.975,48.2111,241120,47.4635,45.6208,47.4824,49.3441,48.0689
2021-07-08 15:15:00,48.23,48.29,48.13,48.13,113139,47.9349,45.6215,47.4802,49.339,48.066
2021-07-08 15:00:00,48.305,48.31,48.151,48.24,110584,48.3268,45.6232,47.4756,49.3281,48.0593
2021-07-08 14:45:00,48.3,48.3481,48.19,48.3001,93944,48.2992,45.6259,47.4705,49.3152,48.0493
2021-07-08 14:30:00,48.43,48.45,48.15,48.29,193678,48.966,45.628,47.4589,49.2899,48.039
2021-07-08 14:15:00,48.46,48.48,48.33,48.42,117651,49.1194,45.6274,47.4373,49.2473,48.0231
2021-07-08 14:00:00,48.59,48.63,48.44,48.45,105402,49.7816,45.6316,47.4333,49.2351,48.0053
2021-07-08 13:45:00,48.58,48.76,48.56,48.589,196630,49.7305,45.6279,47.4355,49.2432,47.9814
2021-07-08 13:30:00,48.37,48.62,48.35,48.6,107966,48.6556,45.6221,47.4389,49.2558,47.957
2021-07-08 13:15:00,48.41,48.48,48.29,48.4,100775,48.8506,45.61,47.4471,49.2843,47.9401
2021-07-08 13:00:00,48.62,48.62,48.371,48.4,108354,49.879,45.5994,47.4543,49.3093,47.9209
2021-07-08 12:45:00,48.6024,48.7,48.54,48.64,149197,49.7922,45.5951,47.4569,49.3188,47.8924
2021-07-08 12:30:00,48.37,48.61,48.2523,48.61,239997,48.641,45.5848,47.4628,49.3408,47.8634
2021-07-08 12:15:00,48.67,48.6899,48.3701,48.3701,170186,50.094,45.5485,47.482,49.4155,47.8427
2021-07-08 12:00:00,48.43,48.7,48.39,48.66,213467,48.8972,45.5217,47.4949,49.4681,47.809
2021-07-08 11:45:00,48.495,48.61,48.4,48.43,162655,49.2104,45.4946,47.5111,49.5276,47.7836
2021-07-08 11:30:00,48.41,48.62,48.2432,48.5,203729,48.79,45.4846,47.5187,49.5528,47.7546
2021-07-08 11:15:00,48.15,48.48,48.11,48.405,296081,47.487,45.4579,47.5359,49.614,47.7278
2021-07-08 11:00:00,48.62,48.67,48.12,48.13,267245,49.7286,45.4325,47.5575,49.6825,47.7106
2021-07-08 10:45:00,48.72,48.75,48.17,48.63,345633,50.2229,45.4137,47.5697,49.7257,47.6735
2021-07-08 10:30:00,48.25,48.74,48.1,48.71,421742,47.8345,45.3951,47.5811,49.7671,47.6308
2021-07-08 10:15:00,47.72,48.46,47.71,48.2262,422580,44.9136,45.3681,47.6035,49.8389,47.6055
2021-07-08 10:00:00,47.79,47.9309,47.26,47.7299,700627,45.2415,45.3463,47.6369,49.9275,47.6008
2021-07-08 09:45:00,46.36,47.98,46.22,47.83,1016867,35.8686,45.3204,47.6719,50.0234,47.5931
2021-07-08 09:30:00,46.43,46.7,46.33,46.69,20580,36.1656,45.3475,47.74,50.1325,47.6434
2021-07-08 09:15:00,46.5,46.7,46.42,46.5,20977,36.4614,45.3812,47.8054,50.2297,47.6929
2021-07-08 09:00:00,46.3,46.56,46.25,46.5,30311,34.972,45.4135,47.8714,50.3294,47.7416
2021-07-08 08:45:00,46.21,46.43,46.21,46.3,7141,34.2928,45.4643,47.9428,50.4213,47.8005
2021-07-08 08:30:00,46.1,46.28,45.86,46.22,39225,33.4603,45.5287,48.0168,50.5049,47.8654
2021-07-08 08:15:00,46.45,46.9,46.1,46.1,95575,34.8366,45.6191,48.0884,50.5577,47.9375
2021-07-08 08:00:00,46.28,46.37,46.28,46.29,4214,33.5353,45.6883,48.1538,50.6193,47.9982
2021-07-08 07:45:00,46.62,46.62,46.35,46.35,11776,34.9013,45.7833,48.2187,50.654,48.0683
2021-07-08 07:30:00,46.75,46.75,46.44,46.66,11870,35.4423,45.8641,48.2689,50.6736,48.1274
2021-07-08 07:15:00,46.4,46.9,46.29,46.61,42622,32.6895,45.9162,48.3365,50.7569,48.1836
2021-07-08 07:00:00,46.12,46.12,46.11,46.11,1054,30.3615,45.9503,48.4316,50.913,48.2564
2021-07-08 06:30:00,46.35,46.37,46.35,46.37,1277,31.231,45.9711,48.5471,51.1231,48.3436
2021-07-08 06:15:00,46.43,46.48,46.35,46.35,1142,31.5389,45.9693,48.6641,51.359,48.425
2021-07-08 06:00:00,46.42,46.42,46.42,46.42,220,31.4561,46.0431,48.7621,51.4811,48.5064
2021-07-08 05:45:00,46.15,46.45,46.15,46.43,1189,29.1907,46.1193,48.8649,51.6105,48.5916
2021-07-08 05:30:00,46.61,46.62,46.07,46.07,1633,30.8956,46.236,48.9737,51.7115,48.6913
2021-07-08 05:15:00,46.66,46.66,46.62,46.62,2252,31.089,46.3291,49.0715,51.8139,48.7762
2021-07-08 05:00:00,46.77,46.77,46.66,46.66,1656,31.5144,46.4291,49.1693,51.9095,48.8626
2021-07-08 04:45:00,46.85,46.91,46.85,46.9,1046,31.8247,46.5341,49.2643,51.9945,48.948
2021-07-08 04:30:00,47.03,47.03,46.8,46.9,1944,32.5311,46.653,49.3537,52.0544,49.0336
2021-07-08 04:15:00,47.03,47.03,47.03,47.03,295,32.5311,46.7618,49.4423,52.1229,49.1154
2021-07-07 20:00:00,47.57,47.57,47.4,47.44,18464,34.7537,46.8883,49.5277,52.1672,49.2005
2021-07-07 19:45:00,47.58,47.74,47.54,47.54,10719,34.7969,46.9776,49.6023,52.227,49.2671
2021-07-07 19:30:00,47.81,47.84,47.58,47.58,11866,35.7986,47.0699,49.6797,52.2895,49.3359
2021-07-07 19:15:00,47.85,47.89,47.81,47.87,3616,35.9751,47.1527,49.7523,52.352,49.3982
2021-07-07 19:00:00,47.83,47.92,47.8,47.89,3079,35.82,47.2453,49.8205,52.3958,49.4614
2021-07-07 18:45:00,48.03,48.03,47.8,47.88,5778,36.6909,47.3459,49.8901,52.4343,49.528
2021-07-07 18:30:00,48.0,48.04,47.9,48.0,5591,36.4638,47.437,49.9563,52.4756,49.5891
2021-07-07 18:15:00,48.05,48.07,47.95,47.99,6811,36.6787,47.5375,50.0235,52.5095,49.654
2021-07-07 18:00:00,47.72,48.08,47.7,48.04,21840,34.1697,47.6417,50.0895,52.5374,49.7195
2021-07-07 17:45:00,47.35,47.7199,47.2,47.7199,43857,31.1731,47.7846,50.1629,52.5413,49.8011
2021-07-07 17:30:00,48.26,48.34,47.18,47.35,44014,35.0147,47.9824,50.2427,52.503,49.9011
2021-07-07 17:15:00,48.7,48.74,48.23,48.3267,16934,37.1862,48.0961,50.3045,52.513,49.9681
2021-07-07 17:00:00,48.75,48.76,48.64,48.6901,7471,37.4448,48.1786,50.3575,52.5364,50.0199
2021-07-07 16:45:00,48.78,48.78,48.75,48.75,3528,37.5985,48.2619,50.4105,52.5591,50.0717
2021-07-07 16:30:00,48.77,48.83,48.75,48.78,12952,37.5147,48.3494,50.4615,52.5736,50.1244
2021-07-07 16:15:00,48.75,48.85,48.75,48.78,26829,37.3498,48.4436,50.5123,52.581,50.1797
2021-07-07 16:00:00,48.895,48.91,48.6101,48.73,892598,38.0636,48.5453,50.5643,52.5833,50.2381
2021-07-07 15:45:00,49.33,49.33,48.85,48.89,365620,40.3296,48.6403,50.6134,52.5865,50.2929
2021-07-07 15:30:00,49.315,49.39,49.22,49.3361,168008,40.2093,48.7033,50.6566,52.6099,50.3322
2021-07-07 15:15:00,49.24,49.35,49.24,49.32,129279,39.6128,48.7728,50.6976,52.6224,50.3737
2021-07-07 15:00:00,48.8762,49.3,48.83,49.2361,190112,36.6065,48.8526,50.7398,52.6271,50.42
2021-07-07 14:45:00,49.27,49.3301,48.81,48.895,406532,38.6476,48.9719,50.7878,52.6036,50.483
2021-07-07 14:30:00,49.2288,49.55,49.145,49.3,251840,38.2948,49.0598,50.8266,52.5933,50.5325
2021-07-07 14:15:00,49.23,49.54,49.19,49.2287,204552,38.3011,49.1568,50.8682,52.5796,50.5857
2021-07-07 14:00:00,49.29,49.3,49.08,49.2065,195112,38.6116,49.259,50.9068,52.5545,50.6411
2021-07-07 13:45:00,49.37,49.37,49.15,49.29,202276,39.0251,49.3614,50.9444,52.5275,50.6962
2021-07-07 13:30:00,49.39,49.48,49.27,49.37,140020,39.1277,49.4622,50.9816,52.501,50.7503
2021-07-07 13:15:00,49.54,49.56,49.3,49.4,212283,39.8991,49.5679,51.02,52.4722,50.8059
2021-07-07 13:00:00,49.7654,49.79,49.47,49.5249,195120,41.092,49.664,51.0544,52.4449,50.8575
2021-07-07 12:45:00,49.7,49.9,49.5901,49.75,154519,40.5869,49.7425,51.084,52.4256,50.9021
2021-07-07 12:30:00,49.8,49.82,49.57,49.7,208721,41.1152,49.833,51.116,52.399,50.9512
2021-07-07 12:15:00,49.87,49.8801,49.76,49.79,126681,41.4856,49.9172,51.144,52.3708,50.9982
2021-07-07 12:00:00,49.91,50.07,49.84,49.8644,194930,41.696,50.0007,51.173,52.3453,51.0442
2021-07-07 11:45:00,49.68,49.98,49.542,49.9286,234084,39.981,50.086,51.2028,52.3196,51.0905
2021-07-07 11:30:00,49.72,49.88,49.52,49.69,319984,40.1824,50.2079,51.2383,52.2687,51.1481
2021-07-07 11:15:00,49.5226,49.73,49.38,49.71,400020,38.6884,50.3348,51.2787,52.2226,51.2064
2021-07-07 11:00:00,49.13,49.7765,49.06,49.545,544007,35.5509,50.5124,51.3249,52.1373,51.2751
2021-07-07 10:45:00,50.1337,50.3059,49.1201,49.165,888408,40.7792,50.8511,51.3765,51.902,51.3626
2021-07-07 10:30:00,51.1548,51.29,50.0438,50.12,853610,47.7855,51.0156,51.4039,51.7922,51.4128
2021-07-07 10:15:00,51.8945,51.9,51.08,51.1524,663433,54.4239,51.0282,51.4113,51.7944,51.4233
2021-07-07 10:00:00,52.2,52.2,51.52,51.9282,597762,57.6662,51.0447,51.4022,51.7597,51.4041
2021-07-07 09:45:00,51.33,52.3,51.33,52.18,789248,49.2238,51.109,51.3848,51.6606,51.3716
2021-07-07 09:30:00,51.56,51.57,51.25,51.33,4085,51.9056,51.0726,51.3767,51.6808,51.3733
2021-07-07 09:15:00,51.59,51.6,51.55,51.55,6689,52.2696,51.0399,51.3641,51.6883,51.3657
2021-07-07 09:00:00,51.5,51.6379,51.5,51.6,949,51.2648,51.0322,51.3553,51.6784,51.3565
2021-07-07 08:45:00,51.55,51.59,51.5,51.5,1284,51.8592,51.0199,51.3475,51.6751,51.3507
2021-07-07 08:30:00,51.52,51.53,51.5,51.53,2821,51.5287,51.0199,51.3425,51.6651,51.3425
2021-07-07 08:15:00,51.32,51.6,51.14,51.49,5026,49.2528,51.0183,51.3375,51.6567,51.3353
2021-07-07 07:45:00,51.46,51.5,51.46,51.5,1095,50.892,51.0106,51.3341,51.6576,51.3359
2021-07-07 07:30:00,51.3,51.45,51.28,51.45,973,48.9906,50.9931,51.3255,51.6579,51.3309
2021-07-07 07:15:00,51.3,51.3,51.3,51.3,576,48.9906,50.9922,51.3249,51.6576,51.3321
2021-07-07 06:00:00,51.45,51.45,51.45,51.45,149,50.7602,50.9889,51.3231,51.6573,51.3334
2021-07-07 05:30:00,51.44,51.45,51.44,51.45,601,50.6437,50.9891,51.3225,51.6559,51.3287
2021-07-06 20:00:00,51.26,51.27,51.26,51.27,1369,48.4945,50.9874,51.3193,51.6511,51.3241
