time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 16:15:00,248.54,248.54,248.54,248.54,46275,56.3945,244.5508,246.4254,248.3001,246.5791
2021-07-09 16:00:00,248.165,248.67,248.13,248.53,66377,55.633,244.3683,246.3236,248.279,246.4991
2021-07-09 15:45:00,247.815,248.27,247.815,248.155,16960,54.9128,244.2401,246.2383,248.2366,246.4311
2021-07-09 15:30:00,247.65,247.8706,247.545,247.8706,9647,54.5721,244.2294,246.1897,248.1501,246.3746
2021-07-09 15:15:00,247.36,247.72,247.23,247.72,10359,53.9731,244.213,246.143,248.073,246.3225
2021-07-09 15:00:00,246.9788,247.455,246.93,247.365,28564,53.1778,244.1424,246.0878,248.0333,246.2802
2021-07-09 14:45:00,246.82,246.97,246.815,246.915,14360,52.8451,243.8967,246.0083,248.1198,246.2517
2021-07-09 14:30:00,246.89,246.96,246.75,246.82,8462,53.0078,243.8467,246.0363,248.2258,246.2285
2021-07-09 14:15:00,246.845,247.01,246.73,246.79,9823,52.9165,243.8097,246.0598,248.3098,246.2015
2021-07-09 14:00:00,246.885,246.9223,246.7,246.84,7336,53.0062,243.782,246.0811,248.3801,246.1752
2021-07-09 13:45:00,246.66,246.96,246.59,246.81,7871,52.5628,243.7724,246.0922,248.4119,246.1463
2021-07-09 13:30:00,246.2,246.65,246.2,246.65,5371,51.6488,243.7647,246.1061,248.4475,246.1253
2021-07-09 13:15:00,246.21,246.38,246.01,246.23,7564,51.67,243.7562,246.1337,248.5111,246.1222
2021-07-09 13:00:00,245.925,246.16,245.845,246.16,6490,51.1092,243.7522,246.1589,248.5655,246.1187
2021-07-09 12:45:00,245.93,246.135,245.87,245.955,3676,51.1194,243.7588,246.1874,248.6159,246.1266
2021-07-09 12:30:00,246.373,246.373,245.91,245.94,7140,52.0207,243.7686,246.2134,248.6581,246.1346
2021-07-09 12:15:00,246.39,246.455,246.15,246.33,4258,52.0552,243.7701,246.2157,248.6613,246.1248
2021-07-09 12:00:00,246.73,246.73,246.25,246.315,6384,52.741,243.7729,246.2214,248.6699,246.114
2021-07-09 11:45:00,246.24,246.79,246.24,246.79,8638,51.845,243.7725,246.2272,248.6819,246.0889
2021-07-09 11:30:00,246.505,246.585,246.11,246.21,5289,52.3713,243.7757,246.2479,248.7201,246.0827
2021-07-09 11:15:00,246.38,246.5085,246.05,246.5085,10666,52.1467,243.7759,246.2624,248.7489,246.0655
2021-07-09 11:00:00,246.74,247.08,246.35,246.4,9385,52.85,243.7799,246.2752,248.7705,246.0526
2021-07-09 10:45:00,247.74,247.89,246.45,246.71,13760,54.8642,243.7756,246.2894,248.8032,246.0246
2021-07-09 10:30:00,247.88,248.13,247.5,247.735,17521,55.1526,243.7849,246.2657,248.7465,245.9546
2021-07-09 10:15:00,247.07,247.555,247.06,247.54,9081,53.7749,243.7981,246.2545,248.7109,245.876
2021-07-09 10:00:00,245.99,247.29,245.99,247.005,36071,51.8418,243.7959,246.2589,248.7219,245.8272
2021-07-09 09:45:00,246.04,246.73,245.45,245.9,11261,51.9403,243.7893,246.2548,248.7203,245.8206
2021-07-09 09:30:00,246.8,246.8,246.8,246.8,100,53.454,243.789,246.2546,248.7202,245.8116
2021-07-08 16:15:00,244.94,244.94,244.94,244.94,2638,49.9562,243.789,246.258,248.727,245.7713
2021-07-08 16:00:00,244.9,245.23,244.52,244.945,86475,49.8768,243.8503,246.2934,248.7365,245.8052
2021-07-08 15:45:00,245.89,245.89,244.93,244.9399,25639,51.8726,243.9176,246.3342,248.7508,245.8422
2021-07-08 15:30:00,245.27,245.93,245.27,245.785,17528,50.6609,243.9218,246.3746,248.8274,245.8402
2021-07-08 15:15:00,245.585,245.64,245.2,245.285,4385,51.304,243.963,246.3955,248.828,245.8635
