time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,191.3,191.3,191.3,191.3,409,50.9841,188.3948,191.1905,193.9862,190.8749
2021-07-09 19:30:00,191.15,191.15,191.15,191.15,254,50.7925,188.2834,191.1447,194.006,190.8576
2021-07-09 19:00:00,190.6,190.6,190.6,190.6,191,50.0916,188.1931,191.1057,194.0184,190.8456
2021-07-09 18:45:00,190.7799,190.78,190.7799,190.78,1138,50.3214,188.1397,191.0837,194.0278,190.8557
2021-07-09 18:00:00,190.8,190.8,190.8,190.8,154,50.3467,188.0723,191.0551,194.038,190.8587
2021-07-09 17:00:00,190.45,190.45,190.45,190.45,763,49.9172,187.9507,191.0111,194.0716,190.8611
2021-07-09 16:45:00,190.31,190.31,190.31,190.31,152,49.7468,187.8738,190.9821,194.0904,190.8779
2021-07-09 16:15:00,191.23,191.6,191.23,191.6,1673,50.8611,187.8105,190.9579,194.1054,190.9011
2021-07-09 16:00:00,190.72,191.69,190.5,191.23,154314,50.2558,187.7128,190.9113,194.1099,190.8877
2021-07-09 15:45:00,190.22,191.12,190.22,190.5301,56206,49.66,187.6275,190.8749,194.1224,190.8945
2021-07-09 15:30:00,190.0,190.88,190.0,190.1976,33975,49.3986,187.4711,190.8265,194.1819,190.9221
2021-07-09 15:15:00,190.9,191.14,189.5126,190.06,58639,50.4487,187.4775,190.8299,194.1823,190.9597
2021-07-09 15:00:00,191.65,191.75,190.7291,190.89,28815,51.3399,187.429,190.8019,194.1748,190.9621
2021-07-09 14:45:00,191.28,191.75,190.94,191.62,21353,50.9207,187.3097,190.7376,194.1656,190.9341
2021-07-09 14:30:00,192.19,192.19,190.7,191.4805,28982,52.0004,187.1679,190.6731,194.1783,190.9199
2021-07-09 14:15:00,191.28,192.33,191.2,192.06,35567,50.9818,187.0631,190.5974,194.1317,190.8681
2021-07-09 14:00:00,191.45,192.32,191.16,191.16,22718,51.1806,186.9805,190.5467,194.113,190.8513
2021-07-09 13:45:00,193.11,193.48,191.27900000000002,191.42,36788,53.1648,186.8832,190.4869,194.0906,190.8268
2021-07-09 13:30:00,194.0,194.05,192.8084,193.0,29948,54.2703,186.9135,190.4394,193.9653,190.7337
2021-07-09 13:15:00,194.5067,194.63,193.6401,193.85,37432,54.9073,186.9957,190.3728,193.7498,190.6003
2021-07-09 13:00:00,194.34,194.635,193.84,194.4,32540,54.736,187.122,190.3234,193.5248,190.4409
2021-07-09 12:45:00,194.5,194.5,192.91,194.46,55578,54.9322,187.2423,190.2804,193.3185,190.2817
2021-07-09 12:30:00,193.77,194.78,193.5,194.53,59078,54.1979,187.4076,190.2208,193.034,190.1096
2021-07-09 12:15:00,192.9,194.06,192.53,193.84,48702,53.3093,187.4456,190.2106,192.9757,189.9602
2021-07-09 12:00:00,192.8772,193.9,192.655,192.98,57329,53.286,187.3864,190.2278,193.0692,189.8402
2021-07-09 11:45:00,190.4601,192.75,190.4601,192.75,60406,50.7345,187.3979,190.2234,193.0489,189.7162
2021-07-09 11:30:00,191.3,191.53,189.92,190.55,43110,51.6961,187.3236,190.2812,193.2387,189.6859
2021-07-09 11:15:00,189.0282,191.5,189.0282,191.2848,46398,49.141,187.3145,190.2931,193.2716,189.62
2021-07-09 11:00:00,189.7336,190.28,188.72,189.25,48015,49.9449,187.2783,190.2813,193.2843,189.6441
2021-07-09 10:45:00,190.19,190.59,188.91,189.9,41691,50.4684,187.2899,190.2891,193.2884,189.6405
2021-07-09 10:30:00,189.5,191.18900000000002,189.0,190.2,79082,49.6871,187.2542,190.2691,193.284,189.618
2021-07-09 10:15:00,188.07,189.89,186.75,189.66,84492,48.0218,186.8576,190.1833,193.5091,189.6229
2021-07-09 10:00:00,190.345,190.345,187.37,188.26,80742,50.6347,186.7874,190.1659,193.5444,189.6862
2021-07-09 09:45:00,190.88,191.5,188.0,190.3,213922,51.2777,186.5844,190.0942,193.6041,189.6594
2021-07-09 09:30:00,192.0,192.0,190.74,190.74,12394,52.6494,186.4853,190.0364,193.5875,189.6095
2021-07-09 09:15:00,192.0,192.5,191.81,191.97,1931,52.6494,186.3731,189.947,193.5209,189.512
2021-07-09 09:00:00,192.5,192.5,192.07,192.07,615,53.2602,185.507,189.738,193.969,189.4104
2021-07-09 08:45:00,191.99,192.9999,191.99,192.9999,856,52.7118,184.4958,189.4846,194.4734,189.2843
2021-07-09 08:15:00,190.4559,191.31,190.4559,191.31,2007,51.0175,183.6348,189.2434,194.852,189.1739
2021-07-09 08:00:00,191.25,191.31,191.25,191.31,1290,51.9619,182.7496,189.0173,195.285,189.1215
2021-07-09 07:30:00,190.86,190.86,190.85,190.85,684,51.5301,181.7284,188.7423,195.7562,189.0347
2021-07-09 07:15:00,191.0,191.0,190.99,190.99,704,51.6936,180.8952,188.4871,196.079,188.9602
2021-07-09 06:00:00,191.31,191.31,191.31,191.31,114,52.0519,180.4083,188.2789,196.1495,188.8769
2021-07-09 05:30:00,190.75,190.75,190.75,190.75,168,51.4562,180.1093,188.1005,196.0917,188.7776
