time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 19:45:00,54.45,54.45,54.45,54.45,100,55.4177,54.1938,54.3605,54.5271,54.3493
2021-07-09 19:00:00,54.45,54.45,54.45,54.45,200,55.4177,54.1903,54.3569,54.5234,54.3452
2021-07-09 18:45:00,54.45,54.45,54.45,54.45,510,55.4177,54.1756,54.3507,54.5257,54.341
2021-07-09 18:30:00,54.47,54.47,54.47,54.47,100,56.0069,54.161,54.3443,54.5276,54.3365
2021-07-09 17:45:00,54.45,54.45,54.45,54.45,2734,55.5437,54.1482,54.3375,54.5267,54.3311
2021-07-09 17:15:00,54.45,54.45,54.45,54.45,1336,55.5437,54.1388,54.3317,54.5245,54.3262
2021-07-09 17:00:00,54.46,54.46,54.45,54.45,13416,55.826,54.1293,54.3257,54.522,54.3211
2021-07-09 16:45:00,54.47,54.47,54.47,54.47,1003,56.1054,54.119,54.3191,54.5191,54.3155
2021-07-09 16:30:00,54.46,54.46,54.46,54.46,8995,55.889,54.1101,54.3123,54.5144,54.3092
2021-07-09 16:15:00,54.46,54.46,54.46,54.46,124671,55.889,54.1017,54.3057,54.5096,54.303
2021-07-09 16:00:00,54.475,54.5,54.42,54.46,1262627,56.2888,54.0942,54.2991,54.504,54.2966
2021-07-09 15:45:00,54.51,54.52,54.45,54.475,330157,57.2247,54.0763,54.2899,54.5035,54.2893
2021-07-09 15:30:00,54.45,54.52,54.4401,54.515,287960,55.9955,54.064,54.2803,54.4966,54.2803
2021-07-09 15:15:00,54.46,54.475,54.4328,54.44,122451,56.2596,54.0455,54.2711,54.4966,54.2734
2021-07-09 15:00:00,54.425,54.46,54.403,54.46,124724,55.5404,54.0293,54.2617,54.494,54.2658
2021-07-09 14:45:00,54.37,54.43,54.35,54.425,232740,54.3855,54.0081,54.2521,54.496,54.2593
2021-07-09 14:30:00,54.369,54.395,54.35,54.3656,114486,54.3643,53.9868,54.2435,54.5002,54.2548
2021-07-09 14:15:00,54.375,54.39,54.34,54.365,137643,54.5128,53.9666,54.2348,54.503,54.2501
2021-07-09 14:00:00,54.36,54.39,54.35,54.38,116646,54.2064,53.9506,54.2265,54.5024,54.245
2021-07-09 13:45:00,54.28,54.3799,54.275,54.355,164594,52.5358,53.9368,54.2188,54.5008,54.2403
2021-07-09 13:30:00,54.27,54.29,54.255,54.28,110372,52.3227,53.9244,54.213,54.5016,54.2387
2021-07-09 13:15:00,54.295,54.33,54.27,54.275,162986,52.9046,53.9118,54.2072,54.5025,54.2374
2021-07-09 13:00:00,54.3,54.3385,54.28,54.29,156351,53.0201,53.9065,54.2029,54.4992,54.2351
2021-07-09 12:45:00,54.305,54.34,54.29,54.295,141368,53.1339,53.8989,54.1976,54.4963,54.2324
2021-07-09 12:30:00,54.345,54.35,54.3,54.31,190136,54.0429,53.8894,54.1915,54.4936,54.2294
2021-07-09 12:15:00,54.405,54.41,54.34,54.34,171240,55.437,53.8777,54.1837,54.4896,54.2247
2021-07-09 12:00:00,54.485,54.49,54.4,54.405,247439,57.3708,53.8699,54.175,54.48,54.2174
2021-07-09 11:45:00,54.3759,54.5,54.37,54.485,199124,55.2862,53.8699,54.1654,54.4608,54.2064
2021-07-09 11:30:00,54.265,54.38,54.255,54.37,384689,52.9965,53.8644,54.1577,54.4509,54.1995
2021-07-09 11:15:00,54.253,54.28,54.23,54.265,188460,52.7399,53.8534,54.1512,54.449,54.1969
2021-07-09 11:00:00,54.28,54.35,54.25,54.26,265971,53.3826,53.8439,54.1452,54.4465,54.1946
2021-07-09 10:45:00,54.3699,54.4,54.27,54.28,214686,55.593,53.8335,54.1382,54.4429,54.1911
2021-07-09 10:30:00,54.385,54.4,54.34,54.37,245008,55.9746,53.8243,54.1288,54.4333,54.1838
2021-07-09 10:15:00,54.41,54.47,54.3741,54.3899,278331,56.6049,53.8154,54.1187,54.4221,54.1756
2021-07-09 10:00:00,54.46,54.495,54.335,54.4,360407,57.8824,53.821,54.1127,54.4044,54.166
2021-07-09 09:45:00,54.25,54.51,54.18,54.46,841404,53.5693,53.8116,54.0994,54.3872,54.154
2021-07-09 09:30:00,54.3,54.31,54.27,54.31,5475,54.8807,53.809,54.0946,54.3802,54.1501
2021-07-09 09:15:00,54.22,54.3,54.22,54.3,1351,53.0797,53.8111,54.0906,54.3701,54.144
2021-07-09 09:00:00,54.27,54.28,54.26,54.28,1074,54.4099,53.8105,54.0876,54.3647,54.1408
2021-07-09 08:45:00,54.29,54.32,54.26,54.26,3023,54.9497,53.8112,54.0834,54.3556,54.1356
2021-07-09 08:30:00,54.31,54.34,54.29,54.29,1953,55.4893,53.8127,54.0786,54.3445,54.1293
2021-07-09 08:15:00,54.3052,54.34,54.25,54.27,4307,55.3862,53.8083,54.0704,54.3325,54.1219
2021-07-09 08:00:00,54.32,54.34,54.32,54.34,1157,55.7763,53.804,54.0621,54.3202,54.1144
2021-07-09 07:45:00,54.29,54.31,54.29,54.31,1618,55.1488,53.8066,54.0551,54.3036,54.106
2021-07-09 07:30:00,54.26,54.31,54.26,54.29,803,54.5163,53.8074,54.0483,54.2892,54.0985
2021-07-09 07:15:00,54.26,54.28,54.25,54.28,1854,54.5163,53.8057,54.0415,54.2773,54.0919
2021-07-09 06:45:00,54.3,54.3,54.3,54.3,647,55.5189,53.8066,54.0353,54.264,54.0851
2021-07-09 06:30:00,54.28,54.28,54.28,54.28,150,55.1144,53.8078,54.0271,54.2464,54.0763
2021-07-09 06:15:00,54.25,54.25,54.25,54.25,154,54.5063,53.8096,54.0195,54.2294,54.068
2021-07-09 05:30:00,54.27,54.27,54.27,54.27,309,54.9931,53.8107,54.0125,54.2143,54.0605
2021-07-09 05:15:00,54.27,54.27,54.27,54.27,156,54.9931,53.8154,54.0053,54.1952,54.052
2021-07-09 04:30:00,54.14,54.14,54.14,54.14,337,52.3358,53.826,54.0003,54.1746,54.0431
2021-07-09 04:15:00,54.13,54.13,54.13,54.13,557,52.1227,53.8207,53.9947,54.1687,54.0391
2021-07-08 20:00:00,54.13,54.13,54.13,54.13,154,52.1227,53.8157,53.9893,54.1629,54.0354
2021-07-08 19:15:00,54.16,54.16,54.15,54.15,367,52.8028,53.8069,53.9829,54.1589,54.0316
2021-07-08 18:45:00,54.15,54.2,54.15,54.15,2078,52.6008,53.8065,53.9773,54.1481,54.0263
2021-07-08 18:00:00,54.13,54.13,54.13,54.13,101,52.1997,53.8081,53.9767,54.1453,54.0213
2021-07-08 16:45:00,54.13,54.13,54.13,54.13,252,52.1997,53.7978,53.9793,54.1608,54.0169
2021-07-08 16:30:00,54.13,54.13,54.13,54.13,5145,52.1997,53.7845,53.9827,54.1809,54.0122
2021-07-08 16:15:00,54.13,54.13,54.09,54.13,471259,52.1997,53.7674,53.9871,54.2068,54.0074
2021-07-08 16:00:00,54.015,54.14,53.965,54.13,1519970,49.9537,53.7554,53.9909,54.2264,54.0024
2021-07-08 15:45:00,54.03,54.1,53.99,54.02,503458,50.2556,53.7499,53.9954,54.2409,54.0019
2021-07-08 15:30:00,53.99,54.05,53.98,54.03,307609,49.4575,53.7459,53.9992,54.2525,54.0008
2021-07-08 15:15:00,53.99,54.03,53.97,53.99,231658,49.4575,53.7371,54.0058,54.2745,54.0012
2021-07-08 15:00:00,53.945,54.01,53.935,54.0,204272,48.5659,53.7294,54.0125,54.2957,54.0017
2021-07-08 14:45:00,53.94,53.995,53.93,53.945,245175,48.4669,53.7245,54.0201,54.3157,54.004
2021-07-08 14:30:00,53.935,53.95,53.895,53.94,180895,48.3695,53.7239,54.0267,54.3295,54.0066
2021-07-08 14:15:00,53.96,53.97,53.92,53.935,202903,48.8215,53.724,54.0335,54.343,54.0095
2021-07-08 14:00:00,53.975,53.99,53.95,53.955,159816,49.0913,53.7246,54.0394,54.3542,54.0115
2021-07-08 13:45:00,53.99,53.99,53.9349,53.9701,120814,49.3586,53.7256,54.0446,54.3636,54.013
2021-07-08 13:30:00,53.98,54.02,53.96,53.99,157448,49.1778,53.7255,54.0502,54.3749,54.014
2021-07-08 13:15:00,54.08,54.085,53.97,53.97,167061,50.9607,53.728,54.0544,54.3808,54.0153
2021-07-08 13:00:00,54.035,54.105,54.03,54.08,176188,50.1639,53.7274,54.0574,54.3874,54.0127
2021-07-08 12:45:00,54.0,54.04,53.99,54.035,176079,49.539,53.7285,54.0605,54.3925,54.0118
2021-07-08 12:30:00,53.955,54.03,53.955,54.0,205003,48.7289,53.7303,54.065,54.3997,54.0123
2021-07-08 12:15:00,53.97,54.025,53.925,53.955,229260,48.9858,53.7343,54.0703,54.4063,54.0146
2021-07-08 12:00:00,54.005,54.04,53.96,53.9601,170276,49.5835,53.7383,54.0747,54.4111,54.0164
2021-07-08 11:45:00,53.99,54.015,53.92,54.01,263488,49.3238,53.7411,54.0783,54.4154,54.0169
2021-07-08 11:30:00,53.94,54.035,53.91,53.99,239438,48.4565,53.7446,54.0826,54.4206,54.018
2021-07-08 11:15:00,53.955,53.98,53.88,53.94,348689,48.7015,53.7507,54.0878,54.4248,54.0212
2021-07-08 11:00:00,53.93,54.01,53.88,53.96,375036,48.2743,53.7544,54.0948,54.4352,54.0239
2021-07-08 10:45:00,53.9001,53.94,53.82,53.93,279338,47.7643,53.7607,54.102,54.4434,54.0277
2021-07-08 10:30:00,53.88,53.905,53.765,53.901,393921,47.4229,53.7699,54.1094,54.449,54.0329
2021-07-08 10:15:00,54.11,54.13,53.865,53.875,342904,51.1743,53.7801,54.1182,54.4563,54.0392
2021-07-08 10:00:00,53.795,54.165,53.76,54.105,812860,45.3745,53.7803,54.1218,54.4633,54.0363
2021-07-08 09:45:00,54.01,54.05,53.735,53.79,1329490,49.2909,53.8004,54.1314,54.4624,54.0461
2021-07-08 09:30:00,54.1,54.19,54.08,54.18,4449,51.1003,53.8053,54.1347,54.4641,54.0476
2021-07-08 09:15:00,54.07,54.09,54.04,54.09,3285,50.5068,53.8041,54.134,54.4639,54.0455
2021-07-08 09:00:00,54.06,54.13,54.06,54.08,8039,50.3098,53.8041,54.134,54.4639,54.0445
2021-07-08 08:45:00,54.05,54.15,54.01,54.07,6049,50.1152,53.778,54.1272,54.4763,54.0438
2021-07-08 08:30:00,53.9001,54.02,53.9001,54.02,4647,47.0702,53.7677,54.1236,54.4795,54.0436
2021-07-08 08:15:00,53.89,53.97,53.89,53.9,9984,46.856,53.7622,54.1222,54.4821,54.0494
2021-07-08 08:00:00,53.97,53.97,53.92,53.94,1105,48.3756,53.7607,54.1218,54.4828,54.0559
2021-07-08 07:45:00,53.95,53.99,53.95,53.98,4404,47.9621,53.7565,54.1204,54.4843,54.0594
2021-07-08 07:30:00,53.92,53.96,53.91,53.96,1245,47.3421,53.757,54.1206,54.4841,54.0639
2021-07-08 07:15:00,53.95,53.97,53.9,53.9,3556,47.9014,53.7486,54.1183,54.4881,54.0698
2021-07-08 07:00:00,53.89,53.9,53.89,53.9,1428,46.6665,53.7486,54.1183,54.4881,54.0747
2021-07-08 06:30:00,53.9,53.9,53.76,53.82,1575,46.8478,53.7472,54.1179,54.4887,54.0822
2021-07-08 06:15:00,53.9,53.9,53.9,53.9,480,46.8478,53.7478,54.1181,54.4885,54.0896
2021-07-08 06:00:00,53.91,53.96,53.91,53.96,1334,47.0234,53.7515,54.1193,54.4872,54.0974
2021-07-08 05:30:00,54.02,54.02,54.02,54.02,380,49.0026,53.7472,54.1181,54.4891,54.105
2021-07-08 05:15:00,53.86,53.9,53.86,53.9,562,45.7476,53.7372,54.1147,54.4923,54.1085
2021-07-08 05:00:00,53.86,53.9,53.82,53.9,790,45.7476,53.7332,54.1137,54.4942,54.1187
2021-07-08 04:45:00,53.81,53.81,53.81,53.81,114,44.688,53.7325,54.1135,54.4946,54.1292
2021-07-08 04:30:00,53.88,53.88,53.87,53.87,972,45.9184,53.7372,54.1147,54.4923,54.1422
2021-07-08 04:15:00,54.12,54.12,53.73,53.88,1175,50.5996,53.7318,54.1133,54.4949,54.1529
2021-07-07 18:00:00,54.26,54.27,54.26,54.27,859,53.7309,53.7052,54.1047,54.5043,54.1543
2021-07-07 17:45:00,54.3,54.3,54.3,54.3,397,54.6784,53.6872,54.0949,54.5027,54.15
2021-07-07 17:30:00,54.35,54.35,54.3,54.3,229,55.8856,53.6701,54.0841,54.4982,54.1438
2021-07-07 17:15:00,54.32,54.32,54.32,54.32,385477,55.3054,53.6557,54.0723,54.489,54.1354
2021-07-07 16:45:00,54.24,54.24,54.24,54.24,138,53.7144,53.6479,54.0629,54.478,54.1279
2021-07-07 16:30:00,54.22,54.22,54.22,54.22,398,53.3072,53.6407,54.0557,54.4708,54.1233
2021-07-07 16:15:00,54.32,54.36,54.19,54.36,2891359,55.7087,53.6337,54.0489,54.4641,54.1194
2021-07-07 16:00:00,54.325,54.365,54.27,54.33,1137238,55.832,53.6291,54.0399,54.4507,54.1112
2021-07-07 15:45:00,54.325,54.35,54.305,54.32,309336,55.832,53.6256,54.0308,54.4361,54.1025
2021-07-07 15:30:00,54.27,54.33,54.25,54.325,207463,54.775,53.6234,54.0219,54.4205,54.0934
