time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,45.35,45.35,45.31,45.33,27423,46.1992,44.458,45.6974,46.9368,45.5994
2021-07-09 19:45:00,45.33,45.36,45.33,45.33,10363,46.0322,44.4367,45.7324,47.0281,45.6095
2021-07-09 19:30:00,45.32,45.36,45.32,45.33,5655,45.9499,44.433,45.7638,47.0946,45.621
2021-07-09 19:15:00,45.35,45.37,45.32,45.32,7939,46.1567,44.434,45.7952,47.1564,45.6332
2021-07-09 19:00:00,45.35,45.37,45.33,45.36,7961,46.1567,44.434,45.8274,47.2207,45.6448
2021-07-09 18:45:00,45.38,45.39,45.35,45.35,15111,46.3571,44.4409,45.858,47.275,45.6568
2021-07-09 18:30:00,45.34,45.38,45.32,45.38,20559,46.0511,44.4447,45.8904,47.336,45.6681
2021-07-09 18:15:00,45.37,45.38,45.3,45.31,8483,46.245,44.4498,45.9256,47.4013,45.6815
2021-07-09 18:00:00,45.35,45.38,45.3,45.38,15217,46.0967,44.4565,45.9606,47.4647,45.6942
2021-07-09 17:45:00,45.31,45.38,45.26,45.35,22517,45.8037,44.4778,45.9896,47.5014,45.7083
2021-07-09 17:30:00,45.32,45.39,45.27,45.31,35140,45.8647,44.5073,46.0144,47.5214,45.7246
2021-07-09 17:15:00,45.38,45.39,45.31,45.33,24761,46.2273,44.5343,46.0442,47.5541,45.7411
2021-07-09 17:00:00,45.39,45.4,45.37,45.38,13759,46.287,44.5605,46.0724,47.5843,45.7558
2021-07-09 16:45:00,45.41,45.53,45.35,45.39,35258,46.4046,44.5886,46.1,47.6114,45.7707
2021-07-09 16:30:00,45.43,45.46,45.39,45.41,28602,46.5204,44.6188,46.1188,47.6187,45.7855
2021-07-09 16:15:00,45.53,45.56,45.4,45.45,393949,47.0962,44.643,46.1304,47.6178,45.8
2021-07-09 16:00:00,45.593,45.7,45.52,45.54,2264907,47.4589,44.6643,46.1418,47.6193,45.811
2021-07-09 15:45:00,45.61,45.7299,45.55,45.5909,1342481,47.5558,44.6792,46.1493,47.6194,45.8199
2021-07-09 15:30:00,45.4309,45.67,45.41,45.6,1229526,46.427,44.6958,46.1581,47.6204,45.8284
2021-07-09 15:15:00,45.385,45.47,45.3,45.435,911707,46.1358,44.7229,46.1707,47.6185,45.8447
2021-07-09 15:00:00,45.58,45.58,45.34,45.39,985296,47.204,44.754,46.1846,47.6152,45.8634
2021-07-09 14:45:00,45.4714,45.64,45.45,45.58,981424,46.5283,44.7712,46.1926,47.614,45.875
2021-07-09 14:30:00,45.48,45.51,45.28,45.48,993509,46.5746,44.7973,46.2044,47.6114,45.8915
2021-07-09 14:15:00,45.515,45.54,45.35,45.4808,1049190,46.76,44.8158,46.2116,47.6073,45.9083
2021-07-09 14:00:00,45.34,45.52,45.28,45.52,1174641,45.7008,44.8319,46.2179,47.6038,45.9243
2021-07-09 13:45:00,45.508,45.6,45.26,45.3399,1248059,46.5725,44.8586,46.2271,47.5956,45.9482
2021-07-09 13:30:00,45.74,45.79,45.4718,45.5101,987521,47.8065,44.8743,46.2329,47.5916,45.9661
2021-07-09 13:15:00,45.7187,45.81,45.5297,45.73,1358214,47.6818,44.8766,46.2339,47.5912,45.9754
2021-07-09 13:00:00,45.84,45.855,45.52,45.7185,1377488,48.3263,44.8806,46.2355,47.5905,45.9858
2021-07-09 12:45:00,45.675,45.86,45.5691,45.8407,1591427,47.3781,44.8778,46.2343,47.5908,45.9918
2021-07-09 12:30:00,45.285,45.7,45.258,45.676,1696170,45.0421,44.8737,46.2328,47.592,46.0047
2021-07-09 12:15:00,45.215,45.39,45.205,45.2817,1051642,44.6095,44.8834,46.2355,47.5876,46.0341
2021-07-09 12:00:00,45.0301,45.3,45.01,45.22,1553273,43.4576,44.8945,46.2384,47.5824,46.0675
2021-07-09 11:45:00,45.4287,45.4299,44.94,45.035,2482937,45.4547,44.9188,46.2442,47.5696,46.1099
2021-07-09 11:30:00,45.155,45.44,45.1,45.41,2814049,43.7141,44.9405,46.2517,47.5628,46.1377
2021-07-09 11:15:00,44.955,45.26,44.76,45.15,3659498,42.3978,44.9896,46.2668,47.544,46.1778
2021-07-09 11:00:00,44.9059,45.05,44.65,44.96,3299688,42.0719,45.0554,46.2839,47.5123,46.2277
2021-07-09 10:45:00,44.9383,44.98,44.58,44.91,5323650,42.2264,45.1282,46.3014,47.4745,46.2817
2021-07-09 10:30:00,45.6812,45.69,44.84,44.937,5748615,46.0245,45.1979,46.3172,47.4365,46.3365
2021-07-09 10:15:00,45.89,45.89,45.28,45.685,4675480,47.1937,45.2153,46.3236,47.4319,46.3632
2021-07-09 10:00:00,46.3677,46.38,45.57,45.9,5510564,50.044,45.2202,46.3257,47.4311,46.3826
2021-07-09 09:45:00,46.71,47.01,45.78,46.36,7571163,52.2605,45.1929,46.3122,47.4315,46.3832
2021-07-09 09:30:00,47.1,47.2,46.7,46.72,138237,54.9794,45.1485,46.2871,47.4257,46.3698
2021-07-09 09:15:00,47.06,47.36,47.0,47.1,292007,54.7428,45.1274,46.2573,47.3872,46.34
2021-07-09 09:00:00,46.68,47.18,46.62,47.03,179931,52.4138,45.0817,46.2214,47.361,46.3106
2021-07-09 08:45:00,46.94,46.94,46.6,46.7,94661,54.287,45.0059,46.1878,47.3697,46.2956
2021-07-09 08:30:00,46.93,46.95,46.89,46.94,25374,54.2254,44.9541,46.1518,47.3494,46.2692
2021-07-09 08:15:00,46.93,47.11,46.82,46.93,142591,54.2254,44.8722,46.1088,47.3453,46.2423
2021-07-09 08:00:00,46.94,47.0,46.9,47.0,15087,54.2957,44.8123,46.0689,47.3254,46.2142
2021-07-09 07:45:00,46.93,46.93,46.85,46.9,30254,54.2375,44.7396,46.0249,47.3101,46.1846
2021-07-09 07:30:00,47.1,47.11,46.82,46.92,37173,55.4125,44.6693,45.9803,47.2913,46.1542
2021-07-09 07:15:00,46.9,47.1,46.81,47.1,65367,54.2703,44.6637,45.9457,47.2276,46.1156
2021-07-09 07:00:00,46.89,46.91,46.81,46.9,10725,54.2128,44.6598,45.9179,47.1759,46.0835
2021-07-09 06:45:00,46.96,46.96,46.8,46.94,16073,54.6843,44.6187,45.8779,47.137,46.0506
2021-07-09 06:30:00,46.88,47.0,46.8,46.98,11057,54.2386,44.4707,45.8155,47.1602,46.0135
2021-07-09 06:15:00,47.0,47.02,46.87,46.89,31405,55.0343,44.3514,45.7573,47.1632,45.9781
2021-07-09 06:00:00,47.1,47.13,47.0,47.0,20191,55.7018,44.2366,45.6945,47.1523,45.9364
2021-07-09 05:45:00,47.12,47.2,47.01,47.09,17238,55.8345,44.102,45.6235,47.1449,45.8889
2021-07-09 05:30:00,46.8,47.2,46.8,47.13,39962,54.1205,43.9789,45.5513,47.1236,45.8387
2021-07-09 05:15:00,46.55,46.8,46.55,46.78,14039,52.7155,43.8415,45.4835,47.1254,45.7994
2021-07-09 05:00:00,46.81,46.81,46.5,46.5,27823,54.4138,43.73,45.4247,47.1193,45.7688
2021-07-09 04:45:00,46.79,46.82,46.74,46.8,24845,54.3028,43.6417,45.3613,47.0808,45.7263
