time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,23.2,23.24,23.15,23.2,17578,51.2087,23.0097,23.1695,23.3293,23.1732
2021-07-09 19:45:00,23.23,23.25,23.16,23.22,4088,52.0232,23.0096,23.1701,23.3305,23.1721
2021-07-09 19:30:00,23.2,23.22,23.19,23.19,9601,51.2635,23.0088,23.1709,23.3329,23.1697
2021-07-09 19:15:00,23.2,23.2,23.19,23.19,2131,51.2635,23.0077,23.1725,23.3372,23.1685
2021-07-09 19:00:00,23.2,23.2,23.19,23.2,14085,51.2635,23.0067,23.1741,23.3414,23.1672
2021-07-09 18:45:00,23.2,23.2,23.19,23.19,20594,51.2635,23.0059,23.1757,23.3454,23.1659
2021-07-09 18:30:00,23.19,23.2,23.18,23.18,7645,51.0251,23.0002,23.1793,23.3583,23.1645
2021-07-09 18:15:00,23.2,23.2,23.19,23.19,3872,51.2709,22.9925,23.1839,23.3752,23.1634
2021-07-09 18:00:00,23.2,23.2,23.18,23.2,5283,51.2709,22.9872,23.1879,23.3885,23.1619
2021-07-09 17:45:00,23.19,23.2,23.18,23.18,8768,51.0444,22.9826,23.1919,23.4011,23.1604
2021-07-09 17:30:00,23.2,23.24,23.19,23.1901,9051,51.278,22.977,23.1967,23.4163,23.1592
2021-07-09 17:15:00,23.19,23.29,23.16,23.19,24371,51.0585,22.9775,23.1977,23.4178,23.1575
2021-07-09 17:00:00,23.24,23.24,23.18,23.19,15079,52.211,22.977,23.1973,23.4175,23.1562
2021-07-09 16:45:00,23.24,23.26,23.22,23.26,10128,52.211,22.9765,23.1965,23.4164,23.1527
2021-07-09 16:30:00,23.22,23.25,23.21,23.25,12696,51.793,22.9713,23.1933,23.4152,23.1492
2021-07-09 16:15:00,23.29,23.29,23.21,23.22,182501,53.3949,22.9675,23.1909,23.4142,23.1463
2021-07-09 16:00:00,23.235,23.3,23.21,23.2899,1830008,52.2579,22.9631,23.1867,23.4103,23.1404
2021-07-09 15:45:00,23.23,23.3,23.23,23.2379,1018837,52.1539,22.9566,23.183,23.4093,23.1366
2021-07-09 15:30:00,23.185,23.25,23.18,23.23,600364,51.2166,22.9483,23.1788,23.4092,23.1328
2021-07-09 15:15:00,23.155,23.2,23.0801,23.185,718180,50.5842,22.9376,23.1747,23.4118,23.1306
2021-07-09 15:00:00,23.15,23.18,23.13,23.16,424500,50.4794,22.9279,23.1712,23.4144,23.1296
2021-07-09 14:45:00,23.16,23.1624,23.015,23.1485,1113095,50.6902,22.9195,23.168,23.4164,23.1288
2021-07-09 14:30:00,23.135,23.1794,23.1,23.165,518702,50.1804,22.9119,23.1648,23.4176,23.1275
2021-07-09 14:15:00,23.1356,23.149,23.09,23.135,351559,50.1926,22.9044,23.1619,23.4193,23.1272
2021-07-09 14:00:00,23.1019,23.1399,23.03,23.135,665583,49.5168,22.8971,23.1589,23.4207,23.1269
2021-07-09 13:45:00,23.15,23.2,23.1,23.11,417957,50.4748,22.8931,23.1573,23.4215,23.1279
2021-07-09 13:30:00,23.1599,23.2,23.12,23.1451,438429,50.6725,22.8894,23.1553,23.4212,23.127
2021-07-09 13:15:00,23.23,23.2683,23.1214,23.15,751916,52.0885,22.8833,23.1523,23.4213,23.1256
2021-07-09 13:00:00,23.2898,23.36,23.2132,23.2308,627559,53.3344,22.8775,23.1481,23.4187,23.1214
2021-07-09 12:45:00,23.2786,23.39,23.26,23.285,860017,53.1286,22.874,23.1431,23.4123,23.1145
2021-07-09 12:30:00,23.21,23.28,23.19,23.28,390232,51.8543,22.8723,23.1391,23.406,23.1078
2021-07-09 12:15:00,23.1888,23.24,23.175,23.21,346978,51.4545,22.8687,23.1359,23.4032,23.1036
2021-07-09 12:00:00,23.185,23.24,23.15,23.185,470730,51.3836,22.8601,23.1314,23.4026,23.1002
2021-07-09 11:45:00,23.23,23.24,23.135,23.18,672231,52.2696,22.8515,23.1268,23.402,23.0967
2021-07-09 11:30:00,23.13,23.26,23.12,23.2287,1107994,50.4073,22.8448,23.1217,23.3985,23.0913
2021-07-09 11:15:00,23.0682,23.1521,23.05,23.1357,696486,49.2071,22.8425,23.1201,23.3976,23.0897
2021-07-09 11:00:00,23.08,23.11,22.995,23.065,602389,49.431,22.8426,23.1201,23.3976,23.0906
2021-07-09 10:45:00,23.04,23.11,23.0005,23.0801,594948,48.655,22.8439,23.1213,23.3987,23.091
2021-07-09 10:30:00,22.94,23.14,22.91,23.0382,981678,46.6493,22.8459,23.1224,23.3989,23.0931
