time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 19:45:00,141.36,141.36,141.36,141.36,100,55.8971,137.1592,140.0913,143.0234,140.4296
2021-07-09 19:30:00,141.32,141.32,141.32,141.32,2456,55.7534,137.0781,140.0299,142.9816,140.3916
2021-07-09 18:30:00,141.32,141.32,141.32,141.32,220,55.7534,137.0016,139.9693,142.937,140.3537
2021-07-09 17:45:00,141.32,141.32,141.32,141.32,500,55.7534,136.9011,139.9003,142.8994,140.3143
2021-07-09 17:30:00,141.32,141.32,141.32,141.32,239,55.7534,136.8052,139.8307,142.8562,140.2732
2021-07-09 17:00:00,141.67,141.67,141.67,141.67,100,57.2593,136.7108,139.7597,142.8086,140.2305
2021-07-09 16:45:00,141.4,141.4,141.4,141.4,511,56.3684,136.6277,139.6803,142.7328,140.1717
2021-07-09 16:30:00,141.68,141.68,141.68,141.68,295,57.5884,136.5405,139.6051,142.6697,140.1216
2021-07-09 16:15:00,141.43,141.43,141.38,141.43,372224,56.7697,136.4546,139.5201,142.5855,140.058
2021-07-09 16:00:00,141.24,141.71,141.16,141.43,720535,56.1391,136.3926,139.4469,142.5012,140.002
2021-07-09 15:45:00,141.6102,141.675,141.2402,141.2453,266031,57.7475,136.3508,139.3841,142.4174,139.9515
2021-07-09 15:30:00,141.64,141.73,141.534,141.62,132157,57.8783,136.3465,139.3218,142.297,139.8838
2021-07-09 15:15:00,141.67,141.7,141.5716,141.63,114295,58.008,136.355,139.2614,142.1677,139.8121
2021-07-09 15:00:00,141.64,141.68,141.49,141.65,83774,57.9156,136.3648,139.1968,142.0288,139.7363
2021-07-09 14:45:00,141.57,141.71,141.53,141.64,106281,57.7028,136.384,139.1343,141.8846,139.6586
2021-07-09 14:30:00,141.28,141.564,141.28,141.564,103139,56.8164,136.416,139.0783,141.7405,139.5805
2021-07-09 14:15:00,141.455,141.46,141.27,141.273,73249,57.5294,136.4401,139.0281,141.616,139.5112
2021-07-09 14:00:00,141.55,141.63,141.36,141.4699,81647,57.9161,136.4751,138.9708,141.4664,139.4318
2021-07-09 13:45:00,141.31,141.63,141.29,141.55,120866,57.2039,136.5218,138.9094,141.2969,139.3454
2021-07-09 13:30:00,141.135,141.35,141.07,141.3,117404,56.6801,136.5557,138.8486,141.1414,139.2652
2021-07-09 13:15:00,141.32,141.47,141.12,141.145,223020,57.4081,136.588,138.7911,140.9941,139.1889
2021-07-09 13:00:00,141.39,141.46,141.25,141.3299,265241,57.6828,136.6399,138.7277,140.8154,139.1019
2021-07-09 12:45:00,140.98,141.39,140.9242,141.37,143809,56.4876,136.6726,138.6483,140.6239,139.0085
2021-07-09 12:30:00,141.04,141.2,140.94,140.97,113875,56.7173,136.7034,138.5819,140.4604,138.928
2021-07-09 12:15:00,140.97,141.16,140.97,141.059,128468,56.5151,136.7495,138.5125,140.2754,138.8418
2021-07-09 12:00:00,141.09,141.18,140.79,140.965,165360,56.9622,136.7454,138.4289,140.1124,138.7549
2021-07-09 11:45:00,140.77,141.1482,140.77,141.09,166003,56.0537,136.7883,138.3453,139.9023,138.6596
2021-07-09 11:30:00,140.6884,140.7888,140.59,140.77,175254,55.8207,136.7226,138.2511,139.7795,138.5735
2021-07-09 11:15:00,139.87,140.755,139.87,140.6713,195841,53.3913,136.8244,138.1917,139.559,138.4872
2021-07-09 11:00:00,139.6,139.97,139.56,139.86,177180,52.5476,136.8564,138.1463,139.4362,138.4307
2021-07-09 10:45:00,139.295,139.62,139.16,139.61,147548,51.5773,136.8709,138.1043,139.3377,138.383
2021-07-09 10:30:00,139.23,139.58,139.15,139.3,258169,51.3697,136.8898,138.0764,139.263,138.3458
2021-07-09 10:15:00,139.11,139.3,138.91,139.2299,352229,50.9894,136.886,138.04,139.194,138.3097
2021-07-09 10:00:00,138.73,139.2386,138.62,139.12,259460,49.7704,136.8618,138.0008,139.1398,138.277
2021-07-09 09:45:00,137.89,138.72,137.81,138.72,333918,46.9098,136.869,137.9916,139.1142,138.2585
2021-07-09 09:30:00,137.7,138.2,137.68,137.68,1879,46.231,136.826,137.9758,139.1256,138.2736
2021-07-09 09:15:00,137.88,137.88,137.6451,137.6451,1134,46.7863,136.7839,137.9622,139.1405,138.297
2021-07-09 09:00:00,138.29,138.29,138.29,138.29,231,48.0755,136.7699,137.9548,139.1397,138.314
2021-07-09 08:45:00,138.69,138.69,138.3,138.3,1513,49.3763,136.7668,137.9478,139.1288,138.315
2021-07-09 08:30:00,138.8,138.87,138.58,138.61,1538,49.739,136.771,137.9328,139.0946,138.2997
2021-07-09 08:15:00,138.3,138.865,138.3,138.86,1079,48.0388,136.7788,137.914,139.0492,138.2793
2021-07-09 08:00:00,138.5,138.5,138.5,138.5,347,48.6843,136.7317,137.8884,139.0451,138.2784
2021-07-09 07:45:00,138.46,138.46,138.46,138.46,260,48.5488,136.7152,137.8664,139.0176,138.2694
2021-07-09 07:30:00,138.87,138.87,138.3,138.3,800,49.8718,136.6995,137.8452,138.9909,138.2616
2021-07-09 07:15:00,138.3,138.46,138.3,138.46,2419,47.9389,136.7085,137.8188,138.9291,138.2368
2021-07-09 07:00:00,138.15,138.15,138.15,138.15,500,47.416,136.668,137.7928,138.9176,138.2342
2021-07-09 04:15:00,137.41,137.41,137.0,137.0,234,44.7322,136.6452,137.775,138.9048,138.2376
2021-07-08 19:00:00,138.3,138.3,138.3,138.3,1000,47.5954,136.6566,137.7948,138.933,138.2714
2021-07-08 18:45:00,138.02,138.02,137.97,137.97,1307,46.5404,136.5406,137.8288,139.117,138.2702
2021-07-08 17:15:00,138.0,138.45,138.0,138.02,716,46.4649,136.4475,137.8678,139.2881,138.2805
2021-07-08 16:30:00,138.29,138.4654,138.29,138.4654,8333,47.4158,136.3664,137.908,139.4496,138.2919
2021-07-08 16:15:00,138.29,138.29,138.29,138.29,207112,47.4158,136.2902,137.9436,139.597,138.292
2021-07-08 16:00:00,137.87,138.42,137.7,138.33,794934,45.8752,136.2186,137.9806,139.7426,138.2921
2021-07-08 15:45:00,137.84,138.11,137.76,137.87,264305,45.764,136.1625,138.0263,139.8901,138.3093
2021-07-08 15:30:00,137.77,137.83,137.5101,137.82,173319,45.5079,136.1323,138.0675,140.0027,138.3284
2021-07-08 15:15:00,137.7,137.97,137.69,137.765,160795,45.2546,136.11,138.1102,140.1104,138.3512
2021-07-08 15:00:00,137.64,137.7596,137.4,137.69,118612,45.04,136.0956,138.1544,140.2132,138.3778
2021-07-08 14:45:00,137.43,137.69,137.33,137.64,139263,44.291,136.0941,138.1974,140.3008,138.4079
2021-07-08 14:30:00,137.77,137.79,137.3632,137.45,128143,45.2699,136.1099,138.2428,140.3757,138.4478
2021-07-08 14:15:00,138.1,138.1599,137.7585,137.78,124371,46.2421,136.1108,138.2836,140.4565,138.4755
2021-07-08 14:00:00,138.495,138.59,138.07,138.0893,88053,47.437,136.1051,138.3172,140.5293,138.4908
2021-07-08 13:45:00,138.62,138.72,138.49,138.5,108822,47.8202,136.0939,138.3427,140.5915,138.4907
2021-07-08 13:30:00,138.44,138.64,138.18,138.6,138241,47.2185,136.0819,138.3663,140.6507,138.4854
2021-07-08 13:15:00,138.515,138.74,138.41,138.44,103785,47.4419,136.0766,138.3917,140.7069,138.4872
2021-07-08 13:00:00,138.77,138.77,138.5,138.505,111758,48.2018,136.0637,138.421,140.7784,138.4861
2021-07-08 12:45:00,138.77,138.87,138.64,138.77,98938,48.2018,136.0541,138.442,140.8299,138.4745
2021-07-08 12:30:00,138.59,138.79,138.455,138.76,111568,47.6331,136.0471,138.4618,140.8766,138.4625
2021-07-08 12:15:00,138.48,138.64,138.35,138.585,174904,47.2866,136.0498,138.4769,140.9041,138.4573
2021-07-08 12:00:00,138.27,138.47,138.24,138.46,92428,46.6257,136.0534,138.4971,140.9408,138.4563
2021-07-08 11:45:00,138.26,138.435,138.08,138.24,146912,46.5945,136.0623,138.5227,140.9831,138.4639
2021-07-08 11:30:00,138.15,138.33,137.885,138.285,158509,46.2553,136.0751,138.5394,141.0038,138.4723
2021-07-08 11:15:00,137.42,138.19,137.3,138.125,171513,43.9399,136.0782,138.5786,141.079,138.4854
2021-07-08 11:00:00,137.66,137.7898,137.32,137.42,149448,44.5584,136.0866,138.6486,141.2106,138.5289
2021-07-08 10:45:00,137.57,137.79,137.14,137.69,231460,44.2701,136.0991,138.71,141.321,138.5644
2021-07-08 10:30:00,136.79,137.6042,136.42,137.56,266909,41.6952,136.0943,138.7853,141.4763,138.6049
2021-07-08 10:15:00,136.91,136.93,136.17,136.72,281948,41.9877,136.096,138.8943,141.6926,138.679
2021-07-08 10:00:00,136.06,136.92,135.6,136.89,494694,39.0181,136.1369,138.9921,141.8474,138.7512
2021-07-08 09:45:00,137.72,137.73,135.72,136.06,1159271,43.2559,136.2623,139.1099,141.9576,138.8611
2021-07-08 09:30:00,137.6,137.95,137.2,137.4,15459,42.8159,136.2759,139.1911,142.1064,138.9076
2021-07-08 09:15:00,137.5,137.51,137.5,137.51,1796,42.4514,136.291,139.2811,142.2712,138.961
2021-07-08 09:00:00,137.9,137.94,137.9,137.9,1975,43.5391,136.352,139.3611,142.3703,139.0207
2021-07-08 08:45:00,137.41,137.94,137.41,137.5,2018,41.7474,136.3944,139.4335,142.4726,139.0664
2021-07-08 08:30:00,137.15,137.5,137.0,137.41,8482,40.77,136.4366,139.5343,142.632,139.134
2021-07-08 08:15:00,138.27,138.27,136.63,137.0,6723,43.8779,136.5626,139.6123,142.662,139.215
