time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 17:30:00,117.3746,117.3746,117.3746,117.3746,245,54.5174,115.5078,116.9103,118.3129,117.0785
2021-07-09 17:15:00,117.71,117.72,117.71,117.71,813,56.8914,115.4505,116.8792,118.3079,117.0664
2021-07-09 17:00:00,117.4,117.4007,117.4,117.4,404,55.1213,115.3968,116.8399,118.2831,117.0401
2021-07-09 16:45:00,117.47,117.47,117.47,117.47,52867,55.6267,115.3307,116.8043,118.278,117.0255
2021-07-09 16:30:00,117.7,117.7,117.47,117.47,7154,57.3192,115.2963,116.7747,118.2532,117.0073
2021-07-09 16:15:00,117.47,117.47,117.47,117.47,64130,56.0075,115.2577,116.7367,118.2157,116.979
2021-07-09 16:00:00,117.56,117.71,117.43,117.48,413725,56.6754,115.2239,116.7055,118.1872,116.959
2021-07-09 15:45:00,117.545,117.66,117.53,117.5681,146285,56.5909,115.1944,116.6723,118.1503,116.9345
2021-07-09 15:30:00,117.605,117.645,117.5,117.56,69292,57.0272,115.1721,116.641,118.11,116.9095
2021-07-09 15:15:00,117.68,117.695,117.55,117.61,49496,57.5709,115.155,116.6087,118.0624,116.8812
2021-07-09 15:00:00,117.69,117.7,117.64,117.67,49209,57.6428,115.1441,116.575,118.0058,116.8486
2021-07-09 14:45:00,117.66,117.725,117.61,117.71,82074,57.4868,115.1385,116.5415,117.9445,116.8142
2021-07-09 14:30:00,117.59,117.67,117.56,117.656,71166,57.126,115.143,116.5122,117.8813,116.7797
2021-07-09 14:15:00,117.65,117.7,117.58,117.5817,73795,57.5362,115.1519,116.4868,117.8217,116.7466
2021-07-09 14:00:00,117.71,117.7375,117.65,117.66,77260,57.944,115.1668,116.4603,117.7537,116.7097
2021-07-09 13:45:00,117.57,117.72,117.56,117.71,85371,57.2512,115.1886,116.4323,117.676,116.6689
2021-07-09 13:30:00,117.55,117.615,117.5,117.57,83535,57.1524,115.2082,116.4087,117.6092,116.6321
2021-07-09 13:15:00,117.45,117.535,117.42,117.535,100028,56.6614,115.2326,116.3892,117.5457,116.5947
2021-07-09 13:00:00,117.58,117.59,117.46,117.46,79462,57.5008,115.2524,116.3686,117.4848,116.5598
2021-07-09 12:45:00,117.4821,117.68,117.47,117.59,78844,57.031,115.2849,116.347,117.409,116.5181
2021-07-09 12:30:00,117.56,117.645,117.43799999999999,117.48,72110,57.5268,115.3145,116.3313,117.3481,116.4788
2021-07-09 12:15:00,117.465,117.63,117.445,117.55,94934,57.0809,115.3543,116.3123,117.2704,116.4346
2021-07-09 12:00:00,117.45,117.57,117.375,117.46,101235,57.011,115.3913,116.2944,117.1975,116.3926
2021-07-09 11:45:00,117.32,117.47,117.295,117.45,95780,56.4086,115.4243,116.2668,117.1093,116.3494
2021-07-09 11:30:00,117.15,117.42,117.12,117.31,141063,55.6113,115.4343,116.2348,117.0354,116.3098
2021-07-09 11:15:00,116.955,117.31,116.95,117.16,91646,54.6795,115.4582,116.215,116.9718,116.2755
2021-07-09 11:00:00,116.67,116.97,116.65,116.96,91378,53.2747,115.4579,116.1923,116.9267,116.2478
2021-07-09 10:45:00,117.17,117.17,116.62,116.675,99610,56.2738,115.4595,116.1813,116.9032,116.2306
2021-07-09 10:30:00,117.0,117.31,116.99,117.21,94868,55.4379,115.4979,116.1623,116.8268,116.1922
2021-07-09 10:15:00,117.15,117.28,116.93,116.97,162094,56.3697,115.5025,116.1359,116.7693,116.1592
2021-07-09 10:00:00,117.0,117.29,116.96,117.13,168400,55.639,115.5087,116.1019,116.6952,116.1188
2021-07-09 09:45:00,116.06,117.07,116.0,117.01,264122,50.5535,115.5488,116.0837,116.6186,116.0828
2021-07-09 09:30:00,116.2,116.2,116.05,116.05,1590,51.4138,115.5352,116.0777,116.6202,116.0838
2021-07-09 09:15:00,116.05,116.05,116.05,116.05,308,50.5298,115.524,116.0701,116.6162,116.079
2021-07-09 09:00:00,116.05,116.15,116.05,116.15,1164,50.5298,115.5221,116.0687,116.6154,116.0802
2021-07-09 08:45:00,116.3,116.3,116.07,116.07,891,52.0454,115.448,116.0509,116.6539,116.0814
