time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 17:30:00,262.23,262.23,262.23,262.23,101,52.7198,254.296,259.1818,264.0677,260.1082
2021-07-09 17:15:00,261.81,261.81,261.81,261.81,879,52.1206,254.13,259.0462,263.9624,260.0216
2021-07-09 16:15:00,262.83,262.89,262.83,262.89,6379,53.7416,254.0658,258.95,263.8343,259.9486
2021-07-09 16:00:00,262.51,262.98,262.33,262.84,79279,53.295,254.0572,258.8372,263.6172,259.831
2021-07-09 15:45:00,262.17,262.65,261.67,262.51,34852,52.8207,253.9345,258.6942,263.4539,259.7216
2021-07-09 15:30:00,262.025,262.55,261.86,262.24,20694,52.6196,253.6099,258.5132,263.4166,259.6217
2021-07-09 15:15:00,261.97,261.97,261.505,261.92,7254,52.5444,253.4167,258.3577,263.2987,259.5236
2021-07-09 15:00:00,262.25,262.335,261.525,261.87,11274,52.9638,253.0171,258.1585,263.3,259.4237
2021-07-09 14:45:00,262.25,262.4882,262.1275,262.4489,6142,52.9638,252.6668,257.9537,263.2407,259.3084
2021-07-09 14:30:00,262.5799,262.98,262.24,262.24,20925,53.4464,252.3504,257.7487,263.1471,259.1883
2021-07-09 14:15:00,261.8,262.6,261.79,262.495,15011,52.4424,252.142,257.5491,262.9562,259.0499
2021-07-09 14:00:00,261.64,261.82,261.28,261.77,15176,52.2353,251.9259,257.3657,262.8056,258.9376
2021-07-09 13:45:00,261.94,262.0,261.48,261.55,8555,52.6566,251.7974,257.2029,262.6085,258.8273
2021-07-09 13:30:00,261.6,262.03,261.6,261.915,12614,52.2286,251.7919,257.0619,262.332,258.7003
2021-07-09 13:15:00,261.6,261.79,261.1804,261.475,15042,52.2286,251.5758,256.8699,262.1641,258.5819
2021-07-09 13:00:00,262.09,262.1,261.625,261.625,6206,52.8905,251.6077,256.7435,261.8794,258.4587
2021-07-09 12:45:00,261.51,262.12,261.42,261.7301,11702,52.1877,251.7435,256.6577,261.572,258.3105
2021-07-09 12:30:00,260.7645,261.55,260.7645,261.49,8046,51.272,251.8525,256.5695,261.2866,258.1799
2021-07-09 12:15:00,260.5399,261.14,260.35,260.74,8948,50.9949,251.9179,256.5342,261.1506,258.0744
2021-07-09 12:00:00,259.93,260.9458,259.93,260.405,15289,50.2419,251.9737,256.5042,261.0348,257.9738
2021-07-09 11:45:00,258.92,259.71,258.81,259.71,9745,48.9693,251.98,256.501,261.0221,257.894
2021-07-09 11:30:00,259.66,259.76,258.93,258.98,13292,49.8854,251.9444,256.5232,261.1021,257.8521
2021-07-09 11:15:00,259.7,260.26,259.25,259.52,19169,49.9348,251.9219,256.5346,261.1474,257.7783
