time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,435.6,435.65,435.58,435.65,8873,61.0089,432.4598,434.6276,436.7954,434.5801
2021-07-09 19:45:00,435.5801,435.6,435.5801,435.6,502,60.9258,432.3266,434.5636,436.8006,434.5385
2021-07-09 19:30:00,435.6,435.6,435.57,435.58,21228,61.0533,432.179,434.4952,436.8114,434.4959
2021-07-09 19:15:00,435.59,435.59,435.5701,435.5701,5733,61.0131,432.0373,434.4254,436.8135,434.4509
2021-07-09 19:00:00,435.56,435.59,435.56,435.59,1811,60.8946,431.8843,434.3514,436.8185,434.4044
2021-07-09 18:45:00,435.6,435.6,435.56,435.56,1168,61.1375,431.73,434.2756,436.8212,434.3572
2021-07-09 18:30:00,435.6,435.6,435.58,435.6,6964,61.1375,431.5943,434.2004,436.8065,434.3065
2021-07-09 18:15:00,435.56,435.62,435.56,435.62,17682,60.988,431.4865,434.1294,436.7723,434.2537
2021-07-09 18:00:00,435.58,435.62,435.56,435.6,12080,61.1032,431.4169,434.0676,436.7183,434.2004
2021-07-09 17:45:00,435.62,435.62,435.59,435.59,1002,61.3302,431.3489,434.004,436.6591,434.1441
2021-07-09 17:30:00,435.59,435.62,435.58,435.58,6010,61.2243,431.2693,433.9342,436.5991,434.0838
2021-07-09 17:15:00,435.63,435.65,435.52,435.59,1401801,61.4441,431.1981,433.8656,436.5331,434.0223
2021-07-09 17:00:00,435.59,435.65,435.5,435.62,1639242,61.308,431.1172,433.7912,436.4652,433.9567
2021-07-09 16:45:00,435.59,435.65,435.48,435.57,69070,61.308,431.0497,433.7194,436.3891,433.8901
2021-07-09 16:30:00,435.39,435.59,435.39,435.59,156196,60.6406,430.9343,433.6336,436.3329,433.8207
2021-07-09 16:15:00,435.48,435.57,435.3,435.38,10231971,61.1054,430.7641,433.5394,436.3147,433.7566
2021-07-09 16:00:00,435.35,435.84,435.29,435.49,13954075,60.6788,430.5988,433.4408,436.2828,433.6863
2021-07-09 15:45:00,435.53,435.63,435.35,435.35,3097176,61.5956,430.4268,433.3414,436.256,433.6184
