time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,655.2,655.78,655.1,655.78,7308,52.6545,651.0069,654.8335,658.66,654.472
2021-07-09 19:45:00,655.5,655.66,655.11,655.12,3578,52.9948,651.0102,654.8497,658.6891,654.4423
2021-07-09 19:30:00,655.46,655.5,655.46,655.5,1196,52.9551,651.0111,654.8577,658.7042,654.3992
2021-07-09 19:15:00,655.3501,655.8499,655.3,655.8499,1041,52.8478,651.0054,654.8483,658.6912,654.3559
2021-07-09 19:00:00,655.5,655.88,655.3,655.79,1875,53.0094,650.9938,654.8811,658.7683,654.3153
2021-07-09 18:45:00,655.6,655.81,655.6,655.62,1145,53.1156,650.9823,654.9111,658.8398,654.2669
2021-07-09 18:15:00,655.87,655.88,655.87,655.88,354,53.3987,650.8911,654.9789,659.0666,654.2125
2021-07-09 18:00:00,655.75,655.8,655.21,655.21,1349,53.2903,650.877,655.0061,659.1351,654.1449
2021-07-09 17:45:00,655.66,655.74,655.25,655.6,1524,53.2103,650.8127,655.0651,659.3174,654.0793
2021-07-09 17:30:00,655.35,655.39,655.06,655.39,3770,52.9381,650.7835,655.1119,659.4402,654.0148
2021-07-09 17:15:00,655.5,655.75,655.4,655.4,3124,53.0845,650.7755,655.1549,659.5342,653.9603
2021-07-09 17:00:00,655.68,656.95,655.25,655.65,306953,53.2577,650.7665,655.1957,659.6248,653.8975
2021-07-09 16:45:00,655.33,656.95,655.3,655.45,15269,52.9653,650.6603,655.1379,659.6154,653.8247
2021-07-09 16:30:00,656.0,656.33,654.55,655.2,21937,53.5943,650.5059,655.0705,659.635,653.7633
2021-07-09 16:15:00,656.95,656.98,656.0,656.0,91094,54.4937,650.3411,654.9869,659.6326,653.672
2021-07-09 16:00:00,655.64,657.62,655.315,656.99,1117809,53.4378,650.173,654.8797,659.5863,653.5382
2021-07-09 15:45:00,655.07,656.72,655.07,655.73,561011,52.9725,650.0236,654.8029,659.5821,653.4524
2021-07-09 15:30:00,653.915,656.1,653.69,655.1537,455717,52.0205,649.8991,654.7415,659.5839,653.3864
2021-07-09 15:15:00,654.9653,655.9399,653.5,653.75,534349,52.9762,649.8116,654.7052,659.5987,653.3648
2021-07-09 15:00:00,655.0,655.5512,654.25,655.0,272911,53.0078,649.7385,654.6612,659.584,653.2995
2021-07-09 14:45:00,654.9,656.25,654.2,654.97,398360,52.9287,649.6681,654.6173,659.5664,653.2301
2021-07-09 14:30:00,654.8,655.19,653.08,654.6701,334383,52.8508,649.5577,654.5594,659.5612,653.1619
2021-07-09 14:15:00,654.44,655.3999,653.4,654.72,365056,52.5743,649.4868,654.5164,659.5461,653.095
2021-07-09 14:00:00,653.79,654.53,652.85,654.41,367889,52.0769,649.4648,654.5005,659.5361,653.0401
2021-07-09 13:45:00,654.58,655.35,653.2,653.7618,330398,52.7357,649.4335,654.4838,659.5342,653.0095
2021-07-09 13:30:00,655.82,656.39,653.56,654.61,424462,53.7822,649.3972,654.4582,659.5193,652.9454
2021-07-09 13:15:00,658.22,658.22,655.5,655.8181,450478,55.8857,649.358,654.4112,659.4645,652.8281
2021-07-09 13:00:00,657.7479,658.91,656.8,658.2101,689163,55.5506,649.3517,654.3038,659.256,652.608
2021-07-09 12:45:00,655.62,658.19,655.04,657.7935,800279,54.0072,649.3494,654.2121,659.0748,652.3982
2021-07-09 12:30:00,654.0,656.69,653.89,655.685,831358,52.7839,649.03,654.0815,659.133,652.2667
2021-07-09 12:15:00,652.07,654.4999,651.31,653.97,490109,51.2709,648.5857,653.9535,659.3212,652.196
2021-07-09 12:00:00,650.79,652.4,650.48,652.07,387801,50.2343,648.2612,653.8696,659.478,652.2011
2021-07-09 11:45:00,652.15,652.28,650.3614,650.8,298926,51.3722,648.1812,653.8472,659.5133,652.2587
2021-07-09 11:30:00,652.1382,653.54,651.2501,652.075,487215,51.3628,648.0188,653.7946,659.5705,652.2632
2021-07-09 11:15:00,650.83,652.5,649.87,652.04,476040,50.3231,647.6835,653.7028,659.7221,652.2683
2021-07-09 11:00:00,650.45,651.4,648.48,650.615,535855,50.019,647.6009,653.6778,659.7547,652.327
2021-07-09 10:45:00,651.0,651.1979,648.68,650.6043,511904,50.4571,647.4199,653.6308,659.8417,652.4036
2021-07-09 10:30:00,652.27,653.6,650.5,650.94,640109,51.4776,647.3295,653.602,659.8745,652.4609
2021-07-09 10:15:00,651.0879,653.79,648.5,652.13,1406065,50.5656,647.1978,653.5518,659.9058,652.4687
2021-07-09 10:00:00,653.62,654.2192,644.69,651.21,1234509,52.6426,646.9381,653.48,660.0219,652.525
2021-07-09 09:45:00,653.185,658.55,648.36,653.62,2135813,52.3128,646.5448,653.3446,660.1445,652.4803
2021-07-09 09:30:00,655.07,657.29,653.24,653.42,76936,53.9069,646.3171,653.2509,660.1848,652.4516
2021-07-09 09:15:00,655.57,657.28,655.4,655.4,33818,54.3373,645.809,653.0583,660.3075,652.3447
2021-07-09 09:00:00,656.12,657.0,655.45,655.75,21975,54.8091,645.0803,652.8089,660.5375,652.2131
2021-07-09 08:45:00,657.0,657.25,655.8,656.07,16238,55.5655,644.4776,652.5595,660.6413,652.0536
2021-07-09 08:30:00,656.5,657.3,656.26,656.8,7126,55.2214,643.6311,652.2387,660.8463,651.8517
2021-07-09 08:15:00,657.4735,658.5,655.2,656.69,27690,56.0496,642.6059,651.8887,661.1714,651.662
2021-07-09 08:00:00,656.61,656.99,656.0,656.7,5929,55.4691,641.7109,651.521,661.3311,651.4248
2021-07-09 07:45:00,656.7,657.0,655.55,657.0,4394,55.544,640.4442,651.102,661.7598,651.2131
2021-07-09 07:30:00,657.83,658.11,657.0,657.0,9354,56.483,639.8422,650.7786,661.715,650.9892
2021-07-09 07:15:00,656.01,658.0,654.51,657.75,15017,55.29,639.202,650.4084,661.6148,650.71
2021-07-09 07:00:00,655.9,656.46,655.9,656.46,819,55.2173,637.9585,649.9656,661.9727,650.4936
2021-07-09 06:30:00,654.99,655.0,654.88,655.0,1781,54.6189,636.4837,649.4708,662.4579,650.273
2021-07-09 06:15:00,656.99,656.99,655.43,655.43,900,56.2374,635.4513,649.0491,662.6469,650.0804
2021-07-09 06:00:00,657.0,657.0,656.45,656.84,1591,56.2456,633.8906,648.4767,663.0628,649.7984
2021-07-09 05:45:00,658.99,658.99,658.56,658.56,3287,57.885,632.4655,647.9021,663.3387,649.5045
2021-07-09 05:30:00,657.23,658.99,657.23,658.99,1729,56.7935,631.1474,647.2731,663.3988,649.1173
2021-07-09 05:15:00,658.7,658.7,657.51,657.51,894,58.0244,629.8865,646.6785,663.4705,648.7862
2021-07-09 05:00:00,658.0,658.0,658.0,658.0,279,57.5955,628.7901,646.0557,663.3213,648.3815
2021-07-09 04:45:00,657.5,658.01,657.5,657.51,2415,57.29,627.6945,645.4327,663.1709,647.9889
2021-07-09 04:30:00,657.54,658.09,656.1,657.65,5178,57.3224,627.1672,644.9309,662.6946,647.6007
2021-07-09 04:15:00,652.79,660.0,652.79,659.5,7718,54.3181,626.4469,644.3661,662.2854,647.195
2021-07-08 20:00:00,651.96,652.29,650.51,650.6,9527,53.7607,625.7198,643.9117,662.1037,646.9667
2021-07-08 19:45:00,651.82,652.01,651.52,651.52,4262,53.6673,625.0969,643.4925,661.8882,646.7629
2021-07-08 19:30:00,651.59,652.44,651.59,652.1,7450,53.516,624.4375,643.0561,661.6748,646.5565
2021-07-08 19:15:00,651.8,652.0,651.51,651.51,13423,53.6728,623.5992,642.5693,661.5395,646.351
2021-07-08 19:00:00,652.0,652.0,651.55,651.79,1690,53.8199,622.6273,642.0333,661.4394,646.1286
2021-07-08 18:45:00,652.1,652.67,651.5,652.44,3360,53.8923,621.8894,641.5323,661.1753,645.8889
2021-07-08 18:30:00,652.77,652.8,652.2,652.2,10889,54.3726,621.3568,641.0703,660.7838,645.6354
2021-07-08 18:15:00,652.8,652.8,652.8,652.8,219,54.3939,620.9704,640.6209,660.2715,645.3442
2021-07-08 18:00:00,652.01,652.63,652.01,652.63,2957,53.9288,620.5445,640.1449,659.7453,645.0399
2021-07-08 17:45:00,652.65,652.65,652.0,652.21,5297,54.369,620.0399,639.6547,659.2696,644.7554
2021-07-08 17:30:00,653.64,653.64,652.71,652.86,230464,55.0502,619.7512,639.1977,658.6442,644.4332
2021-07-08 17:15:00,652.96,653.57,652.96,653.57,15718,54.6679,619.451,638.6891,657.9272,644.0574
2021-07-08 17:00:00,653.3,653.3,652.81,652.81,17756,54.8967,619.2574,638.2209,657.1845,643.694
2021-07-08 16:45:00,653.47,653.47,653.1,653.25,5629,55.0095,619.3806,637.8621,656.3436,643.3019
2021-07-08 16:30:00,652.85,653.5,652.81,653.1,16299,54.6766,619.3333,637.3927,655.4521,642.8869
2021-07-08 16:15:00,653.16,654.0,652.15,652.85,250381,54.8756,619.5924,637.2247,654.8571,642.4803
2021-07-08 16:00:00,649.09,654.43,647.8,653.31,1509963,52.6591,619.8801,637.0575,654.2349,642.0444
2021-07-08 15:45:00,647.6,649.99,647.03,648.9,496676,51.8099,619.9949,636.9705,653.9462,641.7568
2021-07-08 15:30:00,647.8775,648.39,646.6,647.68,388703,51.9801,620.0814,636.8865,653.6916,641.5183
2021-07-08 15:15:00,649.67,651.31,647.7897,647.7897,456602,53.0839,620.178,636.801,653.424,641.2587
2021-07-08 15:00:00,649.52,649.88,647.27,649.6,276486,53.0021,620.3468,636.6816,653.0164,640.9154
2021-07-08 14:45:00,647.545,649.9599,646.1601,649.54,345445,51.9198,620.522,636.5592,652.5964,640.5642
2021-07-08 14:30:00,649.581,649.6796,646.25,647.6834,337297,53.1564,620.6155,636.4883,652.3611,640.2793
2021-07-08 14:15:00,648.1,649.99,646.8201,649.7999,472217,52.3473,620.8069,636.3667,651.9264,639.8996
2021-07-08 14:00:00,649.56,650.36,647.92,648.1,384130,53.2357,620.9455,636.2691,651.5926,639.5649
2021-07-08 13:45:00,649.76,651.79,649.33,649.455,565762,53.3572,621.1442,636.1579,651.1716,639.1569
2021-07-08 13:30:00,647.5,650.72,646.85,649.6909,558938,52.1472,621.3804,636.0269,650.6733,638.7242
2021-07-08 13:15:00,646.85,649.85,646.06,647.5059,577183,51.7947,621.5029,635.9529,650.4028,638.366
2021-07-08 13:00:00,648.5,648.8699,645.61,646.6601,496916,52.7615,621.5927,635.8989,650.205,638.0197
2021-07-08 12:45:00,645.436,648.6399,644.9,648.4680000000001,795147,51.1004,621.7668,635.8089,649.8509,637.5919
2021-07-08 12:30:00,643.1,645.66,642.5993,645.2909,441497,49.781,621.7925,635.7931,649.7938,637.2717
2021-07-08 12:15:00,643.65,646.286,642.8,642.8252,802917,50.0929,621.7372,635.8337,649.9303,637.0338
2021-07-08 12:00:00,640.96,643.725,639.8,643.42,763678,48.5479,621.7133,635.8515,649.9897,636.7638
2021-07-08 11:45:00,639.0,641.5,636.5,640.9899,648774,47.3848,621.6126,635.9449,650.2773,636.5925
2021-07-08 11:30:00,639.09,639.8065,636.3114,639.0,499352,47.4331,621.5243,636.0709,650.6176,636.4943
2021-07-08 11:15:00,635.66,639.7076,634.58,639.01,646107,45.3549,621.4833,636.1631,650.843,636.3883
2021-07-08 11:00:00,640.53,641.8,635.24,635.3501,912690,47.995,621.4473,636.3619,651.2765,636.418
