time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,51.18,51.18,51.18,51.18,3975,55.7906,50.4259,50.9962,51.5666,50.9279
2021-07-09 19:45:00,51.16,51.18,51.12,51.18,4008,55.5874,50.3937,50.9816,51.5696,50.9176
2021-07-09 19:30:00,51.1601,51.17,51.16,51.16,2326,55.5886,50.3753,50.9704,51.5656,50.9077
2021-07-09 19:15:00,51.2,51.2,51.1,51.16,3630,56.0825,50.3563,50.9588,51.5614,50.8974
2021-07-09 19:00:00,51.09,51.1,51.09,51.1,2250,55.0024,50.3535,50.9524,51.5514,50.8851
2021-07-09 18:45:00,51.12,51.12,51.08,51.1,10026,55.3664,50.3299,50.9406,51.5514,50.8767
2021-07-09 18:30:00,51.11,51.12,51.09,51.09,4488,55.2697,50.3036,50.9272,51.5509,50.8668
2021-07-09 18:15:00,51.12,51.12,51.12,51.12,1000,55.3872,50.2683,50.9116,51.555,50.8569
2021-07-09 18:00:00,51.12,51.12,51.03,51.12,6515,55.3872,50.2062,50.8902,51.5743,50.8461
2021-07-09 17:45:00,51.18,51.18,51.1,51.12,2476,56.0746,50.082,50.8588,51.6357,50.8349
2021-07-09 17:30:00,51.18,51.2,51.18,51.2,261,56.0746,49.9931,50.8292,51.6654,50.8208
2021-07-09 17:15:00,51.1603,51.2,51.1603,51.2,2373,55.9021,49.9236,50.8016,51.6797,50.8062
2021-07-09 17:00:00,51.13,51.1999,51.12,51.13,1811,55.6394,49.8691,50.7764,51.6837,50.7917
2021-07-09 16:45:00,51.11,51.13,51.11,51.12,7953,55.4678,49.8224,50.7528,51.6832,50.7779
2021-07-09 16:30:00,51.15,51.15,51.12,51.13,5973,55.8915,49.7775,50.7294,51.6813,50.7644
2021-07-09 16:15:00,51.1,51.14,51.09,51.14,120814,55.4748,49.7138,50.7004,51.687,50.7486
2021-07-09 16:00:00,51.1726,51.18,51.08,51.1,697171,56.2308,49.6519,50.672,51.6922,50.7343
2021-07-09 15:45:00,51.15,51.26,51.15,51.175,350334,56.048,49.5972,50.6426,51.6879,50.7164
2021-07-09 15:30:00,51.14,51.21,51.11,51.15,225668,55.9683,49.5423,50.6128,51.6832,50.6987
2021-07-09 15:15:00,51.1,51.145,51.02,51.145,244133,55.6531,49.4893,50.5828,51.6763,50.6807
2021-07-09 15:00:00,51.105,51.17,51.1001,51.11,138845,55.7019,49.4356,50.5528,51.6699,50.6636
2021-07-09 14:45:00,51.13,51.14,51.065,51.106,162886,55.9426,49.3823,50.5219,51.6614,50.6456
2021-07-09 14:30:00,51.15,51.16,51.025,51.14,165546,56.1327,49.3366,50.4913,51.6459,50.6258
2021-07-09 14:15:00,51.035,51.18,51.025,51.146,200795,55.2762,49.2908,50.4593,51.6278,50.6044
2021-07-09 14:00:00,51.0807,51.09,50.99,51.0312,139068,55.6997,49.2496,50.4306,51.6115,50.5868
2021-07-09 13:45:00,51.145,51.155,51.04,51.085,165256,56.2945,49.2168,50.4022,51.5875,50.5667
2021-07-09 13:30:00,51.08,51.15,51.0489,51.15,101196,55.8272,49.183,50.3709,51.5587,50.5431
2021-07-09 13:15:00,51.14,51.15,51.03,51.075,163264,56.3724,49.1365,50.3373,51.538,50.5211
