time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-09 20:00:00,8.22,8.22,8.22,8.22,420,52.6855,8.0721,8.1667,8.2613,8.16
2021-07-09 19:45:00,8.13,8.13,8.13,8.13,200,49.317,8.0724,8.1663,8.2601,8.1576
2021-07-09 19:00:00,8.15,8.22,8.15,8.22,4000,50.0937,8.0737,8.168,8.2622,8.1587
2021-07-09 18:00:00,8.17,8.17,8.17,8.17,35006,50.879,8.0744,8.1692,8.264,8.1591
2021-07-09 17:30:00,8.17,8.17,8.17,8.17,600,50.879,8.0741,8.169,8.2638,8.1586
2021-07-09 17:15:00,8.1699,8.17,8.1699,8.17,200,50.8753,8.0741,8.17,8.2659,8.1581
2021-07-09 16:45:00,8.17,8.17,8.17,8.17,100,50.879,8.0736,8.1713,8.269,8.1577
2021-07-09 16:30:00,8.17,8.17,8.17,8.17,3000,50.879,8.0732,8.171,8.2688,8.1572
2021-07-09 16:15:00,8.17,8.17,8.1,8.1,9357,50.879,8.0727,8.1724,8.2721,8.1566
2021-07-09 16:00:00,8.15,8.185,8.15,8.16,336497,50.1872,8.0716,8.1742,8.2768,8.1561
2021-07-09 15:45:00,8.16,8.19,8.15,8.15,142254,50.5359,8.0708,8.1766,8.2824,8.1563
2021-07-09 15:30:00,8.12,8.17,8.12,8.155,115270,49.1508,8.0702,8.1787,8.2872,8.1562
2021-07-09 15:15:00,8.135,8.14,8.12,8.12,68700,49.6619,8.0727,8.1809,8.289,8.1577
2021-07-09 15:00:00,8.115,8.14,8.11,8.135,69300,48.9685,8.0746,8.1828,8.291,8.1586
2021-07-09 14:45:00,8.1,8.12,8.09,8.115,112139,48.4466,8.0763,8.1861,8.2959,8.1604
2021-07-09 14:30:00,8.12,8.13,8.1,8.1,42963,49.1028,8.081,8.1888,8.2966,8.1628
2021-07-09 14:15:00,8.12,8.13,8.11,8.125,40531,49.1028,8.0835,8.1918,8.3001,8.1646
2021-07-09 14:00:00,8.175,8.175,8.11,8.1184,71902,50.9245,8.0859,8.195,8.3041,8.1664
2021-07-09 13:45:00,8.185,8.19,8.16,8.175,57972,51.2634,8.0864,8.1966,8.3068,8.166
2021-07-09 13:30:00,8.195,8.21,8.18,8.18,34041,51.5999,8.0859,8.1985,8.3111,8.1653
2021-07-09 13:15:00,8.21,8.215,8.1822,8.195,91917,52.1027,8.0861,8.1996,8.3131,8.1641
2021-07-09 13:00:00,8.2,8.23,8.2,8.215,69823,51.7959,8.0862,8.2,8.3138,8.1622
2021-07-09 12:45:00,8.16,8.2,8.16,8.195,61016,50.5541,8.0853,8.1994,8.3135,8.1606
2021-07-09 12:30:00,8.165,8.17,8.155,8.16,20475,50.7141,8.0761,8.1972,8.3183,8.1607
2021-07-09 12:15:00,8.145,8.17,8.13,8.17,43959,50.0948,8.0504,8.1925,8.3346,8.1605
2021-07-09 12:00:00,8.135,8.15,8.12,8.14,36124,49.7856,8.019,8.187,8.355,8.1611
2021-07-09 11:45:00,8.163,8.19,8.13,8.13,48808,50.6466,7.9936,8.1819,8.3702,8.1622
2021-07-09 11:30:00,8.16,8.175,8.13,8.17,52170,50.5568,7.9671,8.1758,8.3845,8.1622
2021-07-09 11:15:00,8.11,8.17,8.11,8.165,59175,49.0427,7.9481,8.1706,8.3932,8.1622
2021-07-09 11:00:00,8.1001,8.12,8.07,8.112,75494,48.7382,7.9319,8.1664,8.401,8.1644
2021-07-09 10:45:00,8.1,8.11,8.05,8.105,78506,48.7351,7.917,8.1624,8.4079,8.167
2021-07-09 10:30:00,8.0926,8.11,8.09,8.09,57931,48.5142,7.9007,8.158,8.4154,8.1697
2021-07-09 10:15:00,8.145,8.17,8.06,8.0901,200617,50.0099,7.8893,8.1546,8.4199,8.1729
2021-07-09 10:00:00,8.2282,8.2282,8.12,8.145,129582,52.5299,7.8776,8.1503,8.423,8.174
2021-07-09 09:45:00,8.29,8.29,8.17,8.22,131604,54.5301,7.8702,8.1455,8.4209,8.1718
2021-07-09 09:30:00,8.27,8.34,8.27,8.34,835,53.9743,7.8646,8.1397,8.4149,8.167
2021-07-09 09:15:00,8.24,8.24,8.23,8.24,1152,53.1321,7.8596,8.1345,8.4095,8.1628
2021-07-09 09:00:00,8.24,8.24,8.2,8.2,4296,53.1321,7.8586,8.1319,8.4053,8.1596
2021-07-09 08:30:00,8.25,8.28,8.24,8.28,757,53.4452,7.8574,8.1291,8.4009,8.1563
2021-07-09 08:15:00,8.21,8.25,8.21,8.24,1351,52.3444,7.8575,8.1271,8.3967,8.1525
2021-07-09 07:15:00,8.21,8.22,8.21,8.21,1507,52.3444,7.8565,8.1251,8.3937,8.1502
2021-07-08 20:00:00,8.19,8.19,8.19,8.19,500,51.7971,7.854,8.1221,8.3902,8.1477
2021-07-08 19:30:00,8.09,8.09,8.03,8.03,2320,48.9229,7.8533,8.1207,8.3881,8.146
2021-07-08 19:15:00,8.09,8.19,8.09,8.18,984,48.9229,7.8546,8.1219,8.3893,8.1483
2021-07-08 18:45:00,8.13,8.13,8.05,8.05,5950,50.0698,7.8546,8.1219,8.3893,8.1507
2021-07-08 18:00:00,8.16,8.16,8.16,8.16,1000,50.9477,7.8536,8.1211,8.3886,8.1515
2021-07-08 17:45:00,8.2,8.2,8.17,8.17,1199,52.1423,7.8526,8.1199,8.3873,8.1512
2021-07-08 16:15:00,8.19,8.19,8.1715,8.1715,16245,51.8658,7.8523,8.1187,8.3852,8.1492
2021-07-08 16:00:00,8.155,8.19,8.13,8.18,293020,50.8926,7.8515,8.1171,8.3828,8.1475
2021-07-08 15:45:00,8.21,8.21,8.15,8.15,191471,52.5281,7.8516,8.1178,8.3841,8.1472
2021-07-08 15:30:00,8.2,8.215,8.17,8.205,94142,52.2547,7.8507,8.1156,8.3806,8.1447
2021-07-08 15:15:00,8.215,8.23,8.195,8.2013,57371,52.7009,7.8507,8.1152,8.3797,8.1424
2021-07-08 15:00:00,8.21,8.22,8.192,8.21,40508,52.5686,7.8509,8.1145,8.3782,8.1394
2021-07-08 14:45:00,8.16,8.2176,8.155,8.205,55264,51.2318,7.851,8.1139,8.3768,8.1365
2021-07-08 14:30:00,8.22,8.225,8.16,8.17,54093,52.988,7.8505,8.1131,8.3757,8.1356
2021-07-08 14:15:00,8.2367,8.25,8.21,8.22,49214,53.4882,7.8497,8.1106,8.3714,8.1321
2021-07-08 14:00:00,8.155,8.25,8.15,8.2301,180835,51.2836,7.8494,8.1078,8.3661,8.1279
2021-07-08 13:45:00,8.24,8.245,8.15,8.155,87427,53.8878,7.8478,8.1061,8.3643,8.1268
2021-07-08 13:30:00,8.2592,8.265,8.22,8.24,161376,54.5004,7.8461,8.1021,8.358,8.1221
2021-07-08 13:15:00,8.27,8.31,8.26,8.26,139313,54.8441,7.8455,8.0979,8.3503,8.1166
2021-07-08 13:00:00,8.265,8.27,8.21,8.26,66289,54.7145,7.8459,8.0937,8.3414,8.1103
2021-07-08 12:45:00,8.23,8.27,8.2,8.267999999999999,59180,53.8052,7.8474,8.0903,8.3331,8.104
2021-07-08 12:30:00,8.23,8.24,8.19,8.225,37323,53.8052,7.8482,8.0878,8.3274,8.0988
2021-07-08 12:15:00,8.28,8.28,8.23,8.2325,96647,55.3295,7.8493,8.0859,8.3224,8.0935
2021-07-08 12:00:00,8.235,8.28,8.219,8.275,62305,54.1847,7.8523,8.0824,8.3124,8.0859
2021-07-08 11:45:00,8.27,8.285,8.23,8.2376,125662,55.2642,7.854,8.0805,8.307,8.0798
2021-07-08 11:30:00,8.28,8.3,8.23,8.27,135490,55.5742,7.857,8.0785,8.3,8.072
2021-07-08 11:15:00,8.255,8.31,8.25,8.29,98809,54.9551,7.8602,8.0741,8.288,8.0635
2021-07-08 11:00:00,8.28,8.28,8.18,8.255,117826,55.716,7.8596,8.0686,8.2777,8.0557
2021-07-08 10:45:00,8.25,8.29,8.16,8.27,279886,54.983,7.8626,8.0632,8.2639,8.0466
2021-07-08 10:30:00,8.23,8.255,8.135,8.2413,163797,54.4909,7.8649,8.0586,8.2524,8.0383
2021-07-08 10:15:00,8.17,8.27,8.16,8.225,316649,52.9797,7.8587,8.0518,8.2449,8.0304
2021-07-08 10:00:00,8.05,8.18,8.035,8.1669,265711,49.7062,7.8487,8.0457,8.2428,8.0247
2021-07-08 09:45:00,7.93,8.08,7.91,8.055,355178,46.0236,7.8462,8.0442,8.2422,8.0237
2021-07-08 09:30:00,7.87,7.93,7.87,7.91,9017,44.015,7.8486,8.045,8.2415,8.0275
2021-07-08 09:15:00,7.88,7.9,7.86,7.87,5146,44.2841,7.8583,8.0483,8.2384,8.034
2021-07-08 09:00:00,7.86,7.91,7.86,7.89,4888,43.6082,7.8684,8.0525,8.2367,8.0402
2021-07-08 08:45:00,7.9,7.91,7.83,7.83,6888,44.6704,7.8809,8.0567,8.2325,8.0476
2021-07-08 08:30:00,7.9,7.95,7.8699,7.95,8842,44.6704,7.8902,8.0613,8.2325,8.0536
2021-07-08 08:15:00,7.9004,8.0,7.7799,7.8801,59642,44.6808,7.9002,8.0657,8.2313,8.0599
2021-07-08 08:00:00,7.88,7.88,7.88,7.88,180,44.0263,7.9108,8.0701,8.2294,8.0664
2021-07-08 07:45:00,7.92,7.92,7.78,7.87,15909,45.0506,7.9241,8.0757,8.2273,8.074
2021-07-08 07:30:00,7.93,7.93,7.93,7.93,289,45.3089,7.9333,8.0809,8.2285,8.0803
2021-07-08 07:15:00,7.99,8.0,7.96,7.96,523,46.8895,7.9429,8.0853,8.2277,8.0864
2021-07-08 05:00:00,8.0,8.0,8.0,8.0,134,47.1582,7.9477,8.0883,8.2288,8.0904
2021-07-08 04:30:00,8.01,8.01,8.0,8.0,642,47.4245,7.9518,8.0915,8.2311,8.094
2021-07-07 20:00:00,8.11,8.11,8.11,8.11,200,50.2032,7.9511,8.0913,8.2314,8.0975
2021-07-07 19:45:00,8.1,8.1,8.1,8.1,400,49.9156,7.9474,8.0893,8.2312,8.097
2021-07-07 19:30:00,8.15,8.2,8.15,8.2,1250,51.3692,7.9475,8.0901,8.2326,8.0968
2021-07-07 19:15:00,8.11,8.11,8.11,8.11,360,50.233,7.9475,8.0901,8.2326,8.0947
2021-07-07 19:00:00,8.06,8.06,8.06,8.06,161,48.7666,7.9456,8.0887,8.2318,8.094
2021-07-07 18:45:00,8.12,8.12,8.12,8.12,125,50.5171,7.9447,8.0883,8.2318,8.0954
2021-07-07 18:30:00,8.15,8.15,8.15,8.15,100,51.4215,7.9442,8.0875,8.2308,8.0944
2021-07-07 18:00:00,8.09,8.1,8.05,8.05,980,49.6548,7.9441,8.0863,8.2284,8.0922
2021-07-07 17:45:00,8.09,8.09,8.09,8.09,106,49.6548,7.9444,8.0867,8.229,8.0923
2021-07-07 17:30:00,8.1,8.1,8.1,8.1,4418,49.9456,7.9432,8.0859,8.2286,8.0923
2021-07-07 17:15:00,8.14,8.14,8.1,8.11,3156,51.1189,7.9405,8.0843,8.2281,8.092
2021-07-07 17:00:00,8.11,8.11,8.11,8.11,150,50.26,7.9384,8.0821,8.2258,8.0901
2021-07-07 16:30:00,8.19,8.19,8.15,8.15,660,52.6788,7.9363,8.0805,8.2247,8.0893
2021-07-07 16:15:00,8.1,8.18,8.1,8.15,2280,50.0274,7.9367,8.0777,8.2187,8.0852
2021-07-07 16:00:00,8.18,8.185,8.14,8.14,190231,52.5945,7.9344,8.0761,8.2178,8.0845
2021-07-07 15:45:00,8.18,8.18,8.15,8.18,127094,52.5945,7.9329,8.0727,8.2124,8.0807
2021-07-07 15:30:00,8.18,8.18,8.16,8.18,71389,52.5945,7.9319,8.0693,8.2067,8.0766
2021-07-07 15:15:00,8.12,8.18,8.12,8.1799,104503,50.8128,7.9304,8.0656,8.2008,8.0724
2021-07-07 15:00:00,8.093,8.13,8.09,8.125,52808,49.9838,7.9274,8.0631,8.1988,8.0704
2021-07-07 14:45:00,8.095,8.1,8.055,8.091000000000001,82101,50.045,7.9249,8.0613,8.1977,8.0695
2021-07-07 14:30:00,8.07,8.1,8.065,8.095,46585,49.284,7.9231,8.0597,8.1964,8.0685
2021-07-07 14:15:00,8.0401,8.11,8.0401,8.073,82497,48.362,7.9229,8.0595,8.1962,8.0684
2021-07-07 14:00:00,8.05,8.0572,8.0329,8.05,36529,48.649,7.9237,8.0603,8.197,8.0696
2021-07-07 13:45:00,8.06,8.07,8.045,8.05,35192,48.9364,7.9243,8.0614,8.1986,8.0704
2021-07-07 13:30:00,8.095,8.095,8.05,8.05,43098,49.9488,7.9246,8.0622,8.1998,8.0708
2021-07-07 13:15:00,8.105,8.1074,8.09,8.09,32617,50.2398,7.9246,8.0626,8.2006,8.0698
2021-07-07 13:00:00,8.135,8.15,8.105,8.105,42408,51.1154,7.9238,8.0635,8.2031,8.0684
2021-07-07 12:45:00,8.105,8.14,8.08,8.135,76338,50.266,7.9239,8.0634,8.2029,8.0656
2021-07-07 12:30:00,8.1403,8.15,8.1027,8.1027,87151,51.2937,7.9236,8.0639,8.2042,8.064
2021-07-07 12:15:00,8.17,8.1899,8.11,8.14,100778,52.1733,7.9235,8.064,8.2045,8.0609
2021-07-07 12:00:00,8.0601,8.17,8.06,8.1676,320220,49.0021,7.9233,8.0641,8.2049,8.0565
2021-07-07 11:45:00,7.983,8.062999999999999,7.98,8.062999999999999,90506,46.5662,7.9222,8.0664,8.2106,8.0563
2021-07-07 11:30:00,8.01,8.05,7.98,7.98,76465,47.3423,7.9238,8.0707,8.2177,8.0593
2021-07-07 11:15:00,8.02,8.029,7.97,8.005,94879,47.6304,7.9257,8.0738,8.2219,8.0613
2021-07-07 11:00:00,7.89,8.05,7.885,8.03,259892,43.2288,7.9274,8.0766,8.2258,8.063
