time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,140.07,143.15,140.07,142.02,108181793,58.2029,121.0033,129.4885,137.9737,130.3103
2021-07-02,137.9,140.0,137.745,139.96,78945572,56.9145,121.3625,129.3258,137.2891,129.9119
2021-07-01,136.6,137.33,135.76,137.27,52485781,56.1204,121.5778,129.2241,136.8705,129.5859
2021-06-30,136.17,137.41,135.87,136.96,63261393,55.8567,121.7348,129.1349,136.5349,129.2996
2021-06-29,134.8,136.49,134.35,136.33,64556081,55.0125,121.8026,129.1073,136.412,129.0192
2021-06-28,133.41,135.245,133.35,134.78,62111303,54.1404,121.8549,129.077,136.2991,128.7832
2021-06-25,133.46,133.89,132.81,133.11,70783746,54.1775,121.834,129.0903,136.3465,128.5944
2021-06-24,134.45,134.64,132.93,133.41,68710998,54.906,121.8301,129.0929,136.3558,128.3958
2021-06-23,133.77,134.32,133.23,133.7,60214200,54.4941,121.8195,129.0982,136.3769,128.1486
2021-06-22,132.13,134.08,131.62,133.98,74783618,53.49,121.8555,129.0671,136.2787,127.9192
2021-06-21,130.3,132.41,129.21,132.3,79663316,52.34,121.8531,129.0705,136.2878,127.7473
2021-06-18,130.71,131.51,130.24,130.46,108953309,52.6257,121.8457,129.0561,136.2665,127.6431
2021-06-17,129.8,132.55,129.65,131.79,96721669,52.0564,121.8212,129.0165,136.2119,127.518
2021-06-16,130.37,130.89,128.461,130.15,91339351,52.4433,121.6789,128.9329,136.1869,127.4248
2021-06-15,129.94,130.6,129.39,129.64,62746332,52.1806,121.5719,128.8512,136.1305,127.3046
2021-06-14,127.82,130.54,127.07,130.48,96906490,50.8693,121.3104,128.7256,136.1409,127.197
2021-06-11,126.53,127.44,126.1,127.35,53522373,50.0526,121.0808,128.6383,136.1957,127.1716
2021-06-10,127.02,128.19,125.94,126.11,71186421,50.3643,120.7354,128.5366,136.3377,127.1978
2021-06-09,127.21,127.75,126.52,127.13,56877937,50.4837,120.2365,128.3943,136.5521,127.2051
2021-06-08,126.6,128.46,126.2101,126.74,74403774,50.1115,119.8976,128.279,136.6604,127.2049
2021-06-07,126.17,126.32,124.8321,125.9,71057550,49.851,119.4755,128.1499,136.8244,127.2296
2021-06-04,124.07,126.16,123.85,125.89,75169343,48.5658,119.0095,128.0133,137.0172,127.2728
2021-06-03,124.68,124.85,123.13,123.54,76229170,48.9227,118.9202,127.9842,137.0481,127.4035
2021-06-02,124.28,125.24,124.05,125.06,59278862,48.6804,118.8333,127.953,137.0727,127.5147
2021-06-01,125.08,125.35,123.94,124.28,67637118,49.1373,118.5446,127.87,137.1953,127.6467
2021-05-28,125.57,125.8,124.55,124.61,71311109,49.4158,118.1897,127.7623,137.335,127.7515
2021-05-27,126.44,127.64,125.08,125.28,94625601,49.9079,118.0447,127.7044,137.3641,127.8405
2021-05-26,126.955,127.39,126.42,126.85,56575920,50.1979,117.9382,127.6524,137.3666,127.8977
2021-05-25,127.82,128.32,126.32,126.9,72009482,50.6826,117.8918,127.623,137.3543,127.9362
2021-05-24,126.01,127.94,125.94,127.1,63092945,49.6863,117.5953,127.4907,137.3862,127.9409
2021-05-21,127.82,128.0,125.21,125.43,79295436,50.6899,117.2776,127.3745,137.4713,128.0197
2021-05-20,125.23,127.72,125.1,127.31,76857123,49.2525,117.0709,127.2647,137.4586,128.0279
2021-05-19,123.16,124.915,122.86,124.69,92611989,48.0668,116.8828,127.1898,137.4968,128.1421
2021-05-18,126.56,126.99,124.78,124.85,63342929,49.9452,116.5915,127.1032,137.615,128.3454
2021-05-17,126.82,126.93,125.17,126.27,74244624,50.0919,116.3248,126.9865,137.6483,128.4183
2021-05-14,126.25,127.89,125.85,127.45,81917951,49.7749,116.063,126.8657,137.6683,128.4835
2021-05-13,124.58,126.15,124.26,124.97,105861339,48.8421,115.8676,126.7716,137.6755,128.5747
2021-05-12,123.4,124.64,122.25,122.77,112172282,48.1756,115.8683,126.7719,137.6756,128.7377
2021-05-11,123.5,126.27,122.77,125.91,126142826,48.2278,116.0002,126.8678,137.7354,128.9556
2021-05-10,129.41,129.54,126.81,126.85,88071229,51.4559,116.002,126.8686,137.7353,129.1783
2021-05-07,130.85,131.2582,129.475,130.21,78973273,52.2917,115.8149,126.7281,137.6413,129.1688
2021-05-06,127.89,129.75,127.13,129.74,78128334,50.556,115.734,126.6005,137.467,129.1002
2021-05-05,129.2,130.45,127.97,128.1,84000900,51.3094,115.6671,126.5416,137.4161,129.1584
2021-05-04,131.19,131.4899,126.7,127.85,137564718,52.4734,115.5497,126.433,137.3163,129.1656
2021-05-03,132.04,134.07,131.83,132.54,75135100,52.9765,115.5559,126.3695,137.183,129.092
2021-04-30,131.78,133.56,131.065,131.46,109839466,52.841,115.5809,126.3335,137.0862,128.9808
2021-04-29,136.47,137.07,132.45,133.48,151100953,55.6779,115.6056,126.282,136.9585,128.8756
2021-04-28,134.31,135.02,133.08,133.58,107760097,54.5772,115.7945,126.1778,136.5611,128.575
2021-04-27,135.01,135.41,134.11,134.39,66015804,55.0111,115.7413,126.2014,136.6614,128.3502
2021-04-26,134.83,135.06,133.56,134.72,66905069,54.9208,115.7699,126.1882,136.6065,128.0876
2021-04-23,132.16,135.12,132.16,134.32,78756779,53.5659,115.7182,126.2096,136.7009,127.8217
2021-04-22,133.04,134.15,131.41,131.94,84566456,54.091,115.5497,126.2958,137.042,127.6538
