time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,150.08,152.8,147.8101,148.37,5069422,48.4576,125.7389,150.2626,174.7863,153.2694
2021-07-02,153.31,154.95,149.56,150.23,4844712,49.2564,125.3888,150.7194,176.05,153.3995
2021-07-01,154.5,157.41,151.41,153.08,9793859,49.5512,125.216,151.023,176.8299,153.4032
2021-06-30,145.545,154.09,144.245,153.14,9798633,47.221,125.0643,151.2948,177.5253,153.3584
2021-06-29,149.75,149.94,145.77,146.08,7478999,48.2465,124.9682,151.8476,178.7269,153.6774
2021-06-28,148.615,150.93,147.08,149.94,6450955,47.9475,124.5989,152.399,180.199,153.8377
2021-06-25,151.23,153.17,149.28,149.67,6452449,48.5813,124.3969,152.9469,181.4969,154.0508
2021-06-24,152.67,153.6272,149.86,150.73,8173384,48.9303,124.1351,153.4623,182.7895,154.166
2021-06-23,149.76,154.59,147.8,151.58,9335718,48.1932,123.781,153.9989,184.2168,154.227
2021-06-22,149.75,151.6468,148.4,149.68,5790390,48.1907,123.7385,154.509,185.2795,154.4093
2021-06-21,152.52,152.61,145.83,149.7,8040208,48.8351,123.5757,155.1076,186.6395,154.5995
2021-06-18,150.38,154.8,149.4,152.52,11628917,48.3118,123.3909,155.6496,187.9083,154.6844
2021-06-17,148.99,152.29,148.6116,150.7,8171295,47.973,123.2461,156.275,189.3039,154.8601
2021-06-16,150.95,152.35,146.92,149.15,9603920,48.4114,122.8522,157.0828,191.3133,155.0997
2021-06-15,149.2,153.74,148.84,151.78,12007681,47.9956,122.5332,157.8378,193.1423,155.2691
2021-06-14,149.25,149.6,146.85,149.21,6107480,48.0064,122.2305,158.687,195.1434,155.5168
2021-06-11,145.87,148.95,145.2001,148.44,4819914,47.2171,121.9964,159.552,197.1075,155.7726
2021-06-10,142.15,147.45,141.04,146.12,9482482,46.3383,122.3101,160.3432,198.3762,156.1767
2021-06-09,148.57,149.36,144.46,144.85,5606457,47.6809,122.987,161.1472,199.3073,156.7493
2021-06-08,150.6,150.75,145.8,147.01,7125810,48.1128,123.492,161.683,199.874,157.0831
