time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,94.875,95.41,93.32,94.47,44930119,59.0407,71.2801,81.407,91.5339,83.2462
2021-07-02,93.28,95.27,92.205,94.7,51342975,58.0685,71.7428,81.1137,90.4846,82.7715
2021-07-01,94.04,94.175,91.7,93.31,58059019,58.7194,72.1755,80.8803,89.5851,82.3426
2021-06-30,90.82,94.335,90.6,93.93,70721525,56.7045,72.7153,80.5793,88.4433,81.8652
2021-06-29,87.41,90.3,86.66,89.52,46181000,54.3943,73.0788,80.3793,87.6798,81.4997
2021-06-28,86.38,88.0,86.15,87.08,30262042,53.6624,73.235,80.2737,87.3124,81.2584
2021-06-25,86.34,86.36,85.1,85.62,27804535,53.6341,73.3362,80.2121,87.088,81.0494
2021-06-24,84.39,87.1399,84.365,86.1,42217665,52.2397,73.4421,80.0917,86.7413,80.8335
2021-06-23,83.83,84.485,83.1603,83.82,25992435,51.832,73.4662,80.0015,86.5368,80.6883
2021-06-22,82.9,84.04,82.48,83.58,32107700,51.1533,73.4748,79.9183,86.3618,80.5601
2021-06-21,83.49,84.19,82.21,82.59,44417112,51.6054,73.4849,79.9014,86.3179,80.4646
2021-06-18,84.28,85.77,83.48,84.65,58736805,52.2108,73.4991,79.8876,86.2761,80.3411
2021-06-17,80.77,85.37,80.57,84.56,77822823,49.6382,73.5273,79.8684,86.2095,80.1803
2021-06-16,80.75,81.45,78.96,80.11,29418666,49.6231,73.5301,79.8794,86.2287,80.1562
2021-06-15,81.59,81.68,80.225,80.47,26194342,50.2449,73.533,79.8886,86.2442,80.132
2021-06-14,81.51,81.55,80.2,81.55,27830243,50.1867,73.5327,79.8916,86.2505,80.0725
2021-06-11,81.61,82.33,80.7,81.31,24310894,50.2587,73.5218,79.8645,86.2072,80.0138
2021-06-10,80.02,81.71,79.7,81.56,28606356,49.1199,73.3752,79.7637,86.1522,79.9487
2021-06-09,81.09,81.677,79.8,79.96,28454646,49.8729,73.2386,79.6927,86.1468,79.9457
2021-06-08,81.87,82.645,80.45,80.89,26956625,50.4252,73.1276,79.6115,86.0954,79.899
2021-06-07,81.4,81.68,80.38,81.35,29006782,50.0989,73.0023,79.5065,86.0107,79.8186
2021-06-04,80.92,82.19,80.81,81.58,26387799,49.768,72.8352,79.3955,85.9558,79.754
2021-06-03,81.13,81.89,80.26,80.28,29811969,49.9099,72.7626,79.3281,85.8936,79.7065
2021-06-02,81.0,82.6,80.66,81.97,35203224,49.8231,72.7586,79.3081,85.8576,79.6484
