time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,3530.11,3685.48,3529.0,3675.74,6744768,56.8522,3111.9448,3336.3862,3560.8275,3348.2738
2021-07-02,3451.64,3511.72,3436.92,3510.98,3176697,54.8443,3114.6245,3332.166,3549.7074,3340.8519
2021-07-01,3434.61,3457.0,3409.4206,3432.97,2037053,54.393,3115.3993,3330.5668,3545.7342,3336.33
2021-06-30,3441.06,3471.6019,3435.0,3440.16,2403992,54.5955,3115.0619,3328.1946,3541.3272,3332.3186
2021-06-29,3438.82,3456.03,3423.03,3448.14,2098439,54.5379,3115.7433,3326.8454,3537.9474,3327.8801
2021-06-28,3416.0,3448.0,3413.5098,3443.89,2242793,53.9545,3116.4008,3325.8756,3535.3503,3323.352
2021-06-25,3464.0,3464.82,3394.18,3401.46,3940997,55.4205,3116.6798,3325.1556,3533.6313,3319.5704
2021-06-24,3507.64,3524.8599,3430.85,3449.08,3831999,56.7955,3118.1755,3323.2956,3528.4156,3313.6753
2021-06-23,3505.0,3521.0,3483.2,3503.82,2813341,56.7318,3121.5739,3321.2236,3520.8733,3305.7584
2021-06-22,3458.06,3523.78,3456.09,3505.44,3345082,55.592,3125.1098,3319.1405,3513.1711,3297.6261
2021-06-21,3476.42,3482.0,3434.0,3453.96,3277130,56.1591,3126.8437,3317.0835,3507.3232,3291.0778
2021-06-18,3479.99,3507.0,3473.71,3486.9,5247737,56.2685,3128.919,3313.6491,3498.3792,3283.5128
2021-06-17,3403.18,3497.2,3401.0,3489.24,5136531,54.3957,3131.7553,3310.2673,3488.7792,3275.4933
2021-06-16,3392.0,3426.35,3360.53,3415.25,4152189,54.1155,3129.122,3306.8797,3484.6373,3270.2816
2021-06-15,3384.0,3396.9866,3363.1101,3383.13,2426200,53.9168,3125.9599,3303.5147,3481.0694,3265.3135
2021-06-14,3346.83,3385.0,3335.5,3383.87,2569655,52.9903,3119.5756,3299.2947,3479.0137,3260.4692
2021-06-11,3349.65,3366.58,3333.45,3346.83,2817352,53.0697,3108.5301,3294.7169,3480.9036,3256.9442
2021-06-10,3282.01,3351.0,3281.15,3349.65,3476480,51.3579,3092.664,3289.0051,3485.3461,3253.1603
2021-06-09,3272.87,3297.58,3270.7,3281.15,2455530,51.1218,3079.0694,3284.7651,3490.4607,3251.9828
2021-06-08,3222.61,3279.5321,3218.01,3264.11,3416730,49.8091,3064.938,3280.4164,3495.8949,3251.1303
2021-06-07,3197.33,3208.0,3172.2,3198.01,2215756,49.1357,3051.9415,3276.8454,3501.7494,3252.2943
2021-06-04,3212.0,3221.0,3198.81,3206.22,2249749,49.5135,3043.3267,3274.3586,3505.3906,3254.5378
2021-06-03,3204.23,3214.435,3184.03,3187.01,2398293,49.3112,3040.1687,3273.1394,3506.1101,3256.274
2021-06-02,3223.1,3235.0,3208.0,3233.99,2014524,49.7859,3035.8101,3271.5948,3507.3796,3258.3983
2021-06-01,3243.495,3250.98,3209.06,3218.65,2430045,50.2989,3026.2323,3268.4898,3510.7474,3259.839
2021-05-28,3242.0,3247.99,3219.7,3223.07,2331509,50.2621,3012.9181,3264.2045,3515.491,3260.5061
2021-05-27,3256.0,3260.355,3230.04,3230.11,2561157,50.6061,3006.0328,3261.3845,3516.7363,3261.2615
2021-05-26,3274.5905,3295.73,3258.51,3265.16,2383986,51.0608,2996.9969,3257.7289,3518.461,3261.4762
2021-05-25,3266.67,3279.82,3213.76,3259.05,3261109,50.8765,2990.1789,3254.3365,3518.4942,3260.9409
2021-05-24,3215.5,3257.95,3210.4993,3244.99,2422813,49.6766,2981.6204,3250.4945,3519.3687,3260.7071
2021-05-21,3250.0,3256.6946,3197.01,3203.08,4104882,50.4915,2974.504,3247.6845,3520.8651,3262.5523
2021-05-20,3244.4042,3259.6799,3236.18,3247.68,2633192,50.3621,2968.6407,3244.7647,3520.8888,3263.0646
2021-05-19,3195.0,3234.75,3184.0,3231.8,2679708,49.2133,2962.6987,3241.8457,3520.9926,3263.8263
2021-05-18,3292.575,3312.0,3230.37,3232.28,2828391,51.5212,2952.4624,3238.3055,3524.1485,3266.6355
2021-05-17,3245.93,3292.75,3234.59,3270.39,3723925,50.4322,2940.6297,3232.754,3524.8782,3265.5768
2021-05-14,3185.56,3228.86,3183.0,3222.9,3325022,48.9785,2928.9712,3227.9354,3526.8995,3266.3787
2021-05-13,3185.47,3203.84,3133.0,3161.47,3356877,48.9763,2919.6397,3224.4642,3529.2886,3269.6774
2021-05-12,3185.0,3207.94,3133.1,3151.94,4936410,48.9651,2915.0978,3222.3784,3529.6589,3273.1144
2021-05-11,3136.28,3238.0,3127.37,3223.91,4619781,47.802,2913.6436,3221.5478,3529.4519,3276.7109
2021-05-10,3282.32,3283.0,3190.0,3190.49,5838603,51.2318,2913.2811,3221.38,3529.4788,3282.4428
2021-05-07,3319.09,3330.89,3289.0704,3291.61,4710276,52.1552,2908.0483,3217.6376,3527.2268,3282.4478
2021-05-06,3270.0,3314.4,3247.2,3306.37,4447696,50.9997,2904.972,3213.9906,3523.0091,3280.9522
2021-05-05,3338.855,3354.695,3264.36,3270.54,3711308,52.7508,2903.0518,3211.9256,3520.7993,3281.3993
2021-05-04,3356.19,3367.975,3272.13,3311.87,5439449,53.2015,2900.0872,3207.6891,3515.2909,3279.0541
2021-05-03,3484.73,3486.645,3372.7012,3386.49,5875530,56.7233,2900.0647,3204.7279,3509.391,3275.9057
2021-04-30,3525.12,3554.0,3462.5,3467.42,7009346,57.9036,2905.4078,3201.5979,3497.7879,3267.3823
2021-04-29,3505.0981,3514.445,3435.0,3471.31,7682381,57.4737,2914.284,3196.7439,3479.2037,3256.8624
2021-04-28,3434.8,3489.88,3425.0,3458.5,4631884,55.925,2922.7648,3191.9139,3461.063,3246.7303
2021-04-27,3443.47,3460.0,3398.01,3417.43,3827140,56.1723,2927.5723,3188.2989,3449.0254,3239.054
2021-04-26,3348.0,3428.45,3330.94,3409.0,4880708,53.9765,2933.4035,3184.4295,3435.4554,3230.7105
2021-04-23,3319.1,3375.0,3308.5,3340.88,3196652,53.2822,2934.7249,3183.3095,3431.8941,3225.9231
2021-04-22,3371.68,3372.87,3301.45,3309.04,2580590,54.7551,2934.8418,3183.2075,3431.5732,3222.12
2021-04-21,3316.0,3362.86,3303.8061,3362.02,2211166,53.4188,2936.7172,3182.0237,3427.3302,3216.0155
2021-04-20,3373.6,3382.99,3316.0,3334.69,2623032,55.0676,2935.4309,3182.8737,3430.3165,3211.9345
2021-04-19,3390.33,3435.9333,3360.16,3372.01,2725405,55.5557,2937.2505,3181.7817,3426.3128,3205.3359
2021-04-16,3380.0,3406.8,3355.59,3399.44,3186049,55.316,2939.6026,3180.5751,3421.5476,3197.7852
2021-04-15,3371.0,3396.9999,3352.0,3379.09,3233580,55.1094,2937.2157,3181.4753,3425.7349,3190.3478
2021-04-14,3404.04,3404.13,3326.0,3333.0,3145204,56.0419,2936.8247,3181.6553,3426.4859,3182.9743
2021-04-13,3400.845,3432.0,3395.63,3400.0,3315837,55.9713,2941.2749,3178.4217,3415.5685,3173.9512
2021-04-12,3355.21,3395.04,3351.15,3379.39,3281798,54.9586,2945.9918,3175.0048,3404.0178,3164.6902
2021-04-09,3304.7,3372.2,3288.9,3372.2,4341473,53.8062,2948.7392,3172.6014,3396.4636,3156.9139
2021-04-08,3310.9,3324.5,3292.0,3299.3,2812090,53.9723,2947.5098,3173.3372,3399.1645,3150.8818
2021-04-07,3233.8,3303.6125,3223.65,3279.39,3346227,52.1727,2947.892,3173.0463,3398.2006,3144.3504
2021-04-06,3223.75,3247.31,3217.04,3223.82,2537809,51.9327,2946.2088,3174.9403,3403.6718,3140.6994
