time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,40.81,40.88,39.87,40.07,47578664,53.8472,39.2618,41.4405,43.6191,40.8118
2021-07-02,41.37,41.47,41.1,41.15,28993974,55.0457,39.0287,41.3875,43.7462,40.8118
2021-07-01,41.56,41.7002,41.205,41.54,28045093,55.4561,38.8464,41.3319,43.8174,40.789
2021-06-30,40.76,41.355,40.72,41.23,29159782,54.0422,38.5569,41.2525,43.9482,40.7576
2021-06-29,41.63,41.95,40.75,40.89,38519613,55.9344,38.4379,41.2141,43.9903,40.7575
2021-06-28,41.46,41.58,41.1,41.56,34416478,55.6369,38.3376,41.166,43.9945,40.7219
2021-06-25,41.27,41.83,40.84,41.62,53178846,55.3065,38.2369,41.1198,44.0026,40.6917
2021-06-24,40.44,41.01,40.18,40.83,37161804,53.8344,38.1706,41.0857,44.0008,40.6681
2021-06-23,40.16,40.42,40.07,40.2,32039930,53.3262,38.0748,41.0533,44.0317,40.6775
2021-06-22,39.88,40.26,39.28,39.97,44113247,52.8172,38.0487,41.043,44.0373,40.6986
2021-06-21,39.12,39.78,39.03,39.75,48119374,51.4075,38.0458,41.0418,44.0379,40.732
2021-06-18,39.01,39.3,38.49,38.78,102774160,51.2006,38.0854,41.0543,44.0233,40.7978
2021-06-17,42.02,42.1,39.72,39.8,80728191,57.797,38.1273,41.0668,44.0064,40.8707
2021-06-16,41.28,41.985,40.67,41.62,63559189,56.4451,38.0639,41.0185,43.9732,40.8238
2021-06-15,41.28,41.56,40.9,41.39,39247942,56.4451,37.9908,40.9803,43.9698,40.8052
2021-06-14,41.85,41.905,41.06,41.36,36050674,57.8151,37.9461,40.9514,43.9566,40.7858
2021-06-11,41.81,41.89,41.51,41.86,31203614,57.7446,37.8271,40.8877,43.9484,40.7424
2021-06-10,42.76,42.9599,41.615,41.69,40123631,60.0829,37.6977,40.8207,43.9437,40.6988
2021-06-09,42.47,42.73,42.11,42.32,42366332,59.5934,37.5941,40.7349,43.8758,40.6147
2021-06-08,42.86,43.24,42.425,42.88,41871447,60.5724,37.4439,40.6434,43.8429,40.539
2021-06-07,43.27,43.39,43.06,43.12,28401875,61.6151,37.3422,40.55,43.7578,40.4442
2021-06-04,43.24,43.39,42.83,43.27,37192604,61.5677,37.1319,40.4189,43.706,40.3289
2021-06-03,42.77,43.49,42.68,43.25,46981200,60.8243,36.9769,40.2953,43.6137,40.2101
2021-06-02,43.1,43.17,42.6,42.94,34180477,61.1979,36.8319,40.184,43.536,40.1056
2021-06-01,42.95,43.28,42.765,42.92,42890652,60.966,36.7664,40.084,43.4015,39.9907
2021-05-28,42.66,42.705,42.05,42.39,38509710,60.519,36.7203,39.9912,43.262,39.8771
2021-05-27,42.48,42.845,42.115,42.55,52981095,60.242,36.6852,39.9085,43.1318,39.7708
2021-05-26,42.02,42.25,41.66,42.04,41332752,59.531,36.6192,39.8193,43.0193,39.6674
2021-05-25,42.69,43.255,41.93,42.01,52657668,61.0904,36.5027,39.7277,42.9526,39.5785
2021-05-24,42.58,42.78,42.25,42.63,31390752,60.9257,36.4693,39.6348,42.8003,39.4587
2021-05-21,42.02,42.6,41.89,42.4,40243780,60.0828,36.4351,39.542,42.649,39.3385
2021-05-20,41.9,42.125,41.46,41.87,36871075,59.9012,36.3388,39.4474,42.5561,39.2361
2021-05-19,41.65,42.0,41.31,41.97,42672763,59.5251,36.1861,39.3407,42.4952,39.1345
2021-05-18,42.7,42.95,42.14,42.16,37880308,61.9151,36.0395,39.2391,42.4386,39.0389
2021-05-17,42.24,42.85,42.16,42.74,32656416,61.2471,36.026,39.1331,42.2402,38.8967
