time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,53.2159,53.36,52.34,52.98,19394470,56.4592,50.4078,52.4615,54.5152,52.2583
2021-07-02,53.19,53.62,52.835,53.54,15068263,56.4056,50.3458,52.4202,54.4945,52.2192
2021-07-01,53.05,53.6,53.0,53.44,15074802,55.3585,50.3057,52.3854,54.4652,52.1796
2021-06-30,52.95,53.07,52.62,53.0,15826635,55.1505,50.2684,52.3614,54.4544,52.1589
2021-06-29,52.89,53.1877,52.77,52.91,10926112,55.0273,50.2619,52.3543,54.4466,52.1415
2021-06-28,53.16,53.29,52.92,52.96,14008655,55.7021,50.2546,52.347,54.4394,52.1257
2021-06-25,52.77,53.195,52.6466,53.06,16682662,54.9195,50.2433,52.3329,54.4225,52.0984
2021-06-24,52.94,53.05,52.61,52.78,13974285,55.3371,50.2073,52.3129,54.4184,52.0858
2021-06-23,53.27,53.29,52.59,52.76,14749810,56.1494,50.1557,52.2844,54.4132,52.0658
2021-06-22,53.3,53.36,52.81,53.26,16451238,56.2229,50.1128,52.2521,54.3913,52.0315
2021-06-21,52.365,53.41,52.29,53.18,17682231,54.3991,50.0922,52.2276,54.3631,51.9947
2021-06-18,52.805,52.84,51.88,52.07,35758257,55.4648,50.072,52.217,54.362,51.9942
2021-06-17,53.41,53.545,53.01,53.13,18288396,56.9685,50.0486,52.1998,54.3511,51.9759
2021-06-16,53.85,53.92,53.13,53.47,15142272,58.091,50.0292,52.172,54.3149,51.9324
2021-06-15,54.23,54.32,53.73,53.79,12542570,59.0762,50.0198,52.1349,54.2499,51.8692
2021-06-14,54.39,54.5278,53.525,54.17,15131359,59.4926,50.0132,52.0832,54.1531,51.788
2021-06-11,55.19,55.35,54.54,54.77,17134047,61.6205,50.0088,52.0235,54.0383,51.6971
2021-06-10,54.43,55.08,54.27,55.03,22183543,60.2984,50.0836,51.9496,53.8156,51.5699
2021-06-09,54.18,54.42,53.935,54.02,14861230,59.8526,50.1241,51.8963,53.6684,51.4685
2021-06-08,53.97,54.39,53.89,54.13,15329693,59.478,50.167,51.8536,53.5403,51.373
2021-06-07,54.32,54.44,53.79,53.92,14899750,60.3985,50.0813,51.7796,53.478,51.2821
2021-06-04,53.435,54.17,53.435,54.07,11676702,58.8193,50.0333,51.6982,53.3631,51.1733
2021-06-03,52.8,53.555,52.62,53.33,17593103,57.6313,49.8674,51.6218,53.3763,51.096
2021-06-02,52.65,52.99,52.4,52.96,14529315,57.3464,49.7076,51.5596,53.4117,51.0412
2021-06-01,52.96,53.315,52.43,52.62,15741984,58.1381,49.4222,51.4791,53.5361,50.9903
2021-05-28,53.18,53.22,52.835,52.9,14864346,58.7017,49.1416,51.3879,53.6342,50.9247
2021-05-27,52.93,53.35,52.58,52.92,56216068,58.251,48.8709,51.2886,53.7063,50.8476
2021-05-26,53.35,53.61,52.82,52.91,18671193,59.3168,48.7377,51.2158,53.6938,50.7774
2021-05-25,53.37,53.58,53.14,53.31,20657179,59.3675,48.5877,51.1263,53.6649,50.6873
2021-05-24,52.96,53.765,52.79,53.39,21128861,58.6577,48.4231,51.0307,53.6383,50.5928
2021-05-21,52.765,52.93,52.24,52.43,24468371,58.3183,48.2503,50.9415,53.6326,50.511
2021-05-20,50.41,52.97,50.1,52.85,48830758,53.833,48.0559,50.8502,53.6445,50.4338
2021-05-19,51.88,52.66,51.86,52.47,29187939,57.6263,47.8903,50.8049,53.7195,50.4489
2021-05-18,52.8,53.34,52.74,52.93,20177200,60.2293,47.638,50.7177,53.7974,50.405
2021-05-17,52.76,53.15,52.68,52.94,15731002,60.1527,47.2242,50.5809,53.9377,50.322
2021-05-14,52.93,53.215,52.6,52.9,14789375,60.6397,46.7457,50.4293,54.113,50.2373
2021-05-13,52.11,52.805,51.88,52.49,15868663,59.0733,46.2805,50.2682,54.256,50.1422
2021-05-12,52.18,52.43,51.4661,51.6,22123313,59.2706,45.882,50.1292,54.3764,50.0765
2021-05-11,53.1,53.11,52.11,52.83,20220914,61.9354,45.5703,49.9987,54.4271,50.0053
2021-05-10,53.97,54.14,53.16,53.16,23845556,64.6281,45.227,49.8359,54.4447,49.8938
2021-05-07,52.48,53.675,52.22,53.43,24146008,61.8438,44.9833,49.6629,54.3425,49.7426
2021-05-06,51.07,52.71,50.95,52.44,27106820,58.8391,44.7126,49.5196,54.3265,49.6455
2021-05-05,50.99,51.25,50.68,51.13,16205349,58.6581,44.4118,49.3975,54.3831,49.6017
2021-05-04,51.11,51.23,50.295,50.71,18164789,59.0398,44.1305,49.2774,54.4243,49.5593
2021-05-03,51.21,51.4,50.81,51.17,13465912,59.3552,43.8679,49.1555,54.443,49.5103
2021-04-30,51.22,51.23,50.41,50.91,19930545,59.3863,43.7143,49.0562,54.3982,49.4553
2021-04-29,51.18,51.6,50.98,51.46,13916580,59.3027,43.5587,48.9538,54.3489,49.3976
2021-04-28,51.56,51.77,50.92,51.11,14984035,60.4609,43.4062,48.8507,54.2953,49.3392
2021-04-27,51.58,51.67,51.35,51.37,13600990,60.5219,43.3211,48.7587,54.1964,49.263
2021-04-26,51.65,51.7685,51.5,51.64,13778194,60.732,43.2505,48.6696,54.0887,49.1829
2021-04-23,51.5035,52.13,51.1773,51.91,14017740,60.4504,43.1838,48.5776,53.9714,49.0967
2021-04-22,51.81,52.0865,51.38,51.5,15564755,61.3523,43.0552,48.4648,53.8745,49.0128
2021-04-21,51.84,52.07,51.48,51.93,14015534,61.4402,43.055,48.3976,53.7401,48.9132
2021-04-20,52.59,52.79,51.595,51.79,21257481,63.676,43.0549,48.3257,53.5964,48.8083
2021-04-19,52.525,52.96,52.49,52.85,20245609,63.5634,43.0544,48.2193,53.3842,48.6686
2021-04-16,52.45,53.18,52.26,52.8,28327910,63.4352,42.9752,48.0808,53.1863,48.5259
2021-04-15,51.76,51.94,51.37,51.64,17869815,62.2374,42.901,47.9413,52.9817,48.3805
2021-04-14,51.51,51.68,51.14,51.37,15376586,61.793,42.7988,47.811,52.8232,48.257
2021-04-13,51.64,51.88,51.34,51.66,13353171,62.1658,42.6601,47.6739,52.6877,48.1387
2021-04-12,52.07,52.16,51.47,51.57,16441725,63.4059,42.5364,47.5328,52.5291,48.0102
2021-04-09,51.8297,52.15,51.675,52.09,13135750,63.0017,42.5147,47.4041,52.2935,47.8591
2021-04-08,51.94,52.0,51.45,51.91,15111252,63.3162,42.4577,47.2669,52.0761,47.7116
2021-04-07,52.01,52.14,51.58,51.77,15783648,63.5135,42.4011,47.1205,51.84,47.5535
2021-04-06,51.98,52.22,51.78,52.025,15126113,63.4657,42.379,46.9758,51.5726,47.3862
2021-04-05,51.628,52.92,51.628,52.41,19860914,62.9069,42.3583,46.826,51.2936,47.2133
2021-04-01,51.75,52.07,51.35,51.98,17896171,62.5227,42.3664,46.692,51.0176,47.0475
2021-03-31,51.83,52.05,51.545,51.71,22212375,62.7328,42.3875,46.5654,50.7433,46.8848
2021-03-30,52.11,52.29,51.175,51.77,22465104,63.4643,42.4357,46.4372,50.4386,46.7122
2021-03-29,52.4008,52.9399,52.28,52.52,25032760,64.2266,42.5117,46.2961,50.0806,46.5213
2021-03-26,50.5996,52.64,50.56,52.57,31996954,61.4133,42.6471,46.1476,49.6481,46.3109
2021-03-25,50.575,51.4,50.285,50.51,34537716,61.3727,42.6874,46.0429,49.3984,46.1644
2021-03-24,49.94,50.4454,49.62,49.65,26444743,60.3149,42.7466,45.9388,49.1311,46.0129
2021-03-23,50.02,50.68,49.9,50.01,28328168,60.5195,42.7723,45.8444,48.9165,45.8808
