time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,183.16,183.9858,178.22,182.77,1957738,55.923,112.1064,149.6926,187.2788,156.6798
2021-07-02,181.05,184.7,180.35,182.91,2086200,55.5281,112.5643,148.9306,185.2969,155.599
2021-07-01,179.36,182.66,177.15,180.59,2570540,55.2131,113.0055,148.2076,183.4097,154.5602
2021-06-30,180.5,183.79,174.56,178.33,4880568,55.4728,113.4201,147.4952,181.5703,153.548
2021-06-29,177.25,184.28,175.07,183.91,3571699,54.8798,114.0753,146.8196,179.5639,152.4479
2021-06-28,181.08,181.25,175.105,175.6,1865129,55.7371,114.5375,146.1238,177.7101,151.4356
2021-06-25,176.03,180.94,174.09,176.72,7038497,54.8252,115.5171,145.528,175.5389,150.2256
2021-06-24,176.11,180.95,175.07,175.3,2682028,54.8428,116.1897,144.9074,173.6251,149.1723
2021-06-23,176.64,177.52,169.41,174.03,2747611,54.9569,117.0392,144.3854,171.7316,148.0728
2021-06-22,174.33,178.99,172.45,178.98,3739966,54.5529,118.0281,143.7894,169.5507,146.9068
2021-06-21,167.5,177.5,163.53,173.21,6461837,53.3401,118.7812,143.0628,167.3444,145.7875
2021-06-18,165.99,174.59,164.0,167.33,9450472,53.0688,118.541,142.2388,165.9366,144.9013
2021-06-17,159.21,165.01,158.58,164.52,4158217,51.8363,118.5158,141.4994,164.483,144.0405
2021-06-16,158.0,164.0,157.158,161.46,4808762,51.6141,118.3469,140.939,163.5311,143.4214
2021-06-15,158.0,160.1,155.3,158.65,2588249,51.6141,118.2156,140.414,162.6124,142.8263
2021-06-14,155.46,160.1,154.38,158.83,4721977,51.1597,118.2408,139.9318,161.6228,142.207
2021-06-11,145.65,154.35,145.04,154.16,4386140,49.36,118.3139,139.5602,160.8065,141.666
2021-06-10,136.51,145.26,136.12,144.85,3323843,47.5969,117.9589,139.2664,160.5739,141.5034
2021-06-09,137.59,141.26,135.66,136.98,3055518,47.7895,117.5813,139.1004,160.6195,141.7073
2021-06-08,139.82,142.91,135.685,136.76,2968306,48.1842,117.4474,139.0192,160.591,141.8753
2021-06-07,146.47,154.15,134.12,142.5,9575702,49.376,117.1862,138.8554,160.5246,141.9592
2021-06-04,140.64,147.13,139.83,143.8,2384913,48.2769,116.5194,138.4236,160.3278,141.7751
2021-06-03,149.89,150.46,138.31,139.11,2980517,49.9636,116.2731,138.2462,160.2193,141.8214
2021-06-02,148.13,153.2,146.53,149.83,3097772,49.6355,116.2467,137.9724,159.6981,141.4921
2021-06-01,152.2,154.95,147.34,149.27,2208704,50.3842,116.1932,137.7298,159.2664,141.2211
2021-05-28,152.0,154.22,149.56,150.28,2238859,50.3482,116.1382,137.3274,158.5166,140.773
2021-05-27,142.3,155.5,140.17,152.82,5996630,48.5711,116.0877,136.9165,157.7454,140.3148
2021-05-26,138.73,145.23,136.38,141.86,3151361,47.8985,115.9312,136.7305,157.5298,140.2338
2021-05-25,140.11,141.48,135.68,136.27,2812628,48.137,115.9486,136.7717,157.5949,140.2951
2021-05-24,139.0,143.42,137.36,140.46,3975660,47.9327,115.9497,136.8451,157.7406,140.3027
2021-05-21,136.77,138.85,135.44,137.57,3250174,47.5256,115.9549,136.8547,157.7546,140.3559
2021-05-20,134.81,138.02,133.35,137.0,6765972,47.1699,116.001,136.9193,157.8377,140.5022
2021-05-19,130.36,140.73,130.01,140.2,5588707,46.3607,116.1048,137.0859,158.067,140.7346
2021-05-18,135.5,143.85,133.09,138.56,10724425,47.1787,116.2091,137.1369,158.0647,141.158
2021-05-17,138.91,140.69,130.71,133.79,5197222,47.7261,116.2732,137.3551,158.437,141.3889
2021-05-14,125.0,146.63,123.57,141.07,15264687,45.1834,116.1892,137.5869,158.9846,141.4901
2021-05-13,114.05,118.72,110.13,115.49,6869498,43.0462,116.7738,138.0333,159.2929,142.1632
2021-05-12,119.52,120.1703,112.0501,112.99,4433729,43.8838,118.1283,138.8861,159.644,143.3107
2021-05-11,115.46,125.5,114.69,124.54,2724223,43.0781,118.2934,139.8557,161.418,144.2817
2021-05-10,124.9,125.09,118.56,120.45,2277694,44.535,118.7917,140.9753,163.1589,145.4581
2021-05-07,126.49,129.49,122.55,124.89,1887545,44.785,119.5233,141.5873,163.6513,146.2972
2021-05-06,127.88,131.11,120.05,122.77,3114933,45.0015,119.0703,142.5457,166.0212,147.1057
2021-05-05,134.0,134.625,124.93,128.39,2786400,45.9599,118.7487,143.4753,168.2019,147.8904
2021-05-04,137.31,138.03,129.59,135.22,2092434,46.4846,118.1262,144.3145,170.5028,148.4574
2021-05-03,142.85,146.43,139.5301,140.47,1412631,47.3717,115.4189,145.5283,175.6378,148.9123
2021-04-30,148.31,150.63,142.13,143.17,1806769,48.2612,112.9274,146.6727,180.4181,149.1598
2021-04-29,164.04,164.04,144.1301,150.11,4109858,50.9631,111.3073,147.5925,183.8778,149.1945
2021-04-28,160.01,167.23,158.3967,162.45,1621907,50.264,108.0678,148.5881,189.1085,148.5885
2021-04-27,156.55,164.665,154.9,162.13,3095819,49.6602,106.0469,149.4999,192.9529,148.1224
2021-04-26,153.2,157.34,150.44,153.8,1563945,49.0735,103.7044,150.6295,197.5547,147.7784
2021-04-23,145.06,153.17,144.01,152.75,2088693,47.6198,102.0921,151.7355,201.3789,147.5571
2021-04-22,144.9,149.4999,142.21,143.96,991427,47.591,101.8658,152.6475,203.4293,147.659
2021-04-21,143.74,143.74,139.06,143.32,1169047,47.3854,102.0933,153.3037,204.5142,147.7716
2021-04-20,146.72,148.81,142.25,144.35,1647738,47.8582,102.2773,154.0979,205.9185,147.9362
2021-04-19,142.46,150.34,142.31,146.67,2246065,47.119,102.2411,154.9549,207.6687,147.9858
2021-04-16,151.29,151.29,148.25,149.49,921278,48.5161,102.6325,155.7333,208.8341,148.2114
2021-04-15,145.0,154.88,144.87,151.5,3338725,47.4279,102.7046,156.4007,210.0968,148.0857
2021-04-14,150.01,153.275,143.11,143.65,2235075,48.2235,102.8379,157.3397,211.8415,148.2116
2021-04-13,146.84,150.36,143.5501,149.46,2823477,47.6793,102.7879,158.2313,213.6748,148.1382
2021-04-12,138.0,149.01,136.28,147.83,5730119,46.1318,103.0609,159.0825,215.1041,148.1912
2021-04-09,126.3,141.0,122.06,140.5,6671838,43.9829,103.5193,160.3023,217.0854,148.6072
2021-04-08,129.02,130.45,126.14,128.14,1879766,44.3863,104.7745,161.7763,218.7781,149.5177
2021-04-07,131.19,134.71,127.25,127.5,1866728,44.7069,106.0532,163.1559,220.2587,150.3543
2021-04-06,131.75,135.5,130.51,131.09,1755185,44.7887,107.4069,164.4187,221.4305,151.1365
2021-04-05,133.89,134.73,130.54,133.55,1459501,45.0978,108.9072,165.5877,222.2682,151.9278
2021-04-01,136.88,140.9,130.94,133.14,2190988,45.528,110.3405,166.7421,223.1437,152.6641
2021-03-31,130.96,132.83,127.64,131.13,2939249,44.5008,111.5075,168.0045,224.5015,153.3083
2021-03-30,128.21,132.0,126.16,130.6,1447133,44.0202,113.3582,169.2091,225.0601,154.2205
2021-03-29,133.53,138.52,129.66,129.98,2302636,44.7549,115.2046,170.7849,226.3653,155.2822
2021-03-26,131.63,136.99,129.57,134.01,2038364,44.4303,117.0452,172.0467,227.0482,156.17
2021-03-25,124.88,132.77,121.0,131.75,3016582,43.2697,119.2091,173.2623,227.3155,157.1716
2021-03-24,131.77,132.54,124.9,125.53,2164623,44.193,121.7616,174.0747,226.3878,158.4897
2021-03-23,136.2,139.9,131.35,131.76,1886619,44.7952,123.2426,174.5031,225.7637,159.5803
2021-03-22,136.0,139.48,133.44,135.91,1957871,44.7619,124.3178,174.8191,225.3205,160.5345
2021-03-19,132.08,136.62,127.13,135.03,2259385,44.1143,124.6319,174.8991,225.1664,161.536
2021-03-18,131.456,134.67,129.3142,130.62,2985126,44.0119,125.3792,175.0829,224.7866,162.7382
2021-03-17,133.0,136.245,127.7,133.8,3286925,44.2083,125.9377,175.2138,224.4899,164.0151
2021-03-16,140.79,141.99,133.09,133.66,2477473,45.2059,126.7104,175.4038,224.0972,165.281
2021-03-15,143.78,144.04,138.03,140.69,2110775,45.5929,126.6648,175.392,224.1192,166.2806
2021-03-12,139.48,145.4599,136.55,142.03,3255198,44.9284,126.7091,175.4044,224.0997,167.199
2021-03-11,140.0,147.73,139.56,144.97,3612433,44.9936,127.1996,175.5372,223.8748,168.3304
2021-03-10,143.14,147.735,134.04,135.77,5398457,45.3828,128.3746,175.9022,223.4298,169.4867
2021-03-09,132.91,147.2129,130.0,141.48,20400022,43.8313,129.2816,176.187,223.0924,170.5621
2021-03-08,146.41,150.4,130.03,133.41,6886050,45.503,130.9624,176.6288,222.2952,172.0989
2021-03-05,150.5,160.0,138.45,151.48,6175819,46.0241,131.8501,176.9216,221.9931,173.1475
2021-03-04,147.32,152.47,138.82,150.0,4366772,45.5489,132.7961,177.293,221.7899,174.0719
2021-03-03,156.69,161.34,144.56,148.25,4070507,46.737,133.2646,177.4308,221.597,175.1638
2021-03-02,168.0,170.8,155.22,160.59,5311725,48.225,133.3983,177.479,221.5597,175.9178
