time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,51.15,51.935,50.77,51.49,5945068,48.7737,40.8007,50.5084,60.2161,51.8466
2021-07-02,51.92,52.36,50.57,51.28,6025453,49.2334,40.7419,50.6304,60.519,51.8751
2021-07-01,52.27,53.39,51.03,51.8,8502999,49.4409,40.6022,50.7774,60.9526,51.8732
2021-06-30,51.95,52.8,51.3001,52.17,7633333,49.2492,40.5892,50.8418,61.0945,51.857
2021-06-29,52.9,52.95,51.46,52.03,7729057,49.7986,40.5729,50.9228,61.2728,51.8532
2021-06-28,51.71,52.76,50.89,52.71,9044048,49.1016,40.5288,51.0052,61.4816,51.8105
2021-06-25,51.1838,52.32,50.92,51.67,30374480,48.7936,40.4184,51.1613,61.9043,51.8146
2021-06-24,51.2164,51.59,50.26,51.06,11042077,48.8115,40.3272,51.3309,62.3346,51.8404
2021-06-23,50.56,51.17,50.07,50.53,11443407,48.4375,40.2426,51.5046,62.7667,51.8658
2021-06-22,48.94,50.26,48.47,50.16,8543231,47.5098,40.2437,51.658,63.0724,51.9191
2021-06-21,47.85,49.25,47.02,49.0,8770564,46.8797,40.2028,51.9063,63.6098,52.0407
2021-06-18,48.95,49.57,47.4333,48.06,12194660,47.443,40.2578,52.1669,64.076,52.2118
2021-06-17,48.0538,49.94,48.03,49.2,13294634,46.9339,40.2303,52.4339,64.6375,52.3449
2021-06-16,48.86,50.13,47.49,48.81,29795745,47.3381,40.177,52.7598,65.3426,52.5201
2021-06-15,44.949,49.05,44.65,48.51,88027754,45.0896,40.2214,53.027,65.8327,52.6695
2021-06-14,53.08,53.0995,50.41,50.62,16388768,49.3857,40.4528,53.4085,66.3641,52.9846
2021-06-11,53.71,54.68,53.02,53.14,7674727,49.7456,40.4104,53.5869,66.7633,52.9807
2021-06-10,54.22,54.68,52.78,53.65,8555212,50.0349,40.3713,53.7499,67.1284,52.9509
2021-06-09,55.69,56.0,53.66,54.48,11349496,50.8705,40.3844,53.8496,67.3147,52.8991
2021-06-08,54.0,55.61,52.96,55.3,14881737,49.9284,40.2712,54.0108,67.7504,52.7852
2021-06-07,50.41,53.65,50.32,53.51,14583883,47.8464,40.1056,54.2514,68.3971,52.7356
2021-06-04,49.92,50.545,49.78,50.33,6462323,47.5547,40.1697,54.5187,68.8676,52.8305
2021-06-03,49.81,50.75,49.22,49.71,8251264,47.4901,39.9919,54.9217,69.8514,52.9493
2021-06-02,48.78,51.02,48.3134,50.97,13385397,46.8897,39.7921,55.3573,70.9224,53.0775
2021-06-01,50.2,50.38,48.62,49.57,10615973,47.6254,39.6189,55.8455,72.072,53.2529
2021-05-28,50.51,51.92,49.7765,49.95,14662753,47.7858,39.7055,56.2023,72.6991,53.3775
2021-05-27,49.18,50.61,48.52,50.4,11468830,47.0358,39.7641,56.5781,73.3921,53.4945
2021-05-26,48.65,49.96,48.37,49.46,13963076,46.737,40.0388,56.9095,73.7802,53.6706
2021-05-25,49.17,49.98,47.28,48.42,24980829,46.9919,40.2427,57.3373,74.4319,53.8755
2021-05-24,44.8335,49.26,44.34,47.86,30740803,44.5189,40.4971,57.7333,74.9695,54.0676
2021-05-21,45.145,46.12,44.4101,44.63,15175969,44.6656,41.0859,58.2253,75.3647,54.4445
2021-05-20,43.656,44.8697,43.38,44.54,10758502,43.798,41.7032,58.7128,75.7224,54.8241
2021-05-19,42.332,43.52,41.81,43.44,17567028,43.0196,42.6015,59.1303,75.6591,55.2799
2021-05-18,43.795,45.36,43.55,44.27,15122695,43.6747,43.6963,59.5637,75.431,55.8084
2021-05-17,43.72,43.91,42.5522,43.51,17570353,43.6316,44.6881,59.9048,75.1214,56.2988
2021-05-14,41.53,45.29,41.44,44.89,28429055,42.369,45.7655,60.2716,74.7776,56.8122
2021-05-13,42.99,43.95,39.93,40.99,23688284,42.9982,47.18,60.7844,74.3888,57.4359
2021-05-12,43.8,44.79,41.4358,42.11,27985843,43.3482,48.3928,61.3612,74.3295,58.0256
2021-05-11,42.66,45.61,42.22,44.01,29470556,42.7049,49.7579,61.8454,73.9328,58.6062
2021-05-10,47.56,47.58,44.46,45.34,42216046,44.8501,51.4831,62.2618,73.0404,59.2571
2021-05-07,53.45,53.51,48.16,48.42,46018827,47.671,52.5582,62.5106,72.4629,59.7345
2021-05-06,55.69,55.82,50.25,51.89,27353931,48.8153,53.0179,62.6494,72.2808,59.991
2021-05-05,56.0465,57.6099,55.8343,56.18,11503453,48.9988,53.3004,62.7459,72.1914,60.1666
2021-05-04,56.27,56.34,53.1025,56.13,17944177,49.1122,53.3856,62.7695,72.1535,60.3347
2021-05-03,57.83,58.32,56.53,57.08,15797669,49.9021,53.669,62.8751,72.0813,60.5006
2021-04-30,56.79,58.05,56.11,56.66,10668282,49.3701,53.8049,62.9263,72.0478,60.6096
2021-04-29,59.82,59.99,56.22,57.46,15592771,50.9139,53.8791,62.9477,72.0164,60.7655
2021-04-28,58.72,59.89,58.25,59.69,7501885,50.3616,53.8852,62.9503,72.0155,60.8041
2021-04-27,60.84,62.27,58.88,59.13,13370397,51.455,54.0131,63.0069,72.0008,60.8892
2021-04-26,58.15,59.459,57.5601,59.23,8011201,50.1081,53.9403,62.9753,72.0104,60.8912
2021-04-23,57.25,58.45,57.24,58.12,10196919,49.6501,54.1248,63.0571,71.9894,61.0031
2021-04-22,59.27,59.669,56.51,57.17,12904224,50.6733,54.3916,63.1689,71.9463,61.1563
2021-04-21,55.49,58.83,54.89,58.78,12019613,48.7358,54.5208,63.2308,71.9407,61.2333
2021-04-20,56.0,57.0499,53.76,55.71,11987693,48.9902,54.9827,63.4154,71.8481,61.4677
2021-04-19,57.02,58.77,55.64,56.68,15947361,49.4967,55.4106,63.5734,71.7361,61.6909
2021-04-16,59.515,59.979,57.83,57.98,15202808,50.7546,55.7251,63.6796,71.634,61.8815
2021-04-15,59.6652,59.6652,56.76,57.48,11994251,50.8308,55.7591,63.6911,71.623,61.9781
2021-04-14,59.9,60.8288,58.8,58.88,10299486,50.948,55.6791,63.667,71.6548,62.0725
2021-04-13,58.23,59.4899,56.82,59.24,13399431,50.1468,55.2358,63.5598,71.8838,62.1612
2021-04-12,61.355,61.8861,57.14,58.03,23952588,51.6952,55.1405,63.535,71.9294,62.3216
