time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,242.95,246.55,241.19,245.89,671382,62.6114,226.5723,234.585,242.5977,228.3316
2021-07-02,241.14,244.29,241.14,242.34,614478,62.0179,225.7794,234.1681,242.5568,227.7349
2021-07-01,240.52,242.93,239.18,241.17,676497,61.8144,224.3306,233.6961,243.0615,227.1878
2021-06-30,239.27,240.47,237.78,239.51,523474,61.4059,217.8915,232.7236,247.5557,226.6436
2021-06-29,235.95,239.78,235.03,239.31,521698,60.3004,212.6586,231.724,250.7893,226.1282
2021-06-28,239.13,239.33,236.81,237.45,552065,61.9665,208.3494,230.7881,253.2269,225.7273
2021-06-25,239.56,242.785,238.83,238.99,2090412,62.1943,204.581,229.7811,254.9813,225.1803
2021-06-24,236.57,239.26,235.0814,239.18,406549,61.2232,201.0357,228.7362,256.4367,224.5934
2021-06-23,237.86,237.86,233.935,234.73,787266,61.8954,197.7103,227.7339,257.7574,224.1045
2021-06-22,239.0,239.6555,236.51,238.11,692509,62.4896,194.6552,226.7008,258.7463,223.5431
2021-06-21,233.86,239.0,232.36,238.72,483795,60.8279,191.8205,225.6383,259.456,222.9122
2021-06-18,233.32,234.05,231.55,232.8,746089,60.6485,188.8718,224.6248,260.3779,222.4653
2021-06-17,230.68,234.88,229.26,234.25,477794,59.7652,186.047,223.6064,261.1659,222.0223
2021-06-16,231.63,231.97,229.73,230.9,491648,60.2421,183.6825,222.695,261.7074,221.6689
2021-06-15,229.37,232.12,227.47,231.43,333525,59.4885,181.5547,221.787,262.0194,221.2623
2021-06-14,229.95,231.53,227.68,228.85,802851,59.7735,179.3321,220.8764,262.4207,220.9314
2021-06-11,229.41,231.06,228.53,230.96,398663,59.5969,176.968,219.8969,262.8258,220.5633
2021-06-10,229.35,229.7406,227.07,229.01,276198,59.5776,174.7545,218.9327,263.1109,220.2022
2021-06-09,230.07,232.27,228.16,228.64,453029,59.9145,172.7885,218.0011,263.2137,219.8288
2021-06-08,229.24,229.96,226.27,229.73,597507,59.6568,170.8014,217.0252,263.2489,219.4108
2021-06-07,233.59,233.855,227.11,228.72,978570,61.6941,168.538,215.9748,263.4115,219.0096
2021-06-04,230.63,233.9,229.69,233.4,427225,60.8014,166.2894,214.8046,263.3198,218.4145
2021-06-03,230.15,230.63,228.15,228.98,588527,60.6557,164.0838,213.6787,263.2735,217.9159
2021-06-02,233.97,234.59,231.37,231.55,591314,62.4667,162.0526,212.5761,263.0996,217.4166
2021-06-01,236.66,237.17,232.64,233.1,440900,63.7809,160.0831,211.3724,262.6618,216.7409
2021-05-28,235.9,237.85,234.95,235.04,547193,63.5687,158.1321,210.075,262.0178,215.9279
2021-05-27,234.77,235.67,232.285,235.51,1390012,63.255,156.1958,208.7656,261.3354,215.1127
2021-05-26,235.38,235.83,232.18,233.22,776258,63.5444,154.4505,207.5,260.5494,214.3104
2021-05-25,237.45,238.985,234.82,234.93,1056903,64.5264,152.9797,206.2607,259.5416,213.4504
2021-05-24,238.48,239.24,235.76,237.5,430870,65.0164,151.4692,204.9191,258.3689,212.4708
2021-05-21,233.82,237.38,231.87,237.13,878494,63.6936,150.1915,203.5758,256.9601,211.4092
2021-05-20,234.22,235.16,229.68,233.31,747762,63.881,148.9403,202.3471,255.7538,210.5101
2021-05-19,233.23,233.64,229.1,233.43,552343,63.6213,148.0327,201.182,254.3312,209.5581
2021-05-18,238.8,238.92,233.65,233.66,650605,66.2473,147.135,200.0145,252.894,208.6075
2021-05-17,238.84,239.14,235.74,237.69,437339,66.2666,146.2737,198.6463,251.0189,207.3911
2021-05-14,236.94,239.94,236.16,239.41,466929,65.8041,145.2272,197.1753,249.1235,206.1235
2021-05-13,232.96,237.3,232.83,237.02,623577,64.8136,144.4153,195.787,247.1587,204.8815
2021-05-12,237.48,237.97,232.91,233.22,606083,66.9725,143.5605,194.4688,245.3771,203.751
2021-05-11,237.96,238.895,235.12,238.6,551035,67.2054,143.0568,193.0599,243.063,202.3902
2021-05-10,240.55,242.13,239.04,239.17,507022,68.4648,142.5244,191.5682,240.6119,200.9543
2021-05-07,236.91,240.45,236.44,239.56,753350,67.6293,142.4575,190.0562,237.655,199.3543
2021-05-06,239.89,239.89,233.82,237.16,774293,69.098,142.6774,188.7158,234.7542,197.8372
2021-05-05,237.01,241.09,236.96,239.85,699465,68.4491,143.478,187.3762,231.2745,196.1368
2021-05-04,232.24,237.08,231.1901,237.01,696303,67.3357,144.1975,186.039,227.8806,194.4844
2021-05-03,230.5,235.48,229.69,233.89,879552,66.9183,145.1438,184.946,224.7482,192.9589
2021-04-30,228.03,229.25,224.15,229.23,936297,66.3197,146.1769,183.8812,221.5855,191.442
2021-04-29,229.34,229.34,224.55,228.0,926507,66.9494,147.2022,182.8355,218.4688,189.9639
2021-04-28,234.75,234.85,227.04,227.3,1175867,69.6248,148.5128,181.7145,214.9162,188.3721
2021-04-27,227.49,234.97,227.05,234.34,885150,67.9399,150.9217,180.548,210.1744,186.4948
2021-04-26,230.17,231.71,225.01,225.53,897018,69.3311,153.0437,179.5307,206.0178,184.8367
2021-04-23,222.47,231.16,221.16,229.72,1551032,67.4546,156.2792,178.5412,200.8031,183.0018
2021-04-22,217.8965,226.93,212.69,221.41,3209107,66.2527,159.2382,177.7733,196.3084,181.4058
2021-04-21,192.21,194.44,191.7,192.63,911909,57.643,162.3495,177.0087,191.6679,179.9309
2021-04-20,189.6,193.82,189.38,192.2,629035,56.5389,162.7028,176.74,190.7773,179.4426
2021-04-19,189.47,190.25,188.5,189.59,511339,56.4835,162.939,176.5868,190.2347,179.0407
2021-04-16,189.09,191.6,188.25,190.98,801767,56.3241,163.196,176.3846,189.5733,178.6277
2021-04-15,187.62,188.995,186.965,188.35,354757,55.7091,163.4597,176.2014,188.9431,178.2133
2021-04-14,186.76,188.0,185.0,185.53,404251,55.3486,163.6558,176.0742,188.4926,177.8419
2021-04-13,186.51,189.09,186.11,187.99,458992,55.2448,163.8282,175.897,187.9659,177.4904
2021-04-12,186.18,187.42,185.1,187.22,286262,55.1099,164.0086,175.7683,187.5279,177.1347
2021-04-09,183.49,185.84,182.81,185.81,356241,54.0018,164.1876,175.6419,187.0963,176.778
2021-04-08,182.7,185.39,182.7,183.74,736300,53.6727,164.2638,175.5261,186.7884,176.5163
2021-04-07,185.41,185.41,180.85,181.59,612936,54.9955,164.3171,175.4714,186.6257,176.2762
2021-04-06,186.54,186.735,184.41,185.02,401736,55.555,164.4888,175.3083,186.1277,175.9157
2021-04-05,184.14,187.345,183.605,186.74,398065,54.5935,164.7523,175.1339,185.5155,175.4946
2021-04-01,181.27,182.81,177.91,182.61,575670,53.4123,164.8982,174.9863,185.0745,175.154
2021-03-31,181.5,183.75,181.1,181.13,977793,53.5217,164.9363,174.8813,184.8263,174.9165
2021-03-30,183.07,183.97,181.235,183.28,922883,54.2648,164.9955,174.7875,184.5795,174.66
2021-03-29,181.57,185.0,181.06,183.69,704405,53.6624,165.1262,174.672,184.2179,174.3289
2021-03-26,177.01,182.56,176.8,182.5,572074,51.7698,165.113,174.6792,184.2453,174.0455
2021-03-25,175.37,177.59,173.02,177.0,375539,51.0653,164.9311,174.8218,184.7125,173.9364
2021-03-24,174.62,176.115,174.01,174.41,496371,50.7429,164.8271,174.9804,185.1338,173.8896
2021-03-23,175.31,178.16,174.01,175.48,709891,51.0461,164.7265,175.1682,185.6099,173.8715
2021-03-22,174.07,176.21,172.54,175.13,491502,50.5254,164.733,175.2746,185.8162,173.8245
2021-03-19,172.07,175.51,171.44,174.18,1048475,49.6793,164.7271,175.4477,186.1683,173.8261
2021-03-18,170.71,174.0,169.43,172.7,665300,49.0993,164.5968,175.7559,186.915,173.9093
2021-03-17,171.77,172.91,169.93,171.99,559829,49.5354,164.5606,176.1012,187.6419,174.0513
2021-03-16,173.7,175.19,171.17,172.57,450604,50.3332,164.1625,176.5258,188.8891,174.1559
2021-03-15,170.65,173.98,170.24,173.65,503143,49.0627,163.8939,176.8802,189.8665,174.1862
2021-03-12,171.6,173.31,169.79,170.53,570684,49.4488,163.9092,177.2751,190.641,174.3419
2021-03-11,172.28,172.95,169.59,170.72,717345,49.7233,163.6683,177.732,191.7956,174.4653
2021-03-10,175.87,176.77,172.54,172.55,775776,51.1937,163.4097,178.1954,192.981,174.566
2021-03-09,174.76,178.0,173.01,174.9,641862,50.7524,163.2283,178.5371,193.8458,174.5246
2021-03-08,170.28,176.01,170.0,173.14,947395,48.926,163.0986,178.9161,194.7336,174.5267
2021-03-05,165.17,169.97,162.81,169.75,923311,46.717,163.2772,179.3802,195.4832,174.7114
2021-03-04,167.41,170.32,162.87,163.83,909270,47.6015,164.0056,179.91,195.8145,175.1119
2021-03-03,166.94,168.525,165.1,167.04,1041169,47.3967,164.546,180.4227,196.2994,175.4375
2021-03-02,166.92,168.42,165.275,166.09,680957,47.3881,165.1981,180.9435,196.6889,175.7955
2021-03-01,163.25,169.05,163.25,166.61,1276422,45.7994,165.9532,181.4478,196.9424,176.1689
2021-02-26,164.83,167.64,161.87,161.88,1757238,46.3904,167.2198,182.0044,196.789,176.7071
2021-02-25,169.78,170.95,162.43,163.5,1485055,48.3043,168.4749,182.4482,196.4215,177.2029
2021-02-24,172.8,173.095,169.34,170.7,1017899,49.5259,169.2627,182.7454,196.228,177.5173
2021-02-23,170.04,172.46,168.1,171.87,1330872,48.3561,169.6332,182.8605,196.0877,177.7214
2021-02-22,177.5,177.75,169.33,169.93,849381,51.5188,170.4312,183.1186,195.806,178.0463
2021-02-19,177.17,178.49,175.49,176.54,1525920,51.3809,170.3112,183.0805,195.8498,178.0805
2021-02-18,176.05,178.905,175.9,177.56,937278,50.7538,169.3671,182.8691,196.371,178.1295
2021-02-17,173.58,176.82,171.395,176.59,912234,49.7151,168.4515,182.669,196.8866,178.242
2021-02-16,176.72,177.21,172.77,174.83,959259,51.0567,167.6074,182.4951,197.3828,178.4594
2021-02-12,176.93,179.3,176.07,177.19,1244046,51.1472,166.7779,182.2891,197.8003,178.5581
2021-02-11,181.01,181.49,173.61,176.95,1792466,52.9331,166.1708,182.12,198.0691,178.6523
