time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,197.39,199.13,193.08,197.81,2478964,52.6853,145.2304,177.1563,209.0822,182.886
2021-07-02,200.2,202.3932,195.83,197.57,1806084,53.304,144.4962,177.4605,210.4247,182.294
2021-07-01,206.41,207.8416,198.23,199.51,3268495,54.695,144.0532,177.6531,211.2529,181.5631
2021-06-30,202.46,206.62,201.36,205.84,3117147,53.9459,144.1488,177.6117,211.0745,180.5489
2021-06-29,198.81,203.555,195.02,202.53,3828061,53.2457,143.6729,177.8025,211.932,179.6546
2021-06-28,187.77,199.18,187.77,198.41,4933009,51.0394,142.7924,178.1638,213.5351,178.8728
2021-06-25,183.77,187.9881,183.1044,184.8,3087618,50.205,141.611,178.8144,216.0178,178.5096
2021-06-24,181.45,184.96,178.77,181.52,2574623,49.718,140.5184,179.5664,218.6144,178.2949
2021-06-23,179.11,182.21,178.12,179.45,2934801,49.2271,139.3669,180.4382,221.5094,178.1661
2021-06-22,170.63,179.0,170.59,177.98,4224421,47.4036,138.5864,181.3049,224.0234,178.1276
2021-06-21,169.75,171.8599,165.15,170.79,2134926,47.2108,138.4858,182.2297,225.9737,178.4336
2021-06-18,168.99,171.37,167.69,169.82,3505323,47.0465,138.6237,183.1195,227.6154,178.788
2021-06-17,166.02,172.31,165.52,169.64,2503193,46.4076,139.0981,183.8597,228.6213,179.188
2021-06-16,167.35,169.29,164.52,167.37,2546638,46.6546,139.798,184.6293,229.4607,179.7254
2021-06-15,171.87,172.0,163.82,166.06,2633633,47.4966,140.5289,185.271,230.0132,180.2305
2021-06-14,166.7704,172.1841,166.05,170.3,2668893,46.4277,140.8847,186.0734,231.2622,180.5718
2021-06-11,167.77,168.2427,164.66,165.82,2432152,46.6099,141.6686,186.8668,232.065,181.1351
2021-06-10,167.05,170.03,166.07,167.15,2348209,46.4616,142.4884,187.5694,232.6504,181.6806
2021-06-09,172.175,174.69,167.01,167.3,5125577,47.3801,143.366,188.0844,232.8028,182.2778
2021-06-08,166.36,171.9,166.36,170.21,2623282,46.1974,144.0244,188.7093,233.3942,182.6902
2021-06-07,164.56,169.5,163.88,168.32,2763692,45.828,145.0442,189.332,233.6197,183.3567
2021-06-04,167.41,168.3,162.395,164.18,2270820,46.3214,146.1779,189.9074,233.6369,184.1239
2021-06-03,172.08,172.58,165.11,165.74,3336612,47.1364,146.8876,190.9762,235.0648,184.8061
2021-06-02,164.42,176.85,163.6503,175.14,4900644,45.5978,147.3636,191.9869,236.6102,185.3255
2021-06-01,165.95,167.32,161.8837,163.46,2448887,45.8591,148.5208,193.0896,237.6583,186.1788
2021-05-28,166.1,167.855,164.62,164.73,1974421,45.8843,149.8403,193.9768,238.1133,187.0045
2021-05-27,168.61,168.61,162.5,166.74,2984226,46.3026,151.2153,194.8827,238.5502,187.8577
2021-05-26,168.2,169.3999,166.56,168.22,1423751,46.2241,152.5074,195.6805,238.8536,188.6434
2021-05-25,166.87,170.62,166.43,167.05,1558824,45.9731,153.5425,196.8543,240.1661,189.4778
2021-05-24,169.73,169.9,164.22,165.18,2404438,46.4298,154.9831,197.9275,240.8719,190.4006
2021-05-21,173.0,173.5,167.13,167.56,2527577,46.9524,156.4205,198.7785,241.1365,191.2442
2021-05-20,166.28,175.14,166.02,172.36,3159839,45.722,157.6752,199.6179,241.5606,191.9889
2021-05-19,164.2979,166.27,161.3901,165.42,2511934,45.3557,159.5511,200.5515,241.5519,193.0383
2021-05-18,165.81,170.11,164.6,167.25,3103218,45.5857,161.6518,201.325,240.9981,194.2113
2021-05-17,162.674,165.4,160.0601,165.18,1933193,45.019,163.6394,201.9995,240.3595,195.3706
2021-05-14,159.01,163.84,157.14,163.11,2330513,44.3554,166.0851,202.7662,239.4472,196.7051
2021-05-13,163.3368,164.5,153.8,156.59,3093211,44.9837,169.2345,203.7362,238.2379,198.2437
2021-05-12,165.33,169.07,158.41,159.34,3313614,45.2732,171.547,205.1734,238.7998,199.6685
2021-05-11,159.55,170.75,158.71,169.84,4016961,44.2536,173.3981,206.7368,240.0756,201.07
2021-05-10,163.01,170.98,161.78,167.13,5095394,44.7427,177.1824,208.0372,238.8921,202.7647
2021-05-07,163.93,165.6166,158.65,165.51,5859709,44.8719,180.8976,209.257,237.6165,204.3874
2021-05-06,167.01,170.648,154.0,157.68,15673731,45.3011,184.81,210.0801,235.3502,206.0387
2021-05-05,190.99,194.99,181.51,184.57,5624593,48.8676,188.8667,210.9397,233.0128,207.6317
2021-05-04,185.11,191.29,183.2,188.45,3529396,47.8816,189.7314,211.1813,232.6313,208.311
2021-05-03,200.4,200.91,189.27,190.71,3607067,50.3561,191.5806,211.9363,232.2921,209.2579
2021-04-30,206.34,207.95,198.08,198.79,3159133,51.3668,192.0477,212.4101,232.7725,209.6195
2021-04-29,212.28,212.34,201.801,208.8,2316824,52.3974,192.2921,212.6043,232.9166,209.7533
2021-04-28,206.26,212.97,202.5,211.35,1898706,51.4295,192.2547,212.8571,233.4595,209.6502
2021-04-27,206.16,210.8,206.0,207.49,2288762,51.4134,191.7455,213.5109,235.2764,209.7886
2021-04-26,211.0,212.0,203.8,205.18,4198922,52.2337,191.9238,213.9419,235.9601,209.9367
2021-04-23,212.6,216.75,211.0,214.59,1476358,52.5051,191.9583,214.264,236.5697,209.8933
2021-04-22,209.83,215.46,207.503,210.28,1701399,52.0827,191.7994,214.6558,237.5122,209.7828
2021-04-21,204.34,210.82,202.33,209.76,1687036,51.2404,191.8709,215.0444,238.2179,209.7809
2021-04-20,212.0,212.5,200.88,206.86,2768234,52.5024,192.1105,215.6204,239.1302,210.003
2021-04-19,216.875,219.19,211.87,213.19,2236580,53.3214,192.267,215.8204,239.3737,209.9215
2021-04-16,220.3,221.1365,213.6,219.99,1524961,53.9003,192.1375,215.7169,239.2963,209.6376
2021-04-15,221.37,223.5,216.31,219.29,1818946,54.0801,191.9782,215.5461,239.1139,209.2024
2021-04-14,225.04,227.0,216.19,218.07,1723242,54.6932,191.6505,215.2667,238.8829,208.7058
2021-04-13,222.445,225.84,220.292,224.03,2023614,54.3345,191.0512,214.7995,238.5477,208.0391
2021-04-12,216.8725,220.51,214.1,218.13,1878944,53.5606,190.4578,214.3836,238.3094,207.4511
2021-04-09,214.24,221.67,212.86,218.57,2723469,53.1934,189.5402,213.9748,238.4095,207.0666
2021-04-08,206.0,216.29,205.795,215.39,3606045,52.0298,188.8953,213.675,238.4547,206.7738
2021-04-07,204.5,205.75,199.275,204.02,2208132,51.8161,189.1596,214.0738,238.988,206.8054
2021-04-06,199.4358,208.57,197.3132,206.01,3038845,51.0953,189.5484,214.3238,239.0992,206.8994
2021-04-05,211.99,211.99,196.13,197.2,3628757,53.0222,190.1318,214.5585,238.9852,207.2041
2021-04-01,206.4381,212.14,205.4,208.2,1775484,52.2416,190.2491,214.6897,239.1303,207.0087
2021-03-31,202.9,208.49,201.34,201.67,2512635,51.7408,190.5848,215.0295,239.4743,207.032
2021-03-30,192.8,203.66,191.0,198.87,2648748,50.2824,190.8761,215.1447,239.4134,207.2007
2021-03-29,203.42,204.0,195.155,196.31,2026029,51.8986,192.0668,215.5129,238.959,207.7885
2021-03-26,197.4944,202.55,193.65,202.32,2667439,51.038,192.2773,215.5895,238.9018,207.9668
2021-03-25,193.33,201.095,190.5,196.2,3432842,50.4272,192.7791,215.7319,238.6846,208.3942
2021-03-24,220.85,221.0,197.87,199.18,3865994,54.8595,191.8635,215.5665,239.2694,209.0091
2021-03-23,222.6163,231.34,218.09,219.67,3754823,55.1645,188.2941,214.6315,240.9689,208.5258
2021-03-22,219.5531,223.1881,217.0,219.77,3136220,54.7369,184.9344,213.6373,242.3403,207.9507
2021-03-19,210.3119,224.107,209.4,215.41,4843251,53.4234,181.5488,212.6523,243.7558,207.4771
2021-03-18,211.395,219.7179,208.87,209.51,3425564,53.602,178.7801,211.8882,244.9964,207.3614
2021-03-17,208.5,221.19,204.53,218.44,4325439,53.192,175.957,211.0641,246.1713,207.1967
2021-03-16,226.89,228.0,210.75,215.98,2451918,56.2887,174.2872,210.4845,246.6818,207.1436
2021-03-15,220.53,223.5,216.01,223.23,2578706,55.4089,172.9281,209.6093,246.2905,206.3376
2021-03-12,212.28,222.67,205.0,221.14,2763706,54.2379,171.1943,208.7647,246.3352,205.7583
2021-03-11,214.97,224.0,212.725,220.84,3406033,54.6969,169.6844,208.112,246.5397,205.4921
2021-03-10,212.96,215.485,203.25,205.93,2739184,54.4144,169.0956,207.6842,246.2729,205.1052
2021-03-09,202.97,210.13,198.8613,206.79,3710006,52.9866,168.4187,207.2492,246.0798,204.7846
2021-03-08,199.535,209.56,189.8,190.26,3910121,52.4851,168.2067,207.1278,246.049,204.8587
2021-03-05,201.01,203.435,179.23,200.3,5644752,52.7218,167.8357,206.9593,246.0829,205.076
2021-03-04,207.51,212.9699,186.99,198.1,6511383,53.7688,167.3149,206.7223,246.1298,205.242
2021-03-03,235.2,238.29,206.79,208.61,7227301,58.6297,166.7196,206.3839,246.0482,205.1494
2021-03-02,243.5,251.86,236.78,238.43,3690857,60.2292,166.1027,205.3663,244.63,203.9228
2021-03-01,224.57,248.45,223.65,244.58,6681210,57.6467,165.2691,203.9701,242.6712,202.3074
2021-02-26,224.0,232.29,206.37,220.27,11020264,57.5654,163.661,202.9187,242.1764,201.3988
2021-02-25,205.085,214.0,194.77,197.58,3318180,54.7396,162.1776,201.8837,241.5898,200.4763
