time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,204.0,204.77,193.7101,199.56,2768062,52.1577,123.2192,203.7515,284.2838,206.2084
2021-07-02,204.8,205.45,196.5,202.83,2602729,52.2238,120.6733,202.6515,284.6297,206.2985
2021-07-01,213.4,216.83,202.0,204.36,2742112,52.9314,118.8614,201.7375,284.6136,206.3597
2021-06-30,209.69,215.2787,206.9379,214.14,2539648,52.6603,116.9537,200.6375,284.3213,206.0723
2021-06-29,213.59,215.22,208.01,210.88,2480009,52.9747,115.467,199.7265,283.9861,205.9246
2021-06-28,211.25,224.45,210.2,213.25,4879364,52.809,114.3692,198.8907,283.4123,205.6118
2021-06-25,214.0,214.2,198.5,209.51,12692749,53.0242,112.4982,197.7857,283.0732,205.3816
2021-06-24,221.156,227.45,211.6,212.31,3863339,53.5808,111.0594,196.7657,282.472,205.0299
2021-06-23,221.45,222.57,214.12,219.34,3555090,53.6035,108.5265,195.214,281.9015,204.3717
2021-06-22,217.73,225.88,209.17,220.4,8200177,53.3589,106.0036,193.6226,281.2416,203.6746
2021-06-21,216.95,218.3999,197.0,200.37,5120186,53.3083,104.5337,192.4302,280.3267,203.1009
2021-06-18,220.18,223.49,213.0,213.82,4320317,53.544,103.6475,191.4852,279.3229,202.5356
2021-06-17,224.0,233.66,221.48,223.59,4608573,53.8197,103.3336,190.7992,278.2648,201.8154
2021-06-16,215.24,228.7305,209.0,222.97,5517548,53.279,103.0125,189.9836,276.9547,200.91
2021-06-15,226.36,229.25,208.0,222.5,7301935,54.0664,102.7036,189.383,276.0624,200.3251
2021-06-14,236.5,238.01,219.2,229.44,7132627,54.7901,102.1013,188.2759,274.4505,199.2624
2021-06-11,222.35,241.13,206.13,233.34,15580774,53.9471,102.3301,187.4131,272.496,197.7425
2021-06-10,282.0,288.0,211.0,220.39,22980152,58.4492,102.3666,186.9161,271.4655,196.7381
2021-06-09,303.12,328.0,291.51,302.56,13429309,60.1922,104.9569,185.0261,265.0953,193.258
2021-06-08,292.0,344.66,281.0,300.0,17439118,59.5701,109.964,182.5787,255.1933,188.7739
2021-06-07,258.0,282.0,255.2001,280.01,6051490,57.5839,114.9728,180.6923,246.4118,184.5606
2021-06-04,256.02,265.0,245.77,248.36,3637515,57.4647,114.1761,178.0021,241.828,181.563
2021-06-03,265.71,274.43,242.1206,258.18,7999955,58.2501,116.0121,176.0413,236.0704,178.524
2021-06-02,248.88,294.0,244.3,282.24,16019220,57.2557,119.9993,174.6771,229.3548,174.9654
2021-06-01,233.48,254.98,227.07,249.02,9625610,56.3227,122.6094,173.8047,224.9999,171.9484
2021-05-28,262.97,268.7999,221.43,222.0,11751365,58.7282,124.3441,173.0497,221.7553,169.437
2021-05-27,229.8,264.0,227.0,254.13,15526303,56.6893,128.9924,172.0703,215.1481,165.6193
2021-05-26,229.0,248.4794,225.55,242.56,21119872,56.6386,129.9211,171.8311,213.741,162.9997
2021-05-25,181.0,217.11,181.0,209.43,14887457,53.4379,131.6604,171.3143,210.9682,160.3058
2021-05-24,175.85,188.4576,173.35,180.01,4664348,53.0737,123.723,173.2447,222.7663,159.4611
2021-05-21,171.0,179.24,170.33,176.79,3654683,52.7325,118.0927,175.2276,232.3625,158.7922
2021-05-20,170.79,174.91,166.9,170.49,2478168,52.7179,116.5752,176.6404,236.7057,158.2939
2021-05-19,171.99,178.9799,164.15,168.83,4825905,52.8092,113.2043,178.6132,244.0221,157.7838
