time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,2512.97,2528.56,2491.6501,2523.8,1320179,62.3552,2232.4663,2371.63,2510.7938,2363.5814
2021-07-02,2463.0,2508.08,2461.19,2505.15,1300109,60.5794,2230.5219,2366.7106,2502.8994,2357.4839
2021-07-01,2434.5,2451.74,2430.63,2448.89,905641,59.5118,2227.2518,2362.9586,2498.6655,2353.1771
2021-06-30,2439.89,2445.14,2427.09,2441.79,1223699,59.812,2223.2332,2359.7096,2496.1861,2349.8578
2021-06-29,2453.4071,2460.415,2433.815,2445.45,1155436,60.5629,2221.2564,2356.8616,2492.4668,2346.183
2021-06-28,2453.57,2455.695,2428.1101,2450.72,1426271,60.5719,2218.325,2353.1971,2488.0691,2341.8065
2021-06-25,2440.0,2452.66,2431.305,2450.17,1729819,60.0887,2216.9875,2349.9105,2482.8335,2337.2447
2021-06-24,2454.0,2461.1107,2446.0,2450.0,1068257,60.8425,2213.7317,2346.3495,2478.9673,2333.0506
2021-06-23,2441.87,2461.91,2436.69,2442.54,957708,60.4209,2211.8398,2342.6181,2473.3963,2328.1139
2021-06-22,2435.0,2448.0,2421.28,2446.61,1119510,60.183,2208.6919,2338.8005,2468.909,2323.4708
2021-06-21,2410.01,2440.0,2397.97,2436.25,1370683,59.311,2205.9188,2335.1829,2464.447,2318.9186
2021-06-18,2427.34,2432.06,2400.3,2402.22,2305760,60.2071,2202.0368,2331.8915,2461.7462,2315.2006
2021-06-17,2413.95,2450.45,2410.0,2434.87,1292444,59.7466,2200.3302,2328.6247,2456.9191,2310.6235
2021-06-16,2431.44,2437.72,2389.4,2415.45,1316557,60.6449,2194.684,2324.6077,2454.5314,2306.4061
2021-06-15,2449.0,2455.51,2421.12,2428.39,1078107,61.5556,2190.1077,2320.1973,2450.2868,2301.3026
2021-06-14,2432.26,2448.92,2418.0,2448.91,1104878,61.0086,2180.5716,2314.1603,2447.7489,2295.2742
2021-06-11,2440.0,2441.72,2418.96,2430.2,1097907,61.4045,2164.2353,2307.3601,2450.4848,2289.6829
2021-06-10,2406.92,2436.0,2403.78,2435.13,1295375,60.3262,2144.863,2299.6481,2454.4332,2283.5475
2021-06-09,2411.43,2412.88,2396.9,2407.94,897052,60.5522,2126.121,2292.5693,2459.0175,2278.5119
2021-06-08,2412.01,2419.5202,2394.78,2398.44,1211992,60.5808,2105.3904,2284.7839,2464.1774,2273.0867
2021-06-07,2389.436,2404.5099,2381.0,2402.3,1205966,59.8575,2088.0333,2277.1795,2466.3257,2267.4163
2021-06-04,2369.27,2399.03,2362.41,2393.57,1222910,59.2021,2071.2614,2269.9718,2468.6821,2262.4359
2021-06-03,2345.73,2357.015,2329.52,2347.58,934796,58.4256,2057.8425,2263.6216,2469.4006,2258.0754
2021-06-02,2389.15,2393.64,2352.355,2370.59,1058146,60.5073,2043.8277,2257.506,2471.1842,2254.4976
2021-06-01,2374.44,2385.71,2354.28,2381.18,1167901,60.0346,2030.525,2250.2756,2470.0261,2249.0016
2021-05-28,2374.42,2376.07,2352.85,2356.85,1074540,60.0339,2018.0859,2243.3814,2468.6768,2243.8817
2021-05-27,2389.05,2389.05,2356.26,2362.68,1761201,60.7283,2008.2469,2236.8566,2465.4662,2238.5536
2021-05-26,2366.52,2388.99,2366.4625,2380.31,1078598,60.0306,2001.2873,2230.445,2459.6026,2232.4109
2021-05-25,2372.0,2384.0,2355.0,2362.87,1121982,60.2859,1994.1063,2224.4344,2454.7625,2226.937
2021-05-24,2314.89,2365.55,2311.955,2361.04,1591610,58.4825,1986.1304,2217.8939,2449.6574,2221.0161
2021-05-21,2317.41,2318.89,2289.3,2294.13,2031590,58.5976,1979.7317,2213.1243,2446.5168,2217.1845
2021-05-20,2291.0,2312.0,2283.52,2306.95,1617550,57.7437,1972.5383,2207.9405,2443.3426,2213.0937
2021-05-19,2228.43,2274.99,2225.44,2271.5,1184205,55.6186,1965.6599,2203.3485,2441.037,2209.9138
2021-05-18,2302.35,2307.6818,2262.19,2262.47,1110185,59.0573,1958.3585,2199.7749,2441.1912,2209.1581
2021-05-17,2263.57,2289.78,2255.5101,2288.92,1079869,57.7131,1953.6756,2195.4091,2437.1425,2205.3543
2021-05-14,2258.54,2284.72,2250.0,2278.38,1599829,57.5359,1947.5577,2191.3607,2435.1636,2202.9782
2021-05-13,2226.12,2239.4375,2206.72,2229.04,1661020,56.3813,1938.5442,2186.4872,2434.4303,2200.7103
2021-05-12,2226.19,2247.98,2193.62,2200.25,2318774,56.3846,1932.5052,2183.0038,2433.5025,2199.6732
2021-05-11,2243.07,2280.28,2233.92,2270.06,1709292,57.1618,1927.4363,2179.7768,2432.1174,2198.5909
2021-05-10,2328.14,2331.0,2284.54,2291.75,1545729,61.3376,1921.5457,2175.8754,2430.2051,2196.7754
2021-05-07,2363.89,2371.25,2346.155,2351.93,1444862,63.2402,1916.1596,2169.9116,2423.6637,2191.4136
2021-05-06,2306.33,2337.35,2293.0418,2337.35,1259523,61.3485,1914.2179,2163.7524,2413.287,2184.3737
2021-05-05,2328.63,2335.0,2308.28,2314.77,1331809,62.571,1909.3302,2158.2266,2407.123,2179.3959
2021-05-04,2313.55,2324.9899,2256.68,2306.83,2240932,62.0701,1904.6842,2151.9338,2399.1834,2173.3047
2021-05-03,2364.91,2381.55,2335.5,2343.08,1412139,64.9724,1902.3822,2146.7348,2391.0875,2167.5805
2021-04-30,2368.02,2381.85,2346.56,2353.5,2242838,65.1532,1905.1273,2141.5924,2378.0576,2159.5262
2021-04-29,2389.23,2404.16,2373.85,2392.76,2061654,66.3878,1908.7125,2136.332,2363.9515,2151.0162
2021-04-28,2392.4954,2431.38,2353.22,2359.04,4055340,66.5781,1914.3297,2130.427,2346.5244,2141.2932
2021-04-27,2317.6326,2318.45,2286.16,2290.98,2219280,64.2769,1921.4869,2124.4121,2327.3373,2131.0401
2021-04-26,2304.52,2324.53,2297.315,2309.93,1601892,63.8497,1924.0512,2119.6549,2315.2586,2123.424
2021-04-23,2267.0,2306.1175,2261.25,2299.93,1455554,62.5952,1926.9182,2115.3845,2303.8508,2116.0324
2021-04-22,2275.4,2288.8814,2240.32,2252.52,1207276,63.0754,1928.1054,2111.7073,2295.3092,2109.8704
2021-04-21,2272.05,2280.0,2244.82,2278.35,1160209,62.9644,1929.9015,2107.6953,2285.489,2103.1141
2021-04-20,2297.49,2298.9999,2257.12,2279.01,1114416,64.4059,1932.7696,2104.2543,2275.739,2096.2188
2021-04-19,2270.18,2304.09,2270.18,2289.76,1514470,63.5274,1936.7412,2099.4957,2262.2502,2088.0036
2021-04-16,2289.24,2294.24,2270.92,2282.75,1314139,64.6182,1939.7119,2095.3044,2250.8969,2080.5679
2021-04-15,2261.95,2296.0,2251.17,2285.25,1458749,63.7447,1945.2616,2090.8318,2236.402,2072.0506
2021-04-14,2267.43,2267.43,2236.015,2241.91,1050143,64.0559,1938.3229,2083.8554,2229.3879,2064.2996
2021-04-13,2250.99,2263.47,2243.05,2254.43,1284078,63.5325,1924.4757,2075.3985,2226.3213,2056.0086
2021-04-12,2254.12,2256.885,2227.82,2244.62,1251183,63.7056,1909.9158,2067.0591,2224.2024,2048.0502
2021-04-09,2245.44,2273.97,2237.255,2270.67,1307265,63.4349,1897.1466,2058.5967,2220.0468,2039.6392
2021-04-08,2264.0,2271.7899,2243.01,2250.43,1433214,64.4422,1890.709,2051.1861,2211.6632,2031.2391
2021-04-07,2213.1,2244.5,2213.1,2239.03,1206696,62.857,1888.4348,2043.6259,2198.8169,2021.7387
2021-04-06,2210.92,2228.0,2201.79,2209.26,1762039,62.7874,1885.9194,2037.6187,2189.318,2013.928
2021-04-05,2147.15,2228.99,2145.205,2218.96,2425480,60.674,1882.3815,2031.2295,2180.0775,2005.8875
2021-04-01,2092.25,2135.75,2091.43,2129.78,1994005,58.6948,1876.1857,2026.1595,2176.1333,2000.1217
2021-03-31,2054.4,2086.26,2047.0,2062.52,2128482,57.2409,1862.0248,2020.8419,2179.659,1996.3614
2021-03-30,2052.98,2062.67,2036.15,2046.47,1365856,57.1855,1838.1109,2014.6139,2191.1169,1993.9925
2021-03-29,2022.16,2049.21,2005.45,2045.79,1324631,55.9719,1814.7626,2008.1347,2201.5067,1991.5848
2021-03-26,2031.79,2039.385,2003.85,2024.73,1398875,56.462,1796.1865,2002.6689,2209.1513,1990.3368
2021-03-25,2029.05,2045.64,1996.09,2032.46,1780787,56.3554,1776.3883,1996.5795,2216.7707,1988.6449
2021-03-24,2051.76,2067.6,2029.0001,2032.53,1260853,57.4984,1759.9946,1990.9057,2221.8168,1986.9957
2021-03-23,2039.95,2064.11,2028.0001,2041.33,1425456,57.0545,1747.5818,1985.4109,2223.24,1984.3522
2021-03-22,2027.63,2048.34,2014.0,2030.69,1676771,56.591,1735.8526,1980.1551,2224.4576,1982.0829
2021-03-19,2029.73,2037.04,2002.93,2026.96,2303596,56.6932,1720.1785,1974.1377,2228.0969,1980.2239
2021-03-18,2048.18,2068.746,2019.18,2021.34,1585648,57.5887,1702.8308,1967.5482,2232.2656,1978.2032
2021-03-17,2068.47,2099.0,2044.1218,2082.22,1319126,58.5861,1688.8897,1961.0864,2233.2831,1975.347
2021-03-16,2065.99,2113.68,2059.29,2083.89,1595015,58.5,1678.7809,1954.917,2231.0531,1971.5461
2021-03-15,2044.975,2054.99,2027.79,2054.44,1310741,57.771,1667.4852,1948.3426,2229.2,1967.6912
2021-03-12,2076.41,2077.61,2032.42,2050.0,1690899,59.2979,1658.6698,1942.7431,2226.8163,1964.5368
2021-03-11,2058.22,2111.27,2056.45,2100.54,1385130,58.6786,1652.2329,1936.9595,2221.686,1959.9705
2021-03-10,2061.4,2061.4,2019.33,2036.19,1355004,58.832,1643.1408,1930.6933,2218.2458,1955.9604
2021-03-09,2049.75,2063.9153,2035.6,2040.36,1696031,58.442,1633.5331,1924.0453,2214.5575,1951.6567
2021-03-08,2084.06,2113.74,2005.19,2007.5,1843371,60.0847,1623.9866,1917.5289,2211.0711,1947.6529
2021-03-05,2061.15,2106.2,2027.7773,2097.07,2654977,59.3368,1616.1884,1910.4343,2204.6801,1942.0853
2021-03-04,2014.869,2074.59,2005.43,2033.93,2460786,57.7701,1607.0714,1903.3939,2199.7164,1937.2255
2021-03-03,2051.95,2075.99,1994.0,2011.41,1694645,59.5723,1600.2366,1898.0199,2195.8032,1934.0563
2021-03-02,2064.84,2094.74,2056.67,2064.48,1278184,60.2121,1595.4683,1892.2595,2189.0507,1929.2444
2021-03-01,2048.0,2076.23,2034.42,2069.66,1303089,59.6573,1591.7679,1886.3449,2180.9219,1923.7098
2021-02-26,2029.95,2056.52,2001.01,2021.91,1978740,59.0577,1587.611,1880.5821,2173.5532,1918.6368
2021-02-25,2055.93,2083.0,2006.49,2015.95,2047513,60.3225,1584.0124,1875.3975,2166.7826,1914.0934
2021-02-24,2030.04,2088.32,2027.53,2083.81,1130437,59.4749,1580.9947,1869.4789,2157.9631,1908.3041
2021-02-23,2013.99,2072.5,1990.23,2060.12,1732899,58.942,1577.8433,1864.1301,2150.4169,1903.3353
2021-02-22,2053.6,2080.33,2048.0,2054.26,1458920,60.878,1576.6348,1860.0575,2143.4803,1898.8188
2021-02-19,2107.79,2118.58,2083.43,2088.81,1896939,63.6823,1576.8608,1855.1559,2133.451,1892.5012
2021-02-18,2105.0,2121.99,2093.33,2105.81,1128549,63.5977,1580.3668,1849.3111,2118.2555,1883.7139
2021-02-17,2093.98,2122.4434,2088.35,2118.62,986524,63.2665,1584.6969,1843.6155,2102.5342,1874.6818
2021-02-16,2091.75,2145.14,2091.75,2110.7,1550195,63.2001,1589.2547,1838.1467,2087.0388,1865.7309
2021-02-12,2079.77,2099.5,2073.57,2095.03,949525,62.8464,1593.8747,1832.2189,2070.5632,1856.5056
2021-02-11,2091.0,2094.0,2068.86,2088.75,1024029,63.4062,1597.7188,1825.9566,2054.1944,1847.3928
