time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,53.99,54.09,53.55,53.88,15278172,52.557,53.0716,54.4421,55.8125,54.1445
2021-07-02,54.0,54.45,54.0,54.18,10605054,52.5891,53.0717,54.4421,55.8125,54.1508
2021-07-01,54.34,54.48,53.855,53.96,13214702,53.6824,53.0744,54.4433,55.8122,54.157
2021-06-30,53.8,54.18,53.75,54.11,14614195,52.1336,53.0539,54.4332,55.8125,54.1495
2021-06-29,54.13,54.34,53.72,53.86,12300924,53.1989,53.0296,54.4259,55.8222,54.1638
2021-06-28,54.25,54.37,54.0,54.26,10556912,53.5892,53.0019,54.4152,55.8285,54.1652
2021-06-25,54.24,54.47,54.01,54.32,18880340,53.5614,52.9523,54.3969,55.8416,54.1617
2021-06-24,54.26,54.415,54.0,54.39,11488442,53.6244,52.8491,54.3668,55.8844,54.1585
2021-06-23,54.56,54.6,54.11,54.12,12339159,54.5679,52.7355,54.3332,55.9309,54.1544
2021-06-22,54.34,54.85,54.255,54.56,13072841,53.9861,52.6301,54.2949,55.9596,54.1378
2021-06-21,54.22,54.43,54.0,54.36,14404310,53.6689,52.5587,54.2667,55.9746,54.1296
2021-06-18,54.51,54.62,53.72,53.77,31445555,54.5596,52.4791,54.2377,55.9963,54.1259
2021-06-17,54.67,55.15,54.645,54.95,10658390,55.0536,52.399,54.2029,56.0068,54.1102
2021-06-16,55.44,55.46,54.64,54.67,15108854,57.5095,52.331,54.1671,56.0032,54.0873
2021-06-15,55.78,55.79,55.19,55.41,11154217,58.6415,52.2631,54.1111,55.9592,54.0321
2021-06-14,55.69,55.71,55.2,55.55,9710829,58.4293,52.1531,54.0347,55.9162,53.9608
2021-06-11,55.99,56.21,55.655,56.16,11825803,58.1482,52.107,53.9721,55.8373,53.8902
2021-06-10,55.91,56.12,55.76,55.91,12444369,57.9642,52.0683,53.9134,55.7585,53.8217
2021-06-09,55.75,55.92,55.48,55.48,9838835,57.5988,52.075,53.8705,55.666,53.7535
2021-06-08,56.25,56.25,55.545,55.65,10968281,59.1742,52.0141,53.8106,55.607,53.6891
2021-06-07,56.31,56.34,55.81,56.04,14011112,59.3652,51.9359,53.729,55.5221,53.6018
