time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,49.4,51.7399,49.18,50.29,67705501,54.2895,30.194,41.1525,52.111,43.4839
2021-07-02,51.26,51.4746,48.5291,50.4,78731636,55.5427,30.2641,40.9685,51.6729,43.2424
2021-07-01,54.77,55.13,50.27,50.9,124531435,58.0197,30.4185,40.7231,51.0277,42.9152
2021-06-30,50.58,53.8399,50.55,53.2,92031135,55.709,30.8046,40.3583,49.912,42.4313
2021-06-29,49.15,50.61,48.55,50.34,64800079,54.8783,30.9556,40.0901,49.2246,42.0987
2021-06-28,45.72,49.65,45.5501,49.4,90202839,52.7974,31.039,39.8427,48.6464,41.8109
2021-06-25,45.78,45.94,44.88,45.07,32605434,52.8392,30.8659,39.6221,48.3783,41.6513
2021-06-24,45.91,46.59,45.24,45.46,37680663,52.9281,30.8413,39.4469,48.0525,41.4828
2021-06-23,44.97,45.98,44.61,45.41,39493502,52.36,30.9081,39.3133,47.7185,41.3021
2021-06-22,45.86,46.5474,43.81,44.1,61387323,52.953,30.9012,39.1635,47.4258,41.1524
2021-06-21,46.55,46.99,45.07,46.51,44475666,53.4126,30.9622,39.0055,47.0488,40.9603
2021-06-18,47.68,48.365,46.59,46.91,90778425,54.1671,31.0913,38.8416,46.5919,40.7321
2021-06-17,45.05,47.755,44.86,47.36,64895522,52.6412,31.3072,38.6404,45.9736,40.4485
2021-06-16,44.23,45.125,43.77,45.02,47211599,52.1544,31.4247,38.5334,45.6421,40.2607
2021-06-15,46.21,46.38,45.04,45.15,44755616,53.4545,31.5046,38.4254,45.3462,40.0987
2021-06-14,45.95,47.25,45.58,46.55,65288403,53.3047,31.7275,38.312,44.8965,39.8492
2021-06-11,42.93,46.26,42.76,45.68,85733888,51.5292,31.9392,38.2242,44.5092,39.6002
2021-06-10,42.67,43.43,42.16,42.76,34757316,51.3732,32.0008,38.1448,44.2888,39.4643
2021-06-09,43.53,44.44,42.73,42.74,36363974,51.9148,31.9362,37.9954,44.0546,39.3335
2021-06-08,44.46,44.89,42.82,43.56,50332250,52.5013,31.9348,37.83,43.7252,39.1622
2021-06-07,41.67,43.9,41.44,43.68,53261315,50.8693,32.042,37.6538,43.2656,38.946
2021-06-04,41.43,42.325,41.15,41.94,40993649,50.7266,31.9933,37.5252,43.0571,38.8348
2021-06-03,40.68,42.37,40.31,40.9,62437181,50.2843,32.0013,37.5206,43.0399,38.7288
2021-06-02,42.15,42.88,40.95,41.16,66383529,51.1665,31.9278,37.5586,43.1894,38.6492
2021-06-01,39.99,42.44,39.94,42.34,101544050,49.9008,31.8173,37.597,43.3767,38.5063
2021-05-28,38.745,39.76,38.1737,38.62,58235958,49.1564,31.7843,37.626,43.4677,38.4458
2021-05-27,37.95,38.98,37.182,38.91,53064377,48.6792,31.67,37.7171,43.7642,38.4335
2021-05-26,36.25,38.08,36.0734,37.76,55928956,47.6496,31.6367,37.7961,43.9555,38.4533
2021-05-25,36.32,37.64,35.69,36.07,76628027,47.6882,31.505,37.9719,44.4388,38.5432
2021-05-24,34.26,36.49,33.56,35.89,67244425,46.4366,31.3697,38.1565,44.9433,38.634
2021-05-21,34.66,34.78,33.87,34.06,49568794,46.649,31.4857,38.3415,45.1973,38.8125
2021-05-20,33.98,34.51,33.64,34.33,48991744,46.2394,31.5559,38.537,45.5182,38.982
2021-05-19,32.98,33.46,32.5914,33.46,68799779,45.6378,31.7345,38.7274,45.7203,39.1861
2021-05-18,34.01,34.78,33.2604,34.19,64929533,46.1591,32.0093,38.8174,45.6255,39.4394
2021-05-17,33.33,34.16,32.82,33.81,64020013,45.7582,32.1863,38.8766,45.567,39.6611
