time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,16.71,16.8587,16.21,16.39,5037513,50.6548,9.1985,14.6512,20.1039,15.8117
2021-07-02,17.15,17.25,16.361,16.44,7114196,51.2725,9.1058,14.5638,20.0218,15.7751
2021-07-01,17.88,17.97,16.79,16.99,9118703,52.3096,8.9438,14.4406,19.9374,15.719
2021-06-30,17.7,18.5587,17.36,18.06,8522829,52.0754,8.7086,14.276,19.8434,15.6308
2021-06-29,19.01,19.059,17.582,17.72,9384514,53.966,8.5192,14.1228,19.7264,15.5463
2021-06-28,18.29,19.44,18.27,18.93,12675512,53.0478,8.4638,13.9606,19.4574,15.4049
2021-06-25,18.19,18.62,17.83,18.1,33918780,52.92,8.3738,13.807,19.2402,15.2872
2021-06-24,18.25,18.93,17.9,18.24,10990426,53.0049,8.369,13.6808,18.9927,15.1687
2021-06-23,17.7515,18.7,17.56,18.06,16354862,52.3833,8.4115,13.5678,18.7242,15.0429
2021-06-22,15.78,17.46,15.7764,17.32,10929015,49.8106,8.4047,13.4462,18.4877,14.9324
2021-06-21,16.44,16.5,15.5909,16.14,7893802,50.7095,8.3843,13.3851,18.3858,14.8978
2021-06-18,16.81,17.15,16.25,16.51,8362835,51.2173,8.3832,13.3103,18.2374,14.8348
2021-06-17,16.08,17.17,16.0196,17.01,12257850,50.2541,8.4012,13.2281,18.055,14.7542
2021-06-16,15.75,16.19,15.46,15.76,7819862,49.8152,8.4127,13.1703,17.9279,14.7001
2021-06-15,17.18,17.24,15.42,15.6,14806329,51.7545,8.415,13.1153,17.8156,14.6572
2021-06-14,17.12,17.78,16.83,17.21,7803573,51.6772,8.4891,13.0521,17.6151,14.5542
2021-06-11,16.92,17.745,16.72,17.55,8240352,51.4227,8.5677,12.9943,17.4209,14.4495
2021-06-10,17.49,17.78,16.72,16.8,8929816,52.1902,8.6429,12.9387,17.2345,14.3487
2021-06-09,18.37,18.7899,17.06,17.49,14182394,53.396,8.7618,12.8641,16.9664,14.2205
2021-06-08,17.93,19.13,17.8,18.55,18904612,52.8623,8.9701,12.7813,16.5925,14.0511
2021-06-07,17.05,18.14,16.58,17.65,10622969,51.7802,9.1573,12.7151,16.2728,13.8928
2021-06-04,17.18,17.35,16.55,16.99,8231546,51.9529,9.2996,12.6473,15.995,13.7639
2021-06-03,17.93,19.52,16.76,16.88,20965370,52.9512,9.433,12.6077,15.7824,13.6245
2021-06-02,15.62,18.4,15.46,18.34,29269559,50.0542,9.6415,12.5613,15.481,13.4487
2021-06-01,15.39,15.7,14.85,15.44,7926835,49.7524,9.6383,12.5623,15.4863,13.3601
2021-05-28,15.06,16.21,14.7,14.96,18517588,49.3216,9.6569,12.5553,15.4537,13.2773
2021-05-27,12.86,15.56,12.86,15.49,26378161,46.3152,9.6164,12.5693,15.5222,13.2045
2021-05-26,12.41,13.05,12.3,13.0,8640015,45.6691,9.5476,12.6257,15.7037,13.2186
2021-05-25,12.0371,12.5,11.86,12.32,7495008,45.1329,9.4549,12.7047,15.9545,13.2516
2021-05-24,12.0455,12.32,11.815,12.1,7622754,45.1427,9.3398,12.8053,16.2708,13.3011
2021-05-21,12.82,12.93,11.97,11.98,11999325,46.0495,9.285,12.8946,16.5043,13.3524
2021-05-20,13.08,13.088,12.42,12.77,10003020,46.3558,9.2252,12.9664,16.7077,13.3741
2021-05-19,13.2,13.4073,12.6722,12.9,13377339,46.4958,9.167,13.034,16.9011,13.3861
2021-05-18,13.35,14.15,13.07,13.75,16137994,46.6683,9.1561,13.077,16.998,13.3937
2021-05-17,12.23,13.46,12.16,12.96,16102604,45.1797,9.15,13.1129,17.0758,13.3955
2021-05-14,12.0,12.68,11.57,12.12,11366415,44.8701,9.1463,13.1917,17.2371,13.4431
2021-05-13,12.5,12.78,11.53,11.88,12151055,45.4166,9.1493,13.2807,17.4122,13.502
2021-05-12,11.62,12.65,11.28,12.57,14788389,44.2452,9.0582,13.3913,17.7244,13.5429
2021-05-11,10.67,11.94,10.55,11.83,11828144,42.9499,8.9992,13.5283,18.0575,13.6214
2021-05-10,11.55,11.71,10.9,11.26,9950575,43.8752,9.0212,13.6853,18.3495,13.7418
2021-05-07,10.24,11.62,10.2,11.5,19111681,42.054,8.9468,13.8441,18.7415,13.8313
2021-05-06,11.1,11.24,9.91,10.14,15909146,42.9507,8.8656,14.0619,19.2583,13.9779
2021-05-05,10.995,10.995,10.33,10.42,6586614,42.8047,8.8602,14.2384,19.6167,14.0953
2021-05-04,10.79,10.89,10.37,10.81,7381563,42.5235,8.8883,14.4177,19.9471,14.2219
