time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,829.5,833.68,814.01,827.94,11167687,68.4061,500.5796,663.3616,826.1437,687.0612
2021-07-02,817.605,820.21,811.51,819.48,8584917,67.6953,502.0214,658.7164,815.4114,681.2473
2021-07-01,805.0,818.24,800.76,808.48,12003374,66.9224,504.2561,654.6614,805.0668,675.6817
2021-06-30,799.965,806.5,794.55,800.1,8164154,66.6097,505.9132,650.6537,795.3941,670.4034
2021-06-29,795.3,803.95,786.275,801.07,9190846,66.3206,508.2561,646.9101,785.5642,665.1152
2021-06-28,774.45,803.15,772.76,799.4,12385914,64.993,511.2664,643.4305,775.5946,659.8015
2021-06-25,771.22,773.82,755.775,761.24,6959148,64.7823,514.0287,640.781,767.5333,655.122
2021-06-24,769.11,776.8,763.53,768.22,8023060,64.646,516.6894,637.8837,759.078,650.3833
2021-06-23,760.31,766.11,756.31,762.29,8308926,64.0779,519.7133,634.9986,750.284,645.5373
2021-06-22,738.86,758.55,735.435,755.47,14503639,62.6441,522.1956,631.9748,741.7541,640.8527
2021-06-21,737.41,741.46,712.906,737.09,16809554,62.5451,521.9231,628.6268,735.3305,636.8524
2021-06-18,751.36,775.0,743.36,745.55,24221357,64.1486,521.8877,625.2472,728.6067,632.748
2021-06-17,710.9827,753.4,710.2501,746.29,20241372,61.337,523.6269,621.6196,719.6122,627.9067
2021-06-16,711.63,718.1871,703.377,712.41,7594711,61.4126,522.1755,618.5019,714.8284,624.5158
2021-06-15,716.6,720.65,709.118,711.54,6075761,61.988,521.5344,615.4665,709.3986,620.9602
2021-06-14,716.24,721.58,706.5101,720.75,8034357,61.9627,521.3434,612.226,703.1085,617.0565
2021-06-11,699.18,717.569,697.75,713.01,10407691,60.7496,520.8249,608.7565,696.688,613.0082
2021-06-10,694.0,699.68,687.0401,697.0,7194261,60.3735,517.7191,605.1829,692.6466,609.491
2021-06-09,700.63,703.0,690.23,694.33,9541437,61.1079,514.1766,601.574,688.9715,606.0416
2021-06-08,701.09,704.8635,690.04,698.28,8096169,61.1407,511.6246,597.8153,684.006,602.1809
2021-06-07,702.8456,712.5,687.71,704.76,14393873,61.3305,508.7002,593.838,678.9758,598.1504
2021-06-04,684.5,706.44,683.82,703.13,15428007,60.0609,506.4671,589.7816,673.0961,593.8837
2021-06-03,668.03,690.36,663.32,678.79,14500170,58.873,505.9164,586.6134,667.3103,590.1915
2021-06-02,650.09,676.7547,649.42,671.13,14854189,57.5243,505.0578,583.8568,662.6558,587.0207
2021-06-01,650.8,655.525,636.13,650.58,11820075,57.5976,502.4742,581.1858,659.8974,584.4526
2021-05-28,620.04,651.099,620.04,649.78,16113390,55.1739,499.7288,578.3705,657.0121,581.7506
2021-05-27,627.99,630.0,618.4,619.52,14536880,55.9844,497.3766,576.4793,655.582,580.1936
2021-05-26,629.37,631.75,623.45,628.0,9260966,56.1247,495.1676,574.3518,653.536,578.2487
2021-05-25,630.64,632.7399,619.3,625.91,10885172,56.2518,494.0653,572.45,650.8348,576.168
2021-05-24,608.5,629.8,607.04,624.48,13870405,54.4911,491.8862,570.1296,648.3729,573.9506
2021-05-21,606.55,608.88,594.7756,599.67,16824800,54.3325,488.5853,568.0786,647.572,572.5461
2021-05-20,572.1,587.3514,570.82,584.5,8039798,51.3993,486.3662,566.308,646.2498,571.1639
2021-05-19,542.66,563.18,541.73,562.63,8599984,48.6365,483.863,565.1387,646.4144,571.1311
2021-05-18,570.68,576.17,560.16,560.63,4656356,51.3598,479.8941,563.99,648.0858,572.2983
2021-05-17,566.28,566.77,554.14,566.62,5424521,50.937,476.4437,562.5335,648.6233,572.3697
2021-05-14,555.6,573.1242,549.94,569.72,6465375,49.9012,473.4977,561.245,648.9923,572.6236
2021-05-13,561.35,563.23,538.36,546.61,7143187,50.4633,471.5457,560.3705,649.1954,573.3236
2021-05-12,560.38,570.41,548.37,550.34,7585233,50.3709,470.8113,559.8812,648.9512,573.8176
2021-05-11,553.0,574.19,550.0,572.25,7139634,49.6708,470.7125,559.7901,648.8677,574.3714
2021-05-10,591.49,592.24,570.0,570.63,6722595,53.5305,470.7588,559.8265,648.8942,575.2489
2021-05-07,592.33,598.83,586.8683,592.49,5733183,53.6196,470.3454,558.9954,647.6454,574.5915
2021-05-06,579.81,582.85,568.7236,580.92,4834523,52.4638,470.2361,558.3817,646.5273,573.8731
2021-05-05,588.36,592.54,575.5,578.34,7300576,53.3536,470.125,558.0802,646.0353,573.6362
2021-05-04,585.49,585.5,560.4101,574.05,10133120,53.0919,470.025,557.5697,645.1144,573.0408
2021-05-03,605.0,609.87,591.5,593.47,5097796,55.1536,469.9839,557.6759,645.3679,572.5381
2021-04-30,606.98,614.5999,599.88,600.38,5047752,55.3674,470.0731,557.5917,645.1102,571.2189
2021-04-29,616.0,617.46,602.86,612.99,4329912,56.3426,470.3809,557.2316,644.0822,569.7649
2021-04-28,614.58,621.29,608.6207,611.07,5235405,56.2237,470.6607,557.0446,643.4284,567.8836
2021-04-27,623.14,626.82,614.18,615.27,4114325,57.1435,470.9996,556.8006,642.6016,565.9834
2021-04-26,607.4018,619.16,605.0,619.12,4944927,55.8418,471.6888,556.374,641.0592,563.6563
2021-04-23,597.3745,613.395,596.01,610.61,5694305,54.9881,471.8924,556.2064,640.5204,561.8765
2021-04-22,615.0,617.5427,591.34,594.01,6944657,56.8824,472.0862,555.8259,639.5656,560.4332
2021-04-21,604.75,614.5,604.09,614.42,5419426,56.0189,472.8046,554.9949,637.1852,558.2118
2021-04-20,612.93,619.88,598.52,606.85,8353326,56.9102,472.9068,553.8784,634.85,556.318
2021-04-19,621.4616,632.3,609.3201,614.47,10110452,57.8511,473.3859,552.5966,631.8074,554.013
2021-04-16,642.1235,646.63,634.61,636.5,8380189,60.2136,474.1968,550.9891,627.7814,551.2659
2021-04-15,626.5,648.566,625.26,645.49,14962017,58.972,476.7855,549.0524,621.3193,547.5634
2021-04-14,625.0,628.8184,609.1,611.08,9637548,58.8512,478.3498,547.2384,616.127,544.3474
2021-04-13,609.26,628.0,605.03,627.18,16905297,57.5662,479.6169,545.1782,610.7395,541.0614
2021-04-12,571.59,614.1,565.57,608.36,21733050,54.2124,480.2074,543.4501,606.6927,538.2835
2021-04-09,568.56,576.32,567.0,576.0,4879272,53.9254,479.3391,542.4122,605.4852,536.9294
2021-04-08,570.11,578.86,569.9577,572.68,6110373,54.0954,478.8831,541.6218,604.3605,535.6437
2021-04-07,555.23,569.7399,548.46,565.74,6282109,52.6922,478.865,541.0806,603.2962,534.2423
2021-04-06,559.9871,562.165,550.9449,554.46,4793649,53.2017,478.8461,540.9979,603.1497,533.3908
2021-04-05,554.7,560.5585,549.32,559.5,6391785,52.7036,478.8212,540.7868,602.7523,532.3105
2021-04-01,542.89,554.8,540.45,552.47,7706865,51.5753,478.5737,540.4243,602.2749,531.4019
2021-03-31,520.62,538.82,519.3,533.93,7869438,49.342,478.0396,540.0526,602.0657,530.9381
2021-03-30,513.678,519.01,508.2,514.87,5005062,48.6181,478.0334,540.0499,602.0664,531.3642
2021-03-29,512.81,522.5,508.0,517.93,6837997,48.528,478.7144,540.3553,601.9962,532.0909
2021-03-26,502.18,514.25,494.94,513.57,9099224,47.4211,479.8214,540.9555,602.0896,532.8827
2021-03-25,499.98,508.59,490.88,501.41,7378614,47.1908,481.5805,541.7002,601.82,534.1406
2021-03-24,526.05,526.365,505.47,505.72,6145963,49.7202,483.7445,542.6989,601.6533,535.5396
2021-03-23,530.17,533.78,520.85,522.83,5551152,50.1364,484.1211,542.9094,601.6977,535.9318
2021-03-22,516.51,535.78,516.27,527.45,7445077,48.7423,484.2656,542.9926,601.7196,536.172
2021-03-19,510.0,516.86,504.5,513.83,7480174,48.0641,484.3767,543.0331,601.6894,536.9794
2021-03-18,525.46,527.36,508.6817,508.9,7354702,49.5911,485.3668,543.4076,601.4484,538.0854
2021-03-17,521.59,538.13,519.58,533.65,6096605,49.1951,485.2915,543.3749,601.4582,538.6057
2021-03-16,534.26,540.5,524.67,531.65,6803240,50.467,485.4086,543.4231,601.4376,539.3051
2021-03-15,514.59,528.27,510.685,527.65,5563011,48.4389,485.0604,543.2438,601.4271,539.516
2021-03-12,505.93,515.55,503.6,514.24,6099099,47.5116,485.334,543.3409,601.3478,540.5382
2021-03-11,518.0,521.85,509.38,519.74,7497857,48.7081,486.038,543.5589,601.0799,541.9556
2021-03-10,513.62,519.2,498.3,498.73,9609414,48.2445,486.2668,543.6456,601.0244,542.9382
2021-03-09,485.21,504.67,482.37,500.81,13045638,45.0904,486.7047,543.7996,600.8946,544.1397
2021-03-08,498.0,498.85,462.66,463.73,13577792,46.3204,489.9582,544.6966,599.435,546.5496
2021-03-05,502.0,502.0,467.17,498.46,13570971,46.7157,492.1957,545.3916,598.5876,548.5424
2021-03-04,512.03,519.0,483.35,494.81,14333629,47.7165,493.6792,545.8112,597.9432,550.4533
2021-03-03,537.05,538.06,511.95,512.19,9439757,50.3535,494.9545,546.2736,597.5927,552.0331
2021-03-02,556.0,556.82,535.84,536.25,6602853,52.5074,494.8673,546.226,597.5847,552.6567
