time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,24.6,25.2,24.47,24.68,28764530,51.4256,18.3974,23.1454,27.8934,24.1798
2021-07-02,25.0,25.34,24.33,24.44,29529097,51.9518,18.381,23.1112,27.8414,24.1626
2021-07-01,26.1,26.13,24.59,24.72,55571523,53.425,18.3706,23.07,27.7694,24.1285
2021-06-30,26.48,26.92,26.21,26.36,28957136,53.9429,18.3464,22.981,27.6156,24.048
2021-06-29,27.38,27.44,26.44,26.63,38478919,55.1845,18.3573,22.8906,27.4239,23.9487
2021-06-28,26.98,27.5,26.86,27.38,42184606,54.7306,18.4341,22.786,27.1379,23.8087
2021-06-25,26.58,27.01,26.245,26.78,140832704,54.2769,18.5197,22.7036,26.8875,23.6792
2021-06-24,26.49,26.71,26.17,26.53,48419360,54.1756,18.5989,22.6522,26.7055,23.5608
2021-06-23,25.46,26.35,25.34,26.27,53362161,53.0082,18.6506,22.6294,26.6082,23.4413
2021-06-22,25.39,25.52,24.96,25.4,46171052,52.9283,18.6844,22.584,26.4836,23.3589
2021-06-21,25.1,25.55,24.51,25.42,54805001,52.6012,18.7097,22.5666,26.4235,23.276
2021-06-18,25.59,25.94,25.02,25.37,65852610,53.2135,18.7362,22.5338,26.3314,23.2015
2021-06-17,24.68,25.46,24.55,25.45,64408370,52.2009,18.7846,22.486,26.1874,23.104
2021-06-16,24.09,24.94,23.86,24.8,58179613,51.5344,18.8011,22.4524,26.1037,23.0397
2021-06-15,25.03,25.55,24.39,24.41,46693199,52.6813,18.8066,22.4416,26.0766,22.9968
2021-06-14,24.73,25.15,24.47,25.0,51801476,52.3496,18.8363,22.4166,25.9969,22.9138
2021-06-11,24.12,24.71,24.03,24.67,33113056,51.6746,18.8545,22.401,25.9475,22.8397
2021-06-10,24.0,24.39,23.44,24.14,35482902,51.5423,18.8561,22.3686,25.8811,22.7875
2021-06-09,24.45,24.74,24.17,24.17,36006240,52.0663,18.8237,22.3158,25.8079,22.738
2021-06-08,24.85,25.23,23.93,24.38,53488561,52.5315,18.8374,22.2764,25.7154,22.6681
2021-06-07,24.0,24.76,23.79,24.46,49641037,51.6315,18.8706,22.232,25.5934,22.579
2021-06-04,23.71,24.49,23.5,24.03,42537599,51.323,18.8411,22.176,25.5109,22.521
2021-06-03,24.14,24.26,23.34,23.63,48164194,51.8032,18.8461,22.1678,25.4895,22.4725
2021-06-02,23.02,24.84,22.82,24.45,86473158,50.6239,18.8497,22.165,25.4803,22.4044
2021-06-01,23.19,23.3499,22.36,23.06,52695506,50.8088,18.8081,22.2024,25.5967,22.3793
2021-05-28,23.0,24.75,22.76,22.95,111845970,50.6112,18.7978,22.2188,25.6398,22.3462
2021-05-27,22.01,22.7,21.65,22.7,76230463,49.5769,18.7671,22.2534,25.7397,22.3195
2021-05-26,21.58,22.24,21.49,22.12,42958297,49.1234,18.7609,22.3036,25.8463,22.3322
2021-05-25,21.42,22.11,21.28,21.48,49890803,48.956,18.659,22.407,26.155,22.3629
2021-05-24,21.06,21.52,20.675,21.22,46596776,48.5829,18.5421,22.5256,26.5091,22.4014
2021-05-21,20.84,21.16,20.47,20.75,35372922,48.3569,18.5587,22.6192,26.6797,22.4561
2021-05-20,20.75,20.81,20.28,20.61,46302386,48.2657,18.5886,22.7214,26.8542,22.5221
2021-05-19,20.1,21.035,19.94,20.67,45314036,47.611,18.6638,22.807,26.9502,22.5944
2021-05-18,20.52,21.62,20.26,21.24,59672370,47.9956,18.7996,22.8726,26.9456,22.6962
2021-05-17,19.73,20.49,19.63,20.46,50039596,47.2095,18.9134,22.9376,26.9618,22.785
2021-05-14,18.82,20.2,18.53,20.08,79409513,46.293,19.0934,23.0302,26.967,22.9097
2021-05-13,19.14,19.47,17.82,18.37,87811609,46.5717,19.371,23.1508,26.9306,23.0767
2021-05-12,20.0,20.0,18.51,18.89,128281543,47.3218,19.6324,23.2678,26.9032,23.2373
2021-05-11,17.2,20.3,17.055,20.21,203230517,44.4679,19.8235,23.3678,26.9121,23.3695
2021-05-10,19.28,19.3,18.18,18.47,104670546,46.2937,20.416,23.5276,26.6392,23.6213
2021-05-07,20.3,20.75,19.58,19.75,63725501,47.2256,20.7562,23.626,26.4958,23.7985
2021-05-06,21.02,21.02,19.41,20.09,92201104,47.8925,20.9638,23.7364,26.509,23.9413
2021-05-05,21.81,21.94,20.97,21.15,39134700,48.6309,21.0659,23.8502,26.6345,24.0605
2021-05-04,21.94,22.2,20.87,21.64,63429554,48.7521,21.1496,23.9332,26.7168,24.1524
2021-05-03,23.01,23.08,22.21,22.3,33934417,49.7525,20.8947,24.0936,27.2925,24.2427
2021-04-30,23.18,23.55,22.84,23.04,24717299,49.9119,20.8877,24.1738,27.4599,24.293
2021-04-29,23.87,24.14,22.81,23.37,36770148,50.5565,20.9286,24.21,27.4914,24.3384
2021-04-28,23.67,24.17,23.42,23.85,22068111,50.3744,20.8465,24.2924,27.7383,24.3575
2021-04-27,24.17,24.26,23.57,23.88,27678340,50.833,20.6242,24.4194,28.2146,24.3856
2021-04-26,23.69,24.26,23.46,24.11,33667583,50.4083,20.0581,24.6032,29.1483,24.3944
2021-04-23,22.89,23.55,22.74,23.41,32169533,49.6987,19.3344,24.8452,30.356,24.4232
2021-04-22,22.94,23.51,22.51,22.86,51346366,49.7423,18.5284,25.1504,31.7724,24.4857
2021-04-21,21.65,22.64,21.43,22.63,42641404,48.6023,18.068,25.4296,32.7912,24.5488
