time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,143.0,143.18,139.68,141.19,7095210,54.1802,125.7447,134.5912,143.4377,135.8863
2021-07-02,141.99,142.68,141.25,142.58,5399721,53.6537,125.87,134.3925,142.9149,135.596
2021-07-01,142.91,143.02,140.35,140.8,6094085,54.2097,126.004,134.2464,142.4887,135.335
2021-06-30,142.35,143.628,141.84,142.93,6449659,53.9249,126.1509,134.0311,141.9114,135.0258
2021-06-29,139.632,142.95,139.25,142.62,6885355,52.52,126.3483,133.8615,141.3748,134.7268
2021-06-28,138.23,140.17,137.98,139.72,6645474,51.7768,126.4305,133.7931,141.1556,134.5266
2021-06-25,138.45,139.47,136.97,137.65,7949190,51.9017,126.4585,133.7669,141.0754,134.3755
2021-06-24,136.6191,138.51,136.35,137.92,7941660,50.9361,126.5046,133.7042,140.9038,134.2092
2021-06-23,134.89,136.23,134.81,135.52,6613763,50.0072,126.5072,133.6995,140.8919,134.1108
2021-06-22,134.22,135.31,133.29,135.08,5976376,49.6452,126.484,133.7554,141.0267,134.079
2021-06-21,133.05,135.1,132.66,133.96,6371423,49.0133,126.4598,133.8341,141.2084,134.0732
2021-06-18,134.55,134.58,132.24,133.0,12753569,49.7984,126.4356,133.957,141.4784,134.115
2021-06-17,134.31,136.62,134.09,135.35,6618346,49.672,126.3848,134.0519,141.719,134.0973
2021-06-16,136.47,137.05,133.66,134.95,7387456,50.8002,126.3862,134.1183,141.8504,134.0886
2021-06-15,137.14,137.38,135.23,135.58,5723574,51.1534,126.339,134.1718,142.0045,133.9914
2021-06-14,135.195,137.31,134.7869,137.31,7912621,50.1678,126.3196,134.1957,142.0718,133.8629
2021-06-11,133.8,134.65,133.65,134.62,6529894,49.4509,126.2967,134.1682,142.0397,133.8085
2021-06-10,133.05,135.1,132.58,134.22,5522273,49.0648,126.1528,134.0982,142.0435,133.8088
2021-06-09,135.1048,135.35,132.79,132.89,6717243,50.092,125.9835,134.0274,142.0713,133.8398
2021-06-08,134.06,135.3895,133.0,134.2,9657889,49.5659,125.9025,133.9627,142.0229,133.7882
2021-06-07,133.7,133.77,132.64,133.32,5563253,49.3857,125.4776,133.8098,142.1421,133.7771
2021-06-04,132.525,135.05,132.2,134.34,7416675,48.8006,125.0431,133.6562,142.2694,133.7802
2021-06-03,132.65,133.39,131.42,131.78,6643997,48.8595,125.0366,133.6521,142.2676,133.8314
2021-06-02,133.18,134.73,132.47,133.82,6025988,49.1057,125.0542,133.6655,142.2769,133.8797
2021-06-01,135.1036,136.07,133.53,133.94,7059614,49.6799,125.0287,133.6477,142.2667,133.9082
2021-05-28,134.1541,135.64,133.95,134.54,7044084,49.2369,124.8343,133.542,142.2497,133.8873
2021-05-27,132.73,134.64,132.71,133.64,7379260,48.5714,124.786,133.5079,142.2297,133.9041
2021-05-26,133.87,134.52,132.22,133.09,6663325,49.0761,124.7301,133.4796,142.2291,133.9794
