time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,431.45,438.3353,425.56,435.18,2916970,57.1406,271.9392,355.1086,438.2781,372.5928
2021-07-02,437.0,445.88,428.6307,430.32,3813035,57.7548,273.3288,353.5888,433.8489,370.1904
2021-07-01,455.96,457.0,433.66,435.67,5278273,59.9109,275.2958,351.9396,428.5835,367.4635
2021-06-30,438.11,462.99,433.41,459.25,6376851,58.4809,278.9686,349.6528,420.3371,363.8514
2021-06-29,441.8,444.69,435.9,440.48,2686485,58.9066,281.9956,348.1064,414.2173,360.8204
2021-06-28,437.0,445.45,431.3,440.33,4472239,58.5216,285.8526,346.6756,407.4987,357.5151
2021-06-25,426.175,431.975,420.3,430.94,5007392,57.6448,289.3238,345.6878,402.0519,354.2709
2021-06-24,430.495,431.78,419.55,423.58,6575058,58.1254,292.2903,344.7869,397.2836,351.336
2021-06-23,406.5012,424.34,406.5012,421.7,8639947,56.135,295.6687,343.9936,392.3185,348.105
2021-06-22,382.59,405.68,382.0,403.5,6686286,53.9997,297.4873,343.4026,389.3178,345.7215
2021-06-21,365.05,385.79,363.1,382.73,6227046,52.3316,297.9185,343.1834,388.4482,344.2167
2021-06-18,349.84,370.75,349.84,368.43,6206582,50.8158,297.8055,343.2824,388.7593,343.3663
2021-06-17,334.08,353.4,333.49,352.3,3956859,49.1748,297.72,343.6046,389.4892,343.1021
2021-06-16,340.89,346.12,327.52,336.67,4403614,49.8795,298.1121,344.0374,389.9627,343.4703
2021-06-15,362.99,362.99,338.04,339.88,5900765,52.2616,297.8905,343.8966,389.9027,343.5757
2021-06-14,348.08,368.6033,347.5001,364.86,4472283,50.7051,297.6895,343.397,389.1044,342.7832
2021-06-11,348.0,352.74,343.8,346.98,2361128,50.6967,297.4737,343.1888,388.9039,342.567
2021-06-10,339.64,350.45,339.1,347.81,2288538,49.8154,296.2291,342.5488,388.8685,342.3453
2021-06-09,341.91,346.31,338.64,339.64,1953612,50.0535,294.254,341.8301,389.4062,342.4557
2021-06-08,345.0,345.76,332.8324,340.13,1864456,50.3746,292.3164,341.0683,389.8201,342.478
2021-06-07,327.12,342.35,325.295,341.06,2675996,48.5009,291.2286,340.4812,389.7339,342.375
2021-06-04,328.55,333.1473,325.55,327.12,2093593,48.6449,290.3693,340.1638,389.9584,342.9977
2021-06-03,333.01,336.98,323.5,323.8,2750689,49.0902,290.7789,340.473,390.1672,343.5874
2021-06-02,347.05,347.71,336.16,340.24,2940322,50.517,291.0925,340.9552,390.8179,344.0191
2021-06-01,348.97,352.99,340.5,347.71,2282107,50.7146,291.1255,341.0722,391.0189,343.8954
2021-05-28,351.0,357.3899,346.0,346.71,2058835,50.9209,291.0468,340.9448,390.8427,343.6883
2021-05-27,348.3,349.8,342.74,349.03,2330478,50.6592,291.0276,341.1054,391.1831,343.3899
2021-05-26,348.88,352.88,345.5,348.99,1847972,50.7162,291.0069,341.0644,391.1218,343.1894
2021-05-25,349.41,356.7,344.1425,345.7,2899082,50.7672,290.9346,341.3768,391.8189,342.9572
2021-05-24,333.455,351.43,332.56,347.22,3463164,49.2596,290.9333,341.5682,392.203,342.6938
2021-05-21,338.0,339.8899,330.41,330.65,2216196,49.6843,291.2654,341.9019,392.5384,343.0709
2021-05-20,326.7374,336.92,323.7,335.98,3662770,48.6082,291.3134,342.5419,393.7704,343.2779
2021-05-19,318.77,323.7,313.0401,320.84,3154147,47.8347,291.8344,343.3887,394.9431,343.953
2021-05-18,314.21,332.41,310.46,325.53,5946674,47.3906,292.8948,343.9834,395.0719,344.9809
2021-05-17,313.4357,322.6,305.65,312.43,3683753,47.316,294.2677,344.6498,395.0319,346.2368
2021-05-14,314.1,317.8421,305.5,315.95,3586997,47.3725,295.8267,345.551,395.2754,347.5756
2021-05-13,314.55,323.5,303.03,309.6,6695786,47.4101,297.37,346.589,395.8081,348.942
2021-05-12,305.5,322.6372,305.0,308.03,9642406,46.5746,298.0225,348.1982,398.374,350.3457
2021-05-11,289.4,316.63,287.6593,314.12,7499490,45.0528,297.3863,350.6078,403.8294,352.1762
2021-05-10,309.26,316.24,299.13,301.41,8682998,46.6595,300.3707,352.9614,405.5522,354.7385
2021-05-07,321.99,337.24,313.69,317.0,16761116,47.7287,302.4467,354.6042,406.7618,356.5947
2021-05-06,298.5,300.27,272.41,284.18,10479038,45.469,303.0233,356.2892,409.5552,358.0072
2021-05-05,327.46,328.0,301.8375,304.17,3751603,47.9748,305.7842,358.5192,411.2543,360.436
2021-05-04,329.55,330.39,310.71,319.59,3785248,48.1625,306.1041,360.2302,414.3564,361.782
2021-05-03,346.3932,346.3932,332.03,335.31,2342916,49.6984,302.7772,362.8147,422.8523,363.0976
2021-04-30,349.41,352.6497,341.8501,342.97,3081113,49.9782,299.1803,365.1275,431.0747,363.7794
2021-04-29,370.57,377.5,353.17,356.7,3781992,51.9898,297.3265,367.1093,436.8921,364.3659
2021-04-28,359.3,364.8399,354.7,357.74,1443703,50.9595,294.7129,368.8223,442.9316,364.1127
2021-04-27,371.0,376.5,359.56,360.65,2293754,52.0969,291.1836,371.1761,451.1686,364.3091
2021-04-26,358.99,368.98,347.54,368.63,3774279,50.9966,288.9374,373.0331,457.1288,364.036
2021-04-23,355.46,357.6,347.66,356.87,1927981,50.6703,286.7022,375.3411,463.98,364.242
2021-04-22,354.54,367.38,346.63,350.06,3049020,50.5862,285.3689,377.6163,469.8637,364.6004
2021-04-21,341.62,356.9677,336.2701,356.62,3233682,49.3996,285.8028,379.2547,472.7066,365.0111
2021-04-20,360.79,366.56,349.19,354.85,2396827,51.1869,286.7578,381.3027,475.8476,365.9658
2021-04-19,370.26,378.7453,354.4,361.15,2823446,52.0995,287.2469,382.7911,478.3353,366.1771
2021-04-16,387.61,388.39,375.69,376.52,2674071,53.8224,287.6445,383.9437,480.2428,366.0104
2021-04-15,381.13,392.75,376.2501,388.64,2986289,53.2566,287.7425,384.6414,481.5403,365.1288
2021-04-14,390.8275,397.69,373.4701,374.66,3490643,54.2311,288.0226,385.4188,482.815,364.4757
2021-04-13,376.95,389.607,374.9,387.97,3268862,53.0257,288.0845,385.5088,482.9332,363.4001
2021-04-12,371.63,374.65,361.69,371.12,2348604,52.5563,288.4954,385.9738,483.4523,362.847
2021-04-09,370.0,375.9762,363.1935,373.66,3209024,52.4135,289.1214,386.7232,484.3251,362.4885
2021-04-08,365.95,378.0,365.66,372.68,5598078,52.0622,289.7124,387.2222,484.7321,362.182
2021-04-07,355.72,367.78,352.01,361.92,5346699,51.1698,290.5231,388.4028,486.2826,362.0282
2021-04-06,333.85,363.08,331.4,359.37,7272672,49.1882,291.7718,389.9062,488.0406,362.2856
2021-04-05,338.01,338.01,322.58,328.29,2618474,49.5631,294.4635,391.6692,488.8749,363.4463
2021-04-01,337.67,343.42,329.11,331.9,3507438,49.5323,296.9623,393.4952,490.0282,364.4845
2021-03-31,316.0,329.0,314.01,325.77,3575605,47.5301,299.4409,395.5982,491.7556,365.579
2021-03-30,303.7042,314.81,296.36,311.96,4278944,46.3465,304.032,397.6928,491.3536,367.6026
2021-03-29,303.82,308.75,293.61,300.79,3522647,46.3562,310.1026,399.9788,489.8549,370.2107
2021-03-26,315.6484,318.7835,292.92,306.82,5156235,47.3431,316.5085,402.1186,487.7286,372.9205
2021-03-25,311.25,322.68,307.26,317.62,4151183,46.9314,322.1103,404.1916,486.2729,375.2581
2021-03-24,344.01,345.1,317.05,318.45,3670709,49.7719,328.4558,406.1246,483.7934,377.8707
2021-03-23,357.12,363.87,341.53,342.24,3335696,50.982,331.285,407.0504,482.8157,379.2528
2021-03-22,352.8975,361.33,350.9752,356.32,2699815,50.6029,333.1777,407.735,482.2923,380.1562
2021-03-19,342.6,350.55,334.04,347.51,3549500,49.6727,333.1073,407.7172,482.3271,381.2688
2021-03-18,359.03,361.35,341.38,341.95,3370467,51.1797,331.3807,407.366,483.3513,382.8471
2021-03-17,346.25,370.99,341.29,368.71,3370532,50.0239,327.963,406.6014,485.2399,383.8192
2021-03-16,364.5,369.5999,348.53,353.58,3192054,51.738,327.434,406.476,485.518,385.3527
2021-03-15,358.9797,363.45,354.0601,362.92,2363639,51.2428,325.3995,405.936,486.4725,386.2038
2021-03-12,350.14,361.48,346.14,359.96,2720084,50.4447,323.8957,405.5398,487.1839,387.315
2021-03-11,370.0,370.0,358.94,363.34,3578767,52.3305,323.0919,405.3362,487.5804,388.8323
2021-03-10,369.08,376.28,352.96,356.54,4098192,52.2495,322.4695,405.1262,487.7828,389.601
2021-03-09,348.502,362.86,340.41,361.11,5158342,50.4012,321.9437,404.948,487.9524,390.4386
2021-03-08,347.53,356.9899,325.0,327.19,5336933,50.3122,322.4079,405.078,487.7481,392.1503
2021-03-05,358.5,361.9099,322.43,353.54,7957530,51.3313,323.0385,405.254,487.4695,393.9715
2021-03-04,366.0,375.5605,345.5401,359.95,7879905,52.0375,321.992,404.964,487.9359,395.4193
2021-03-03,395.01,402.9796,367.9,369.5,7048884,54.9005,319.5064,404.2836,489.0608,396.6201
2021-03-02,425.98,429.44,388.7,389.67,6013398,58.2537,317.0477,403.3164,489.585,396.6858
2021-03-01,407.08,420.5,397.2,420.31,3818098,56.671,312.2092,401.2208,490.2324,395.4902
2021-02-26,391.4,401.8785,380.6601,395.48,4434453,55.2929,308.1028,399.5874,491.072,395.0171
2021-02-25,406.24,418.9419,378.0,382.34,5317253,56.9736,305.0741,398.4194,491.7646,395.1647
2021-02-24,410.0,419.9992,400.0,413.79,3667338,57.4069,300.9215,396.7146,492.5076,394.7127
2021-02-23,413.01,424.3999,381.03,415.87,7253988,57.7514,295.156,394.5346,493.9131,394.0887
2021-02-22,458.775,483.7,434.0101,437.28,7751059,63.4233,290.9001,392.5766,494.253,393.3164
2021-02-19,462.03,472.8261,442.77,467.31,7685532,63.8605,286.2837,389.4007,492.5176,390.6446
2021-02-18,448.5,462.5,441.77,452.99,4890448,62.8165,281.814,386.0731,490.3321,387.7309
2021-02-17,456.22,457.25,436.0,456.97,3862722,63.8479,276.824,382.9069,488.9897,385.2506
2021-02-16,476.99,486.72,466.28,469.7,3726504,66.737,271.7638,379.4217,487.0795,382.3539
2021-02-12,463.85,470.35,457.06,468.67,2115676,65.7769,268.1072,375.5107,482.9141,378.4912
2021-02-11,474.39,479.95,462.955,465.69,2796999,67.304,265.0798,372.0437,479.0075,375.0071
