time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,115.08,115.85,114.32,115.73,5294660,56.2701,109.576,112.5441,115.5123,111.9846
2021-07-02,113.97,115.3,113.71,114.97,4723386,55.1444,109.5508,112.5535,115.5561,111.8583
2021-07-01,111.95,113.49,111.81,113.41,4810618,52.9859,109.4357,112.6019,115.768,111.7721
2021-06-30,112.34,112.59,111.27,111.81,6759115,53.4728,109.4047,112.6752,115.9457,111.7648
2021-06-29,112.07,112.69,111.53,112.27,3789517,53.1809,109.3202,112.7581,116.196,111.7414
2021-06-28,112.93,113.05,111.445,112.24,4546564,54.2431,109.1725,112.8704,116.5684,111.7279
2021-06-25,112.75,113.22,112.22,113.04,12171215,54.0548,109.0546,112.9586,116.8626,111.6789
2021-06-24,111.78,112.91,111.78,111.99,3840030,53.0346,109.0649,112.9962,116.9275,111.6352
2021-06-23,111.275,111.97,111.14,111.56,3552086,52.4963,109.1098,113.0556,117.0013,111.6292
2021-06-22,111.07,112.26,110.6,111.85,3583547,52.2788,109.1831,113.0964,117.0097,111.6437
2021-06-21,110.0,111.37,109.68,110.97,5628664,51.134,109.2525,113.1262,116.9998,111.6671
2021-06-18,110.74,110.75,109.2615,109.7,7024352,51.9791,109.4002,113.1752,116.9501,111.7352
2021-06-17,111.0,111.945,110.71,111.39,4008537,52.2766,109.5138,113.2241,116.9344,111.7758
2021-06-16,112.42,112.57,110.2,111.36,4427018,53.9286,109.5904,113.2531,116.9158,111.8074
2021-06-15,112.46,112.5,111.56,111.89,3487317,53.9756,109.5097,113.2232,116.9366,111.7824
2021-06-14,112.78,113.225,111.5,112.45,4222383,54.3477,109.3082,113.1632,117.0182,111.7548
2021-06-11,112.28,112.83,112.185,112.56,3231182,53.8607,109.1195,113.0998,117.0801,111.7129
2021-06-10,111.8,112.43,111.4422,112.21,3833190,53.393,108.9764,113.0518,117.1272,111.6898
2021-06-09,111.7358,112.19,111.33,111.39,3669725,53.331,108.6718,112.9753,117.2789,111.6853
2021-06-08,111.38,111.99,110.86,111.52,4669852,52.9913,108.4468,112.9119,117.3771,111.6832
2021-06-07,111.98,112.2768,110.99,111.33,4009023,53.6365,108.0569,112.8206,117.5843,111.6956
2021-06-04,111.62,112.065,111.05,111.99,4477543,53.3022,107.3826,112.6725,117.9625,111.684
2021-06-03,112.01,112.24,110.15,111.12,5723894,53.7134,106.9779,112.564,118.1502,111.6866
2021-06-02,113.71,113.71,112.745,113.0,5044970,55.5437,106.6939,112.4698,118.2458,111.6734
2021-06-01,114.558,114.6237,113.1,113.34,4306926,56.4847,106.2712,112.315,118.3587,111.5903
2021-05-28,114.35,114.35,113.05,113.88,4239973,56.3067,106.0495,112.182,118.3144,111.4692
2021-05-27,113.47,114.09,112.755,113.51,7378437,55.5533,105.9008,112.0716,118.2425,111.3516
2021-05-26,113.295,113.866,112.63,112.85,3841607,55.4034,105.8525,112.0193,118.1862,111.2651
