time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,45.15,49.39,44.211,46.31,67327732,55.9259,8.3677,29.977,51.5863,34.8977
2021-07-02,53.23,54.4,44.04,44.94,135686521,60.2789,8.231,29.5122,50.7934,34.4793
2021-07-01,46.0,46.43,43.19,43.19,33951266,57.3692,8.6433,28.8984,49.1535,33.7139
2021-06-30,44.42,47.9805,43.0805,46.0,64211561,56.6897,8.6105,28.3914,48.1723,33.2125
2021-06-29,52.3,53.6,45.97,47.02,74308523,61.479,8.5558,27.914,47.2722,32.755
2021-06-28,57.15,57.5095,52.48,54.84,109574547,64.78,9.2472,27.3398,45.4324,31.9572
2021-06-25,47.81,57.2899,45.87,55.91,261349701,60.8086,10.6652,26.6594,42.6536,30.929
2021-06-24,41.1,41.58,39.26,40.26,13388243,57.429,11.391,26.2036,41.0162,30.2399
2021-06-23,38.96,41.65,38.751,40.82,20805780,56.2498,11.7326,25.925,40.1174,29.7967
2021-06-22,35.82,39.8,35.62,39.42,28072733,54.435,11.9852,25.6852,39.3852,29.4227
2021-06-21,36.27,36.7,34.83,36.02,10825129,54.754,12.1221,25.5468,38.9715,29.1616
2021-06-18,37.31,37.54,35.95,36.8,10636965,55.4905,12.2908,25.3994,38.508,28.8714
2021-06-17,35.12,37.52,35.1,37.32,16351668,54.2197,12.5281,25.2344,37.9407,28.527
2021-06-16,34.6,36.155,34.21,35.37,12646016,53.9135,12.66,25.1412,37.6224,28.2579
2021-06-15,36.45,36.7798,34.64,34.87,11827025,55.2007,12.7885,25.0372,37.2859,27.999
2021-06-14,35.27,37.6899,34.7,36.49,16543168,54.522,12.9907,24.932,36.8733,27.6541
2021-06-11,35.08,36.09,33.85,35.1,13931801,54.413,13.1368,24.8524,36.568,27.3432
2021-06-10,35.74,37.88,34.92,35.41,22565552,54.8606,13.3017,24.7566,36.2115,27.0274
2021-06-09,38.19,38.65,34.87,35.16,22543213,56.5526,13.5354,24.62,35.7046,26.6718
2021-06-08,35.28,38.22,35.05,37.49,34194897,54.9347,13.9298,24.4734,35.017,26.2017
2021-06-07,31.45,34.79,30.96,34.69,29046982,52.661,14.166,24.3616,34.5572,25.8311
2021-06-04,30.9,32.16,29.93,31.38,17823793,52.3225,14.2441,24.2926,34.3411,25.6018
2021-06-03,32.21,33.7,30.7,31.01,30748460,53.2107,14.2435,24.293,34.3425,25.3856
2021-06-02,28.59,32.09,28.41,31.13,29735166,50.9561,14.2565,24.2868,34.3171,25.107
2021-06-01,30.05,30.61,28.12,28.88,33144200,51.9454,14.0948,24.3852,34.6756,24.9648
2021-05-28,31.27,35.04,30.73,31.23,53988461,52.7847,14.0407,24.4206,34.8005,24.7573
2021-05-27,27.4,32.07,26.6,31.09,48704151,50.2879,13.9668,24.458,34.9492,24.4915
