time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,266.98,269.6499,262.28,263.52,1063866,50.5471,211.4647,246.3044,281.1441,255.4133
2021-07-02,269.76,272.06,267.2918,267.83,480874,51.0255,211.4356,246.3248,281.214,254.9412
2021-07-01,273.5,275.2499,266.41,268.63,835146,51.6702,211.5465,246.25,280.9535,254.3363
2021-06-30,274.0,280.5399,269.5,275.59,1572813,51.7559,211.7715,246.1252,280.4789,253.5541
2021-06-29,271.01,274.12,265.09,272.86,875111,51.2825,211.4049,246.2652,281.1255,252.7196
2021-06-28,268.0,273.6,265.78,271.56,1248266,50.8062,210.549,246.585,282.621,251.973
2021-06-25,266.08,268.29,261.86,266.38,1562074,50.5037,208.6669,247.2198,285.7727,251.3189
2021-06-24,260.0,265.5861,259.6,264.16,2251539,49.5409,207.5721,247.7238,287.8755,250.7164
2021-06-23,252.57,257.69,252.56,256.7,951453,48.3374,206.3375,248.4038,290.4701,250.3375
2021-06-22,246.92,254.35,244.6,253.64,1436651,47.4024,205.9805,248.9508,291.9211,250.2463
2021-06-21,247.5,248.0,242.04,245.6,826114,47.4889,205.8646,249.56,293.2554,250.3821
2021-06-18,246.11,249.36,244.33,247.64,1348552,47.263,205.7078,250.2036,294.6994,250.4997
2021-06-17,238.83,249.1,238.5,247.11,1237676,46.0722,205.4447,250.9848,296.5249,250.6789
2021-06-16,244.11,248.21,236.46,242.78,1364960,46.8237,205.6478,251.8374,298.027,251.1625
2021-06-15,252.48,252.7,241.95,242.76,1350068,48.041,205.7571,252.555,299.3529,251.4504
2021-06-14,245.0,253.4113,243.97,251.51,1250501,46.8304,205.6918,253.0966,300.5014,251.4084
2021-06-11,248.0,251.82,240.8,243.66,1576982,47.2632,206.0068,253.6204,301.234,251.6699
2021-06-10,238.68,247.46,237.1201,247.19,1500237,45.7363,206.27,253.986,301.702,251.8197
2021-06-09,243.01,245.7342,237.549,237.7,1024051,46.3473,206.7696,254.2852,301.8008,252.3561
2021-06-08,245.22,245.95,240.2292,242.51,1167810,46.6591,207.204,254.645,302.086,252.7375
2021-06-07,235.87,244.0,235.87,242.66,1273490,45.1287,207.5351,254.9108,302.2865,253.0444
2021-06-04,234.54,238.11,232.59,236.17,946944,44.9084,208.2311,255.2934,302.3557,253.7454
2021-06-03,236.12,238.45,231.525,232.19,1244836,45.1193,209.1403,256.02,302.8997,254.5293
2021-06-02,243.55,243.55,238.39,239.73,1088942,46.1175,209.9845,256.7776,303.5707,255.2807
2021-06-01,243.5,246.33,239.21,241.73,1037355,46.1097,210.4855,257.4266,304.3677,255.7595
2021-05-28,242.03,246.3,241.11,241.57,920735,45.8821,211.058,257.9564,304.8548,256.2598
2021-05-27,238.4,242.865,233.965,240.26,1002586,45.3235,211.6673,258.6848,305.7023,256.8407
2021-05-26,237.9,239.47,231.53,238.39,1364512,45.2472,212.5253,259.4648,306.4043,257.5933
2021-05-25,237.01,239.095,233.25,236.76,1126584,45.1136,213.2457,260.4868,307.7279,258.3971
2021-05-24,229.66,235.615,228.33,234.06,980921,44.0078,214.2391,261.4064,308.5737,259.2701
2021-05-21,229.95,231.56,225.3967,229.14,1037461,44.0421,215.8537,262.4144,308.9751,260.4787
2021-05-20,225.46,231.19,223.515,228.68,1233491,43.3723,217.5647,263.3356,309.1065,261.7247
2021-05-19,212.68,220.88,211.1,220.31,1832024,41.4161,219.7032,264.481,309.2588,263.2049
2021-05-18,225.64,230.38,220.5,220.99,1292563,42.8885,223.3821,265.7194,308.0567,265.2672
2021-05-17,222.96,223.7,215.94,223.33,1352660,42.4741,225.8786,266.7066,307.5346,266.8846
2021-05-14,219.05,223.85,216.8,223.59,2461655,41.8709,228.6768,268.0474,307.418,268.6774
2021-05-13,229.0,231.41,214.155,217.07,1635659,42.9951,231.9671,269.616,307.2649,270.7031
2021-05-12,224.77,232.01,223.4,225.6,1322072,42.3503,232.7982,271.4906,310.183,272.4052
2021-05-11,221.73,230.94,221.0,228.01,2509484,41.8873,234.7088,273.3966,312.0844,274.3495
2021-05-10,235.42,237.47,227.63,228.21,1857277,43.4264,237.8678,275.222,312.5762,276.4972
2021-05-07,242.36,246.5,237.35,239.41,1312761,44.2339,240.3053,276.5136,312.7219,278.1739
2021-05-06,235.5,237.73,230.3,237.04,1770085,43.211,240.3943,278.2664,316.1385,279.6357
