time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,433.78,434.01,430.01,432.93,68710419,61.98,407.5531,419.1553,430.7574,418.3058
2021-07-02,431.67,434.1,430.5218,433.72,57697668,61.2639,407.6922,418.7098,429.7273,417.6742
2021-07-01,428.87,430.6,428.8,430.43,53441027,60.2912,407.9318,418.3667,428.8015,417.1029
2021-06-30,427.21,428.78,427.18,428.06,64827858,59.7034,407.7502,417.9923,428.2344,416.6227
2021-06-29,427.88,428.56,427.13,427.7,35970515,60.055,407.6921,417.6989,427.7057,416.1905
2021-06-28,427.17,427.65,425.89,427.47,53159581,59.8092,407.8366,417.439,427.0414,415.7134
2021-06-25,425.9,427.0943,425.55,426.61,58129525,59.3708,408.0139,417.213,426.4122,415.2458
2021-06-24,424.89,425.55,424.62,425.1,45110288,59.0225,407.9888,416.9425,425.8962,414.8109
2021-06-23,423.19,424.05,422.51,422.6,49445414,58.4347,407.8861,416.674,425.4619,414.3995
2021-06-22,420.85,424.0,420.08,423.11,57700303,57.6146,407.6419,416.4136,425.1853,414.0407
2021-06-21,416.8,421.06,415.93,420.86,72822028,56.1469,407.2985,416.1864,425.0743,413.7628
2021-06-18,417.09,417.8281,414.7,414.92,118676302,56.2836,406.7444,415.9912,425.2381,413.6388
2021-06-17,421.67,423.02,419.32,421.97,90949659,57.7996,406.173,415.7811,425.3891,413.498
2021-06-16,424.63,424.87,419.92,422.11,79250069,59.2476,405.4521,415.4675,425.4829,413.2213
2021-06-15,425.42,425.46,423.54,424.48,51508508,59.6383,404.8594,415.0914,425.3233,412.8129
2021-06-14,424.43,425.37,423.1,425.26,42358478,59.3087,404.1178,414.6536,425.1894,412.3557
2021-06-11,424.2,424.43,422.82,424.31,45570828,59.2329,402.7763,414.1347,425.4932,411.9202
2021-06-10,422.96,424.63,421.55,423.61,51020147,58.8277,401.1493,413.5594,425.9696,411.4762
2021-06-09,423.18,423.26,421.41,421.65,48436342,58.9296,399.5359,412.9905,426.4451,411.0645
2021-06-08,423.11,423.21,420.32,422.28,47134279,58.9074,398.0924,412.4168,426.7413,410.6271
2021-06-07,422.59,422.78,421.19,422.19,51555032,58.7452,396.3435,411.7754,427.2072,410.1746
