time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,681.7115,684.0,651.4002,659.58,23284450,52.0555,544.618,634.3815,724.1451,645.752
2021-07-02,678.98,700.0,673.26,678.9,27097374,51.8981,543.1668,635.1433,727.1198,644.2843
2021-07-01,683.92,687.99,672.8,677.92,18634522,52.2017,540.453,636.3937,732.3345,642.8681
2021-06-30,679.77,692.81,678.14,679.7,18924862,51.9704,539.8713,636.8107,733.7502,641.1925
2021-06-29,684.65,687.5099,675.89,680.76,17381313,52.2619,538.7347,637.5637,736.3928,639.6179
2021-06-28,671.64,694.6999,670.32,688.72,21628159,51.552,537.6334,638.2627,738.892,637.7799
2021-06-25,689.58,693.81,668.7,671.87,32496707,52.6092,536.0321,639.4029,742.7737,636.3978
2021-06-24,674.99,697.62,667.61,679.82,45982386,51.8217,533.985,640.4733,746.9616,634.2271
2021-06-23,632.0,657.204,630.04,656.57,31099228,49.3936,530.1979,642.3875,754.5771,632.5633
2021-06-22,618.25,628.5693,615.5,623.71,19158892,48.5813,530.1465,644.0015,757.8565,632.5863
2021-06-21,624.48,631.39,608.88,620.83,24812741,48.93,531.1501,645.3505,759.5509,633.1715
2021-06-18,613.37,628.35,611.8,623.31,24560905,48.2812,532.0204,646.4163,760.8123,633.5263
2021-06-17,601.8878,621.47,601.34,616.6,22701350,47.6071,533.3759,647.6965,762.0172,634.349
2021-06-16,597.535,608.5,593.5,604.87,21845739,47.3521,535.3228,649.3988,763.4747,635.6739
2021-06-15,616.69,616.79,598.23,599.36,17764145,48.3672,537.5958,651.2541,764.9123,637.2306
2021-06-14,612.23,625.49,609.18,617.69,20423983,48.1134,538.7751,653.0745,767.3739,638.069
2021-06-11,610.23,612.56,601.52,609.89,16205303,48.001,540.4864,654.5973,768.7081,639.1236
2021-06-10,603.88,616.59,600.5,610.12,23919606,47.6484,541.8933,655.3251,768.7569,640.303
2021-06-09,602.17,611.79,597.6301,598.78,16584566,47.5546,541.7718,655.2825,768.7931,641.7896
2021-06-08,623.01,623.09,595.5,603.59,26053405,48.5951,542.4837,655.5519,768.6201,643.4067
2021-06-07,591.825,610.0,582.88,605.13,22543682,46.8909,543.1722,655.9291,768.6859,644.2393
2021-06-04,579.71,600.61,577.2,599.05,24036896,46.2121,544.4058,656.3526,768.2993,646.3786
2021-06-03,601.8,604.55,571.22,572.84,30111893,47.2923,548.2968,658.1166,767.9364,649.0998
2021-06-02,620.13,623.36,599.14,605.12,23302779,48.2087,550.8631,659.596,768.3289,651.0304
2021-06-01,627.8,633.8,620.55,623.9,18084890,48.5948,552.5267,660.8852,769.2437,652.2916
2021-05-28,628.5,635.59,622.38,625.22,22737038,48.6297,553.2345,661.2612,769.2878,653.2913
2021-05-27,620.24,631.13,616.21,630.85,26370593,48.2002,554.5747,662.377,770.1793,654.3032
2021-05-26,607.56,626.17,601.5,619.13,28639305,47.5405,555.9668,663.1096,770.2523,655.6935
2021-05-25,607.31,613.99,595.71,604.69,28005933,47.5276,558.5004,665.0254,771.5504,657.6582
2021-05-24,581.6,614.48,573.65,606.44,34558089,46.1928,561.2308,666.761,772.2912,659.7132
2021-05-21,596.11,596.68,580.0,580.88,26030595,46.852,565.8412,668.529,771.2167,662.9015
2021-05-20,575.0,588.85,571.07,586.78,30821119,45.7481,569.6771,670.5948,771.5124,665.6277
2021-05-19,552.55,566.21,546.98,563.46,39578395,44.5479,575.6391,673.1008,770.5625,669.3267
2021-05-18,568.0,596.25,563.38,577.87,36830567,45.2226,581.1091,674.2134,767.3176,674.0931
2021-05-17,575.5531,589.73,561.2,576.83,32390360,45.5532,584.3198,674.8644,765.4089,678.4235
2021-05-14,583.41,592.87,570.46,589.74,33370856,45.8952,588.7208,675.8745,763.0282,682.6223
2021-05-13,601.545,606.4599,559.65,571.69,44184916,46.6881,594.0418,677.3223,760.6028,686.6717
2021-05-12,602.49,620.41,586.765,589.89,33823646,46.7294,598.5937,679.0512,759.5087,690.1463
2021-05-11,599.24,627.0999,595.6,617.2,46503896,46.5703,603.2252,681.367,759.5088,693.7241
2021-05-10,664.9,665.05,627.6101,629.04,31392417,49.4956,608.6226,683.1844,757.7462,697.5806
2021-05-07,665.8,690.0,660.22,672.37,23469172,49.5374,609.3655,683.8864,758.4073,698.9145
2021-05-06,680.76,681.02,650.0,663.54,27784619,50.2283,609.8321,685.0934,760.3547,700.2661
2021-05-05,681.06,685.2955,667.34,670.94,21901894,50.2421,610.0945,685.7152,761.3359,701.0623
2021-05-04,678.94,683.4464,657.701,673.6,29739319,50.1474,609.4374,685.3366,761.2358,701.8787
2021-05-03,703.8,706.0,680.5,684.9,27043143,51.2683,608.1166,687.0106,765.9046,702.815
2021-04-30,667.59,715.47,666.14,709.44,40758722,49.6623,604.4465,688.8346,773.2227,702.7748
2021-04-29,699.51,702.25,668.5002,677.0,28845449,51.1176,603.1077,691.1008,779.0939,704.2109
2021-04-28,696.41,708.5,693.6,694.4,22271047,50.9809,601.334,692.6924,784.0508,704.4028
2021-04-27,717.96,724.0,703.3501,704.74,29436995,51.9712,597.2582,695.1242,792.9902,704.729
2021-04-26,741.0,749.3,732.6053,738.2,31038502,53.0509,594.6818,696.7902,798.8986,704.189
2021-04-23,719.8,737.36,715.46,729.4,28413889,52.1546,591.7691,698.219,804.6689,702.6865
2021-04-22,741.5,753.77,718.04,719.69,35590255,53.1729,586.8473,700.6957,814.5441,701.988
2021-04-21,704.77,744.84,698.0,744.12,31215514,51.6055,581.6613,702.9681,824.2749,700.3752
2021-04-20,717.42,737.25,710.685,718.99,35609038,52.1952,576.2863,706.2661,836.2459,700.1959
2021-04-19,719.6,725.4,691.8001,714.63,39686226,52.2961,573.1766,708.8177,844.4588,699.4928
