time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,69.35,70.93,69.23,70.21,12317415,57.6581,48.0224,59.3278,70.6332,62.0998
2021-07-02,68.71,69.29,68.43,69.2,8098529,57.1873,48.1635,59.2552,70.3469,61.8039
2021-07-01,68.57,70.0,67.37,68.11,9988136,57.085,48.2201,59.2294,70.2387,61.522
2021-06-30,68.76,69.1199,68.25,68.81,9752947,57.267,48.3286,59.1726,70.0166,61.2343
2021-06-29,68.28,69.38,67.93,69.0,9526441,56.927,48.3647,59.1576,69.9505,60.9271
2021-06-28,68.16,68.6284,67.075,68.29,11176106,56.8429,48.2948,59.1844,70.074,60.627
2021-06-25,68.29,68.92,67.28,67.93,13896866,56.961,48.0717,59.2606,70.4495,60.3195
2021-06-24,66.75,68.74,66.75,68.25,23144774,55.8972,47.9543,59.3058,70.6573,59.9942
2021-06-23,63.91,66.77,63.79,66.49,18547983,53.8348,47.6601,59.421,71.1819,59.7185
2021-06-22,61.92,64.05,61.91,63.78,16686235,52.3033,47.3825,59.5772,71.7719,59.5474
2021-06-21,60.85,62.09,59.74,61.96,12027146,51.4546,47.1727,59.7562,72.3397,59.4505
2021-06-18,60.2,60.97,59.525,60.85,13272992,50.9349,47.0201,59.9462,72.8723,59.3934
2021-06-17,59.61,61.6221,59.53,60.71,10201253,50.4632,46.9166,60.1404,73.3642,59.3605
2021-06-16,60.12,61.15,59.15,59.93,9279963,50.8775,46.9338,60.281,73.6282,59.3503
2021-06-15,61.09,61.3183,60.19,60.23,9579902,51.6684,46.9685,60.372,73.7755,59.3189
2021-06-14,60.85,61.55,60.45,60.83,9316553,51.4855,46.9893,60.433,73.8767,59.2466
2021-06-11,59.95,60.6297,59.87,60.5,6980424,50.8015,47.0137,60.5096,74.0055,59.1812
2021-06-10,59.8,60.38,58.74,60.3,8717489,50.6879,47.0605,60.5902,74.1199,59.1498
2021-06-09,59.59,61.05,59.41,59.71,16163559,50.5313,47.1041,60.6402,74.1763,59.1232
2021-06-08,59.79,60.0895,57.82,58.81,12772928,50.6816,47.1505,60.6884,74.2263,59.1042
2021-06-07,58.62,59.825,57.72,59.63,10538555,49.8261,47.1856,60.723,74.2604,59.0762
2021-06-04,57.41,59.3,57.32,59.0,12256132,48.9283,47.2296,60.7546,74.2796,59.0948
2021-06-03,56.96,58.67,55.83,57.01,21985673,48.593,47.3648,60.9054,74.446,59.1636
2021-06-02,57.28,57.64,56.32,57.16,9472925,48.8163,47.5253,61.0692,74.6131,59.2535
2021-06-01,58.2,58.2,56.27,57.44,13122739,49.4567,47.6654,61.2614,74.8574,59.3341
2021-05-28,58.2,58.56,57.83,58.0,8752685,49.4567,47.7754,61.4396,75.1038,59.3804
2021-05-27,57.64,58.295,57.031,58.08,9113856,49.0661,47.8574,61.6598,75.4622,59.4286
2021-05-26,57.365,58.6142,57.31,57.85,15984388,48.876,47.996,61.8734,75.7508,59.5016
2021-05-25,57.35,57.64,56.54,57.0,13488918,48.8658,48.0969,62.1475,76.1981,59.5888
2021-05-24,54.9,57.33,54.66,57.06,25656381,47.1782,48.2813,62.3653,76.4493,59.6801
2021-05-21,55.0,55.0,53.94,54.45,12583397,47.2405,48.6241,62.6217,76.6193,59.8753
2021-05-20,53.23,54.91,53.22,54.71,12612695,46.0024,48.9854,62.8491,76.7128,60.0742
2021-05-19,52.19,53.16,51.67,52.92,21551253,45.2628,49.467,63.1736,76.8802,60.3536
2021-05-18,52.6,55.15,52.42,53.19,23612297,45.5036,50.0859,63.4443,76.8027,60.6868
2021-05-17,52.23,52.73,51.275,52.6,21351655,45.246,50.7042,63.7403,76.7765,61.0169
2021-05-14,50.61,51.915,50.19,51.73,9836820,44.1123,51.3923,64.0491,76.706,61.3755
2021-05-13,51.675,51.77,49.115,50.11,14303880,44.7087,52.261,64.4491,76.6372,61.8149
2021-05-12,51.87,52.38,50.06,50.7,17223215,44.8174,52.979,64.8958,76.8126,62.2288
2021-05-11,49.52,53.1865,49.2,52.88,16749949,43.1857,53.6248,65.3906,77.1565,62.6516
2021-05-10,53.01,53.08,51.62,51.81,17362305,45.1278,54.5477,65.9674,77.3872,63.1876
2021-05-07,54.77,54.92,53.37,53.79,21748560,46.1535,55.2385,66.4446,77.6508,63.603
2021-05-06,53.48,53.84,52.34,53.81,19586930,45.2598,55.7426,66.9122,78.0818,63.9635
2021-05-05,54.95,54.97,53.32,53.56,19111100,46.1146,56.6851,67.3046,77.9241,64.3914
2021-05-04,55.07,55.72,53.16,54.4,30404484,46.1843,57.5559,67.5746,77.5934,64.7768
2021-05-03,55.52,55.55,52.67,54.58,79648970,46.4426,58.4842,67.9078,77.3314,65.173
2021-04-30,56.0,57.63,55.05,55.22,88378799,46.7157,59.42,68.2568,77.0937,65.567
2021-04-29,67.01,67.05,63.985,65.09,31017677,53.8304,60.4142,68.5516,76.689,65.9575
2021-04-28,65.55,66.5575,63.7425,65.7,13340301,52.8982,60.4513,68.6724,76.8936,65.9145
2021-04-27,67.14,68.36,66.0,66.01,10827047,54.0632,60.5756,68.8052,77.0349,65.9294
2021-04-26,66.49,67.245,65.8518,66.72,11769770,53.6543,60.6174,68.8336,77.0499,65.88
2021-04-23,65.72,67.13,65.43,67.02,12416087,53.1703,60.6709,68.8636,77.0564,65.8551
2021-04-22,67.42,67.4994,64.08,64.31,16804056,54.3994,60.6749,68.8652,77.0555,65.8606
2021-04-21,65.73,67.3599,64.7,67.33,11817294,53.3488,60.0204,68.6896,77.3588,65.797
2021-04-20,68.01,68.1,65.22,65.7,14171183,55.0249,59.3746,68.531,77.6875,65.7997
2021-04-19,69.62,69.9198,66.77,67.94,18198645,56.2479,58.4876,68.2912,78.0948,65.7095
2021-04-16,71.97,72.2,69.68,70.12,9429919,58.0948,57.497,67.9946,78.4923,65.5499
2021-04-15,70.55,71.88,70.17,71.71,11108264,57.2638,56.5609,67.6464,78.732,65.2878
2021-04-14,72.51,73.218,69.5,69.74,12931247,58.8422,55.4947,67.2927,79.0908,65.0731
2021-04-13,71.72,72.78,70.73,72.45,9991652,58.3891,54.3362,66.8665,79.3968,64.7695
2021-04-12,70.87,71.84,69.65,70.86,9495153,57.9005,53.2417,66.4525,79.6634,64.4858
2021-04-09,70.35,71.45,69.91,71.19,15659504,57.602,52.0516,66.0249,79.9982,64.2252
2021-04-08,69.91,71.45,69.28,71.22,16843412,57.3513,51.0681,65.6307,80.1934,63.9752
2021-04-07,66.64,69.97,66.08,68.99,23964608,55.4316,49.8867,65.1951,80.5036,63.733
2021-04-06,64.67,67.65,64.3,67.0,15587872,54.2149,48.8277,64.8311,80.8346,63.6144
2021-04-05,64.14,64.34,61.81,64.24,15502130,53.883,47.703,64.4757,81.2485,63.5713
2021-04-01,64.68,66.36,63.64,63.83,15261032,54.2759,46.7315,64.1475,81.5636,63.5481
2021-03-31,63.98,64.98,63.27,63.63,14479759,53.8484,45.6558,63.7785,81.9013,63.5019
2021-03-30,62.3,64.1,61.9,62.99,12533312,52.8107,44.5864,63.4107,82.2351,63.4823
2021-03-29,62.0,64.96,61.71,62.94,22034480,52.6242,43.6494,63.0867,82.5241,63.5306
2021-03-26,61.52,61.87,59.28,61.26,15582643,52.3289,42.8895,62.7999,82.7104,63.5931
2021-03-25,60.2,62.01,59.57,61.2,19197217,51.5145,42.2011,62.5313,82.8615,63.6777
2021-03-24,64.95,64.95,62.05,62.06,15475524,54.8172,41.6029,62.2983,82.9938,63.8196
