time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,52.68,53.21,51.02,51.44,10652336,49.3172,50.8291,55.2331,59.6372,54.9571
2021-07-02,53.17,53.17,52.09,52.77,9219856,49.7782,50.7131,55.2037,59.6943,55.05
2021-07-01,52.79,53.76,52.69,53.08,8577588,49.4189,50.6606,55.1871,59.7137,55.1268
2021-06-30,52.265,52.96,51.87,52.29,9244478,48.924,50.4099,55.1289,59.848,55.2222
2021-06-29,52.66,53.08,52.03,52.15,12598306,49.2795,50.4806,55.153,59.8254,55.3429
2021-06-28,53.5,53.51,51.67,52.49,19098758,50.0371,50.5949,55.2156,59.8363,55.4524
2021-06-25,54.52,54.57,53.72,53.88,12256367,50.9696,50.6677,55.275,59.8823,55.5321
2021-06-24,55.11,55.39,53.96,54.34,11548556,51.5139,50.6853,55.3404,59.9956,55.5734
2021-06-23,55.1303,55.49,54.9,55.12,9957545,51.5324,50.6952,55.3874,60.0796,55.5923
2021-06-22,55.49,55.57,54.1,55.17,9819669,51.8567,50.6732,55.3729,60.0727,55.6111
2021-06-21,55.24,55.88,54.55,55.69,10891566,51.6495,50.6747,55.4145,60.1544,55.6161
2021-06-18,53.87,55.38,53.54,54.92,12490745,50.5052,50.6445,55.4901,60.3358,55.6314
2021-06-17,55.77,56.41,53.48,54.24,12509916,52.1837,50.6669,55.5955,60.5242,55.7033
2021-06-16,55.18,56.1,54.98,55.6,9863448,51.6951,50.6093,55.6759,60.7426,55.7006
2021-06-15,55.74,56.02,54.92,55.29,7541966,52.1912,50.571,55.7699,60.9688,55.7219
2021-06-14,56.625,57.0,55.54,55.74,8248534,52.9784,50.5478,55.8419,61.136,55.7211
2021-06-11,56.16,56.83,56.095,56.52,9780472,52.6103,50.5484,55.8626,61.1769,55.6842
2021-06-10,57.596,58.07,55.925,56.26,11663964,53.8869,50.5521,55.8994,61.2468,55.6648
2021-06-09,57.9888,58.01,57.17,57.23,8151464,54.2397,50.5516,55.8831,61.2147,55.586
2021-06-08,57.9,58.12,56.83,57.73,10777956,54.1733,50.5551,55.8593,61.1636,55.4879
2021-06-07,57.3442,57.97,57.02,57.3,8914964,53.7613,50.559,55.8431,61.1273,55.3894
2021-06-04,58.3,58.4,56.72,56.93,13622768,54.5884,50.4251,55.7544,61.0837,55.3097
2021-06-03,59.6,59.602,57.68,57.73,13746467,55.7312,50.4221,55.7016,60.981,55.1876
2021-06-02,60.15,60.585,59.61,60.29,12089180,56.2192,50.4744,55.6518,60.8292,55.0075
