time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,50.6,52.03,50.4,50.8,21357834,48.9698,44.3279,50.5241,56.7203,51.1239
2021-07-02,50.57,51.825,50.39,51.71,13698243,48.94,44.2206,50.6433,57.066,51.1453
2021-07-01,50.88,51.6,50.02,50.59,17732585,49.231,44.163,50.7489,57.3348,51.1687
2021-06-30,51.02,51.13,49.71,50.12,18069434,49.361,44.1386,50.8313,57.524,51.1805
2021-06-29,51.0,51.3,50.24,50.76,14104177,49.3422,43.9836,50.9709,57.9582,51.1871
2021-06-28,51.75,52.36,50.365,51.11,22518031,50.0216,43.7203,51.1509,58.5815,51.1947
2021-06-25,51.18,51.83,50.53,51.73,25727827,49.5038,43.4306,51.3307,59.2308,51.172
2021-06-24,51.3,51.55,50.22,50.82,12403301,49.6098,43.2502,51.5047,59.7592,51.1717
2021-06-23,49.06,50.77,49.01,50.51,19843277,47.5545,43.0825,51.6809,60.2793,51.1665
2021-06-22,48.3,49.34,47.75,49.05,19472455,46.8335,43.0448,51.8927,60.7406,51.2525
2021-06-21,49.72,49.86,47.9,48.12,30752163,48.0429,43.0985,52.1077,61.1169,51.373
2021-06-18,49.31,50.39,48.775,49.7,20633523,47.6605,43.1608,52.2597,61.3586,51.4404
2021-06-17,48.96,49.835,48.31,49.7,18887261,47.3362,43.2659,52.4065,61.5471,51.5274
2021-06-16,49.35,49.66,48.29,48.89,18895991,47.6586,43.3687,52.5877,61.8067,51.6322
2021-06-15,49.55,49.955,49.09,49.3,20358633,47.8224,43.4817,52.7475,62.0133,51.7253
2021-06-14,50.06,51.49,49.56,50.77,15399156,48.2365,43.5797,52.9185,62.2573,51.8141
2021-06-11,50.03,50.36,49.535,50.01,12127112,48.2106,43.6974,53.0295,62.3616,51.8857
2021-06-10,49.69,49.895,48.425,49.55,14926468,47.9218,43.8122,53.1081,62.404,51.9615
2021-06-09,50.0,50.17,49.11,49.14,12615211,48.1618,43.9295,53.1741,62.4187,52.0542
2021-06-08,50.7,51.4,48.66,49.88,19672716,48.7016,44.0597,53.2701,62.4805,52.138
2021-06-07,50.49,51.22,49.75,50.76,16466233,48.532,44.1582,53.3443,62.5304,52.1967
2021-06-04,49.56,50.22,49.07,50.18,10409827,47.7827,44.2162,53.3745,62.5328,52.2664
2021-06-03,50.43,50.5,48.53,48.7,14712859,48.4291,44.3749,53.4725,62.5701,52.3768
2021-06-02,51.19,51.41,50.55,50.79,13484205,48.9965,44.5016,53.5765,62.6514,52.4563
2021-06-01,51.62,51.66,49.84,50.98,16583752,49.3169,44.5917,53.6977,62.8037,52.508
2021-05-28,50.675,51.74,50.47,50.83,14226758,48.5929,44.6752,53.7749,62.8746,52.5442
2021-05-27,51.44,51.69,48.72,50.71,51346020,49.1499,44.8038,53.894,62.9842,52.6205
2021-05-26,50.32,51.36,49.76,51.12,16393706,48.2997,44.9013,54.0066,63.1119,52.6687
2021-05-25,50.74,51.59,50.44,50.46,16930933,48.5983,45.0058,54.2,63.3942,52.7646
2021-05-24,49.33,50.4,48.85,50.03,16768424,47.5311,45.0942,54.3922,63.6902,52.8472
2021-05-21,49.57,49.95,48.76,48.82,20013223,47.6962,45.3151,54.585,63.8549,52.9908
2021-05-20,49.57,49.95,48.76,49.33,18822300,47.6962,45.539,54.7696,64.0002,53.1304
2021-05-19,47.53,49.83,47.37,49.47,16517476,46.169,45.7887,54.9224,64.0561,53.2757
2021-05-18,49.67,50.29,48.525,49.17,28244446,47.5978,46.2019,55.0918,63.9817,53.5102
2021-05-17,47.24,47.94,46.51,47.51,17475275,45.7288,46.4541,55.2084,63.9627,53.667
2021-05-14,45.03,47.71,44.85,47.42,25323284,43.9469,46.8906,55.3492,63.8078,53.9293
2021-05-13,44.99,46.1,43.5601,44.48,36205110,43.9142,47.6353,55.5636,63.4919,54.2925
2021-05-12,45.9,46.105,43.17,43.81,32117357,44.4922,48.4521,55.7824,63.1127,54.6722
2021-05-11,44.5,46.79,44.182,46.21,29106917,43.3684,49.2094,55.9752,62.741,55.0303
2021-05-10,47.71,47.85,45.6,45.79,28309814,45.4355,50.1977,56.1586,62.1195,55.4601
2021-05-07,47.22,48.6,46.5346,47.03,27933929,45.0436,50.6665,56.2458,61.8251,55.7764
2021-05-06,48.39,49.81,45.72,46.65,79242393,45.8135,51.4184,56.393,61.3676,56.1257
2021-05-05,53.87,54.07,50.63,51.18,43970500,49.7137,52.0834,56.5242,60.965,56.4414
2021-05-04,54.52,54.72,52.01,52.99,19336646,50.2105,52.0571,56.5168,60.9765,56.5464
2021-05-03,55.12,56.13,54.84,54.85,13903303,50.6687,52.1458,56.5816,61.0174,56.6291
2021-04-30,54.3,55.65,54.11,54.77,16736583,50.0584,52.2032,56.6464,61.0896,56.6907
2021-04-29,59.0,59.22,53.11,54.93,43407953,53.7967,52.2716,56.7604,61.2492,56.7882
2021-04-28,56.88,58.48,56.66,58.44,9269739,52.2194,52.2302,56.787,61.3438,56.698
2021-04-27,58.32,58.4,57.05,57.16,12926757,53.4336,52.1613,56.8698,61.5783,56.6905
2021-04-26,58.05,58.36,57.33,57.61,8361602,53.2338,52.1265,56.9058,61.6851,56.624
2021-04-23,56.56,57.95,56.39,57.93,8763212,52.1227,51.9193,57.0098,62.1003,56.5658
2021-04-22,55.85,57.2189,55.19,56.28,16936170,51.5856,51.842,57.1186,62.3952,56.5661
2021-04-21,55.0,56.2,54.61,55.77,11523907,50.9399,51.8925,57.1798,62.4671,56.5953
2021-04-20,58.0,58.12,55.244,55.48,19081120,53.4036,51.9778,57.2738,62.5698,56.6604
2021-04-19,60.0,60.2201,57.52,57.85,16956891,55.1461,51.979,57.277,62.575,56.6057
2021-04-16,60.74,60.85,59.54,60.35,11856110,55.8064,51.961,57.206,62.451,56.4672
2021-04-15,59.88,61.09,59.5501,60.74,17500176,55.1954,51.9976,57.1486,62.2996,56.2928
2021-04-14,60.11,61.5,59.18,59.23,18959761,55.3961,51.9315,57.0532,62.1749,56.1464
2021-04-13,59.65,61.01,58.53,60.64,21006093,55.0759,51.6657,56.8934,62.1211,55.9846
2021-04-12,59.05,60.77,58.75,59.44,36041324,54.6598,51.2605,56.713,62.1655,55.835
2021-04-09,57.32,57.88,56.4,57.68,10228466,53.4414,50.8211,56.5344,62.2477,55.7037
2021-04-08,56.65,57.94,56.54,57.83,9498507,52.9617,50.3913,56.3874,62.3835,55.6378
2021-04-07,58.02,58.13,55.95,56.89,12921863,54.0783,50.3309,56.3468,62.3627,55.5965
2021-04-06,57.34,58.99,57.16,58.05,13579181,53.6025,50.258,56.2764,62.2948,55.4975
2021-04-05,58.1,58.42,56.64,57.4,13490249,54.2178,50.2173,56.2346,62.2519,55.4223
2021-04-01,55.61,57.63,54.81,57.6,18703397,52.4657,50.2095,56.204,62.1985,55.313
2021-03-31,53.96,55.18,53.58,54.51,14760464,51.2543,50.2357,56.2318,62.2279,55.3009
2021-03-30,52.99,54.12,52.64,53.46,9497186,50.5279,50.3194,56.2804,62.2414,55.3556
2021-03-29,54.8,54.8,52.85,53.35,9724766,51.9433,50.4753,56.3704,62.2655,55.4522
2021-03-26,54.41,55.25,53.52,54.71,13528233,51.6574,50.5107,56.4744,62.4381,55.4788
2021-03-25,52.0,54.28,51.8,53.89,13210740,49.8502,50.5956,56.557,62.5184,55.5225
2021-03-24,54.46,54.96,52.54,52.57,13700843,51.7868,50.8006,56.627,62.4534,55.6662
2021-03-23,55.63,55.63,53.11,53.49,14513457,52.7418,50.7214,56.6,62.4786,55.7155
2021-03-22,57.25,57.61,55.47,55.69,14149412,54.0954,50.6703,56.5753,62.4803,55.7189
2021-03-19,55.48,57.18,54.34,57.08,17396297,52.7983,50.5286,56.4977,62.4668,55.6565
2021-03-18,56.63,57.48,55.21,55.69,15742985,53.7656,50.425,56.4543,62.4836,55.6637
2021-03-17,57.07,57.57,55.54,56.36,25509926,54.1375,50.1224,56.3417,62.561,55.6242
2021-03-16,59.99,61.02,58.38,58.85,12885725,56.6878,49.9234,56.2447,62.566,55.5652
2021-03-15,60.35,60.53,59.12,60.19,14993629,57.0123,49.8282,56.1105,62.3928,55.3846
2021-03-12,58.97,60.59,57.62,60.35,14839307,56.0676,49.7244,55.9579,62.1914,55.1819
2021-03-11,58.8,59.48,58.22,58.95,17293752,55.9507,49.5711,55.8251,62.0791,55.0273
2021-03-10,57.21,58.9,56.27,57.68,27997015,54.8499,49.466,55.7095,61.953,54.8733
2021-03-09,56.0,56.15,54.72,55.25,17192937,53.9923,49.3814,55.6373,61.8932,54.778
2021-03-08,55.5,56.45,52.89,53.2,19912065,53.6357,49.3173,55.5933,61.8693,54.7281
2021-03-05,54.28,55.83,50.81,55.54,31576175,52.7602,49.1742,55.5255,61.8768,54.6966
2021-03-04,55.75,57.16,51.61,53.07,27409574,53.9635,48.8186,55.4199,62.0212,54.7136
2021-03-03,55.93,57.8,54.65,56.11,28485381,54.1116,48.5958,55.3211,62.0464,54.6713
2021-03-02,55.54,55.62,54.1894,54.65,15199537,53.8426,48.3627,55.2143,62.0659,54.6199
2021-03-01,53.67,54.76,53.3,54.4,18481137,52.5353,48.1839,55.1271,62.0703,54.5823
2021-02-26,52.07,52.75,50.61,51.75,16147421,51.3807,48.1134,55.0961,62.0788,54.6196
2021-02-25,54.58,54.6,50.86,51.45,26926862,53.3769,48.171,55.1201,62.0692,54.7236
2021-02-24,54.95,55.15,53.66,53.91,24626966,53.6782,48.1681,55.1179,62.0677,54.7295
2021-02-23,53.5,56.37,51.89,56.0,23947540,52.6518,48.072,55.0655,62.059,54.7205
