time,open,high,low,close,volume,RSI,Real Lower Band,Real Middle Band,Real Upper Band,EMA
2021-07-06,8.05,8.265,7.98,8.03,2812650,44.7739,6.6595,8.5738,10.4881,8.7931
2021-07-02,8.14,8.22,7.97,8.01,4480744,45.09,6.6408,8.5663,10.4917,8.8234
2021-07-01,8.45,8.59,8.17,8.22,4693746,46.1906,6.6023,8.5516,10.5009,8.8513
2021-06-30,8.78,8.87,8.41,8.45,5403979,47.3976,6.543,8.5271,10.5113,8.8677
2021-06-29,9.22,9.29,8.79,8.88,4298952,49.0731,6.4936,8.5,10.5065,8.8713
2021-06-28,9.4,9.55,9.2,9.25,3371828,49.7786,6.4407,8.4624,10.484,8.8571
2021-06-25,9.55,9.59,9.275,9.4,5581539,50.3699,6.3989,8.4229,10.4468,8.8349
2021-06-24,9.49,9.73,9.39,9.5,3848581,50.1377,6.3659,8.3812,10.3964,8.8057
2021-06-23,9.08,9.4884,9.04,9.39,3682910,48.5249,6.3369,8.3415,10.346,8.7778
2021-06-22,9.14,9.295,8.98,9.07,5111280,48.7511,6.2996,8.3086,10.3175,8.7654
2021-06-21,9.42,9.5,8.95,9.13,5796174,49.8127,6.2751,8.2784,10.2818,8.7501
2021-06-18,9.95,10.02,9.42,9.52,6077988,51.9098,6.2631,8.2449,10.2267,8.7228
2021-06-17,9.76,10.07,9.7061,9.87,4350995,51.1878,6.2729,8.1995,10.1262,8.6727
2021-06-16,9.81,10.0,9.58,9.78,6240770,51.3868,6.2859,8.162,10.038,8.6283
2021-06-15,9.86,9.9199,9.42,9.81,6445033,51.5833,6.2967,8.1182,9.9398,8.5801
2021-06-14,10.57,10.6,9.99,10.12,10277190,54.482,6.3221,8.0765,9.8309,8.5279
2021-06-11,10.16,10.335,9.81,10.22,13795195,52.9869,6.42,8.0235,9.627,8.4445
2021-06-10,10.28,10.8,9.56,9.66,15322714,53.4909,6.4912,7.9753,9.4594,8.3745
2021-06-09,10.085,10.98,9.711,9.96,25567555,52.7756,6.597,7.9271,9.2573,8.2967
2021-06-08,9.16,9.34,8.89,9.25,6639578,48.7509,6.7034,7.8821,9.0608,8.2237
2021-06-07,8.86,9.15,8.6918,9.1,4461181,47.4684,6.7318,7.8644,8.9971,8.1892
2021-06-04,8.92,8.95,8.75,8.86,3243050,47.7023,6.7446,7.8474,8.9502,8.1654
2021-06-03,8.9,9.09,8.65,8.85,4256543,47.618,6.7611,7.8381,8.9151,8.1383
2021-06-02,8.75,9.18,8.555,9.01,8111034,46.9896,6.7702,7.8341,8.8981,8.1108
2021-06-01,8.89,9.035,8.8,8.9,2558941,47.5109,6.7796,7.8282,8.8768,8.0882
2021-05-28,9.38,9.4,8.78,8.89,5467746,49.3904,6.7356,7.8401,8.9445,8.0591
2021-05-27,8.66,9.22,8.555,9.17,12700039,46.3333,6.734,7.8405,8.947,8.009
2021-05-26,8.33,8.64,8.32,8.57,5031006,44.8365,6.7383,7.8373,8.9363,7.986
2021-05-25,8.28,8.4292,8.1326,8.37,4045107,44.6071,6.7359,7.8405,8.9451,7.9753
2021-05-24,8.2,8.39,8.13,8.24,4460248,44.2436,6.7348,7.8427,8.9505,7.9662
2021-05-21,8.37,8.44,8.01,8.07,4472814,44.8567,6.7294,7.8506,8.9718,7.96
2021-05-20,8.32,8.57,8.12,8.32,4412916,44.6355,6.7193,7.8587,8.9981,7.9467
2021-05-19,8.14,8.66,7.99,8.36,6755952,43.841,6.7117,7.8664,9.0211,7.9348
2021-05-18,8.3,8.58,8.13,8.42,7328167,44.396,6.712,7.8686,9.0252,7.9297
2021-05-17,8.08,8.68,7.8515,8.12,16969607,43.431,6.706,7.8759,9.0458,7.918
2021-05-14,7.46,7.57,7.2545,7.51,4006196,40.5832,6.6988,7.8894,9.0799,7.9147
